,700098267,700171066,700023578,700116358c,700023634c,700116668,700021824,700119739,700172726c,700037042c,700117031,700035533,700037916,700038702,700161742,700024449c,700105613,700171859,700038493,700095647,700116568c,700105991,700095486,700172498c,700013600,700034254,700024998,700102586c,700113867,700161219,700106229c,700024615
700117031,0.014424949855121752,0.006942985482895524,0.012153717255896698,0.01208332294901762,0.00942557230653763,0.009421483252784184,0.011630389161194488,0.009377980778173691,0.012062562521446678,0.012915738462036544,0.0027130973976325873,0.012936251843718213,0.013738610133818042,0.008781037813578236,0.011134597549414631,0.008991361478653415,0.012510285215041573,0.009680898382464671,0.009958196776087884,0.011968038428863851,0.01248858710289917,0.012829121153345708,0.00859316534006395,0.011950806183771222,0.008000349732311845,0.007839693231601916,0.011552473521717607,0.008109554505647142,0.009186886592321546,0.008307551631908548,0.008548339061830938,0.007851013656573069
700035533,0.013330580267236054,0.0120710565498995,0.009546579647612805,0.01148927903142914,0.013471725522165549,0.012386957951564014,0.009368513027581779,0.012834967892107524,0.0036202712188656947,0.010582742285948812,0.013005232862896612,0.0033624396488319322,0.011389895390845124,0.013828411045578469,0.009400295186844494,0.013389335144342622,0.010886282996666595,0.013198580188734913,0.014309072983600298,0.009793568797788844,0.0034423729148619115,0.010759902959263141,0.012667083714674834,0.010365772491306042,0.011745713787088946,0.011775693026448776,0.009756493457108151,0.012629060981496116,0.0130189834305779,0.012132951448949016,0.013274013579045946,0.011922762448200959
700037916,0.013808959797528523,0.012309894564205677,0.010423677517545778,0.011884247640588213,0.014037953120472478,0.013305193247053777,0.01040067552382957,0.013577138477235308,0.010808120585045,0.011628262682913296,0.013635835051234195,0.011243741864280902,0.004443775176095425,0.014213747621873015,0.009875922056517798,0.013612354426547823,0.011299395964730109,0.013774770505794228,0.014664371519438462,0.010760358891061502,0.011027990791083457,0.011709854971987968,0.012967624573228332,0.010317937348220944,0.012311041389172757,0.01240995849948188,0.01064744671683194,0.012715872104822688,0.013564624178520196,0.012512587701442856,0.01382459652002768,0.0123314790986186
700038702,0.01484272013154926,0.003038074815823757,0.012402082070930086,0.012505333531567313,0.009414069041534587,0.010080010382595749,0.012224690897857842,0.01010372350494943,0.01288872172897067,0.01321186686155865,0.008635854500390144,0.013511999751053815,0.014060949417903612,0.003251410258089477,0.011359921327295115,0.009515181464487222,0.012782803311302474,0.010399722024486387,0.0098988873929691,0.012280118386528014,0.012957211158060368,0.013029878375967151,0.008493194902331665,0.01219576464047674,0.008825781465409759,0.008509434769376614,0.012007447732726806,0.008691284522398273,0.009877122093940548,0.009031090004982407,0.009441480577588555,0.008525513598429084
700161742,0.012303500796150271,0.010740591972260521,0.008726822982588594,0.010521742740656807,0.012148919397127634,0.01177893745275516,0.00870632826697158,0.01156153857208092,0.009619477700487659,0.009882805711151242,0.011813484751403308,0.009953130486143828,0.01057289316015481,0.012284784983901408,0.0006966226488706838,0.012019277750060951,0.002357639257219723,0.011883098737722558,0.012999762302499732,0.008954828568653737,0.0095385150800817,0.009926228767717616,0.011283728750627,0.009449269931436072,0.010561596164332105,0.010501368270678964,0.001954739238977069,0.011133281651727422,0.011726836420506741,0.010896712222994213,0.012064220477952022,0.010670897023066398
700024449c,0.015489441778728484,0.008552379416688032,0.013140062264506373,0.013309884207575376,0.01010609990782018,0.004570838256204835,0.01309549162945975,0.009387870723370044,0.014239254266493456,0.01397185762443553,0.009733123509816545,0.014426909803759741,0.014862976627095466,0.010496463869914392,0.01227104959414487,0.0028444122676559553,0.013786992578299904,0.00977552077187724,0.010914897720991568,0.013001735505540566,0.014110166252180275,0.014017259343753285,0.009017974126449248,0.013025190045443322,0.007906356529634766,0.005347212409210287,0.013058395768051779,0.002719481839628556,0.004305719154461547,0.0035983216056745563,0.010038724632378362,0.002554965897659484
700105613,0.01391183176550105,0.012287637789987,0.010220122254778785,0.012073998177938245,0.013726242792789264,0.0132161349256228,0.009885677759638145,0.013180612112823929,0.010851312147238813,0.011437837968496295,0.013318182167719236,0.01151278162433723,0.01211834277773835,0.0138599405218346,0.002363485006138933,0.013560250171078718,0.0034372879182411817,0.013523981009803277,0.014364795025429228,0.010494327327004564,0.011100151296899823,0.011493960651190727,0.012850820757379748,0.010987057587667338,0.01212350700552792,0.01174424867677104,0.003596800566128125,0.01258383604589286,0.01327911284531328,0.012474568168745714,0.013708485679988818,0.012178005487437686
700171859,0.014422399855978938,0.008378089575888927,0.0122247188946091,0.01211679764597956,0.009862655518199823,0.009409036962449026,0.011961484952840502,0.008045939418154473,0.01264034285593084,0.013026507800894578,0.009466601340291396,0.012831605636710094,0.013572433318045094,0.010353838938201208,0.010941526168220752,0.00881834395534966,0.012429037739581235,0.003316795129898586,0.010587017981822756,0.01193101327451824,0.012285183791098187,0.012790231473019827,0.008850925896257699,0.011874632021076371,0.0065204446986031174,0.0077440641422712045,0.011726185583149308,0.0080688690291359,0.008923928462164903,0.008189293060026175,0.009644134411857224,0.007773197344749484
700038493,0.015507191086146241,0.008399535636440709,0.0132558217505849,0.013408845615762159,0.004153129685785517,0.010659297930188636,0.012567119416007846,0.010649860437192295,0.01314475401718664,0.014180174394994362,0.010067609142250356,0.014421745510321297,0.014971044498348046,0.01021327380770856,0.012387727251749655,0.010182840219248923,0.013645544405436716,0.010969334357729395,0.0036975871801057055,0.013113714074456748,0.013990808051499224,0.01413110888726836,0.004501196086609591,0.013071574660120816,0.009102088801442929,0.008681557893014112,0.012748273702347022,0.009250299973380505,0.010427151773171812,0.009569111736485615,0.01071245237999866,0.009073559694545708
700095647,0.012339217898409109,0.011072408607560504,0.00232103149846463,0.010409651955611256,0.012449958652077051,0.012073456786414001,0.002069658774676688,0.012005148176855685,0.009533291255342113,0.003255652136940751,0.012192468370981476,0.009957159276771342,0.01106472653663506,0.0127657689128849,0.008591503271728486,0.012221851501599629,0.010040166550170874,0.012447820567272713,0.01321771878681342,0.0014877522849975693,0.009438524815200465,0.002754742108181265,0.011783583666192208,0.009256034139483234,0.01107838598619628,0.010913758630675814,0.009207256245715709,0.011387554692118912,0.012067189311059287,0.01129424157771742,0.012315570991208141,0.011066861462263171
