,700172461,700024509,700098267,700163030,700116778c,700023578,700021902c,700103710,700015250c,700035861,700106876c,700165455,700165263c,700035785,700164611,700023872c,700163699,700038806c,700172726c,700108840c,700037042c,700171115c,700165311,700116730,700024086c,700038472,700037123c,700096380,700165634,700161856,700171648,700114125,700014837,700175331,700038702,700171324,700014498,700035237,700111296c,700116201,700175181,700172813,700102356,700014724,700110812,700095486,700105882,700163458,700037453c,700013600,700163772,700106198,700024437,700165052,700034254,700117682,700164159c,700109231c,700165778,700173023,700172555,700171441,700034166,700117625,700032222c,700014486,700016716c,700100540c,700037284,700100312,700033797
700106876c,0.01139217393768492,0.01324887173218129,0.01205044610239653,0.009441428236833487,0.012872444376677705,0.010828643025850343,0.013698322489653286,0.012895384953489514,0.015326408241651069,0.012504307492553206,0.0068176786732191096,0.01249125284899956,0.012627973218984376,0.012422621126737494,0.011720305714146994,0.013189573588670834,0.012481014655828827,0.010339314117493116,0.011866197646727588,0.014043991786672582,0.0126726790565595,0.015160407584764054,0.01114898594622387,0.012717906223537221,0.011517525956507298,0.011199924740362516,0.012313449953403223,0.012191478933846957,0.011444374707044328,0.01107462583303863,0.011610942851259234,0.011945381726445057,0.015375097953940419,0.013015762614697038,0.01374788231449025,0.011832517204025485,0.010997281590838593,0.012887411908310562,0.015920460450813592,0.014942543644209596,0.012003231667352308,0.011822556987931956,0.01198942105440052,0.014083595890968288,0.01132069701030398,0.012227858094453864,0.012281091214040977,0.012679683906768869,0.012098071698832208,0.010359387280318252,0.011045130022321863,0.012299004237038409,0.013320929690826813,0.012139528253836315,0.011660615017920624,0.012113622914073427,0.012009636059753585,0.012237147489496131,0.011914604198334944,0.011336058177634393,0.011883332997032158,0.012399633042766093,0.013328385181148063,0.011560090600735536,0.011935992055379284,0.013381435207813937,0.01193886433547302,0.012294166309746031,0.01257088041682921,0.012494855726547979,0.012196513726034941
700165455,0.011265153586312427,0.01264537495508408,0.011626965509817936,0.011058046143406278,0.012431869700806895,0.01200737263504035,0.013593007185522523,0.011995221381756748,0.014158037286749803,0.01212280812868102,0.01217698652111103,0.008099467801947315,0.012070246608720357,0.012153435335699896,0.011354058931573334,0.01243532994224693,0.011588603003243679,0.011655249033134227,0.011556711996127523,0.013454308581755354,0.012300166595286691,0.01349666780395436,0.011282335878644191,0.012471074188395144,0.011426560042473185,0.010658759288787959,0.012031390369143913,0.012033377195189465,0.011691061369907224,0.010812664822041459,0.011690215263711005,0.012609521110817793,0.01362472601884127,0.012665286860876548,0.012586753577503888,0.011119063498274429,0.0106785254709244,0.01232068052201725,0.013052057063837318,0.013691410702487798,0.01223784276062761,0.012698697036266695,0.011863344288655564,0.013482098822393849,0.010855365395530184,0.011686069281089373,0.012968666560141891,0.01275955881323465,0.011477502408943359,0.011413060413321274,0.011212496471732076,0.012179704083912432,0.012837360040028816,0.011480509363702093,0.011183781861705596,0.011462217619618756,0.011706888430622907,0.011698778907376287,0.011872052037540845,0.011122470675352205,0.01312343675648242,0.011496806278699749,0.012591140420792976,0.011016765389009696,0.01146913698488878,0.012465618594230605,0.012442745650031495,0.011445421601121334,0.011947437201481935,0.0120440798830779,0.011801312295432813
700165263c,0.01188790312904724,0.013219093113119845,0.012237303309399651,0.011679867343732563,0.011711554905211792,0.012539941868392938,0.014165680857013885,0.012411108965011877,0.014800132166163453,0.012701305322278323,0.012756512356890034,0.01251510915079542,0.00678299890900281,0.012367106580696115,0.011803249314167659,0.013169721912123095,0.011736052134972736,0.012189459215738092,0.012255833716237976,0.014204018627460444,0.013220531511055546,0.014431594185906494,0.012008790766795221,0.013133888782599782,0.01209995238110707,0.01139248823731977,0.0125243593233779,0.012759738978471855,0.012149980199412309,0.011575019696475387,0.012092015357078654,0.013496737620820895,0.015492801080067157,0.013310152382734818,0.013730605474853596,0.011749530834245006,0.01126745135170188,0.01252455298788978,0.016144094854946018,0.01410978409941936,0.012852479213280405,0.013438052834737035,0.012306055784928195,0.014588878619344497,0.011646373098739962,0.012167563948752505,0.013153516769341966,0.013439710101716162,0.011696714151991312,0.011637384857587965,0.011928703697754927,0.012661513789502686,0.013199604619927916,0.011431665554794121,0.01158297732674445,0.012309972315160985,0.01267774238015388,0.011369354304877087,0.012530777792772905,0.011480209226277578,0.013927872469324577,0.011633917780276594,0.01286299243330462,0.011243464886222479,0.011736505825742552,0.013104004419069951,0.01311034525204084,0.011995683606109336,0.012080939704957713,0.012711231098750659,0.012442144808625431
700035785,0.011572903069942549,0.013005261360342751,0.012163751428922929,0.011496019755002841,0.012421386830399277,0.012459450288154829,0.013965816524645114,0.01255296210495628,0.014923573319817012,0.012581232625428807,0.012459011212785105,0.012494001606054137,0.012288896772898794,0.0032567340590137018,0.011767293106229213,0.012964901054619084,0.012256762569888537,0.012112005365414095,0.012114921075339208,0.01374068559390942,0.012996745173419578,0.01394702802031596,0.012157031434090365,0.012815259950378122,0.011742146624357264,0.0107805216528283,0.012507665779395155,0.012259232184800543,0.01209409981998167,0.011051203315350871,0.01213850774353814,0.013246700507222823,0.014505091410163129,0.01309095813907508,0.013208251709660434,0.011498256206085269,0.011072817440890021,0.012449638658048632,0.014186839934790002,0.01421959949109531,0.012584817335482577,0.013346922301524162,0.012098149996100859,0.01395931120814055,0.011290508975857406,0.011335095994697664,0.013347709158754727,0.01311787821878569,0.012004409507151185,0.011874225762741658,0.011731966261500077,0.012634008156850177,0.013371745799672928,0.01157760820767638,0.007558876840619235,0.0120001409453318,0.012303757020911256,0.011988350424498272,0.012209014822733944,0.01120162084245711,0.013363600985819379,0.011934398112032491,0.012850851211604356,0.011478405146160804,0.01191441315357011,0.01245420930989282,0.012816063462326614,0.0115960493432541,0.012001529012399178,0.012376910489398572,0.012424294966439708
700164611,0.010751058707986014,0.01255085875291416,0.0114788255448083,0.010574561887429723,0.011536929968074249,0.011416641667531613,0.013220945104779272,0.0120126377731722,0.014844117438985291,0.011780059572012173,0.011619237995915872,0.01151885815826273,0.011574814416471152,0.011606370347397059,0.006755178113825768,0.0120551716884116,0.01121974567583516,0.011202191782611904,0.01107077698935344,0.013620310023489379,0.012056281818287185,0.01405919999965298,0.010482112990768216,0.011975048128991042,0.010913028204818685,0.010473158515903816,0.011475151892461372,0.011550819196340632,0.010901468202588213,0.010414705252533112,0.01116710376260694,0.012170853335178424,0.013958847537980884,0.012094454436668102,0.012955834600923826,0.01094343358181228,0.009908160462043809,0.01190263370151514,0.014953811431509203,0.013707404539909698,0.011887244257792362,0.012368082626746027,0.011437898546134737,0.013638453708824022,0.010606590286183557,0.011178674019954487,0.012453209201772605,0.012211145298162852,0.011377467623849256,0.010709090884880668,0.010434680958059384,0.01132474189003696,0.01237975692574948,0.011178850048026349,0.010562137624196371,0.011567469982829998,0.011760387156319996,0.011172908481740565,0.011071256927008269,0.010638059710216237,0.012771971401056634,0.011195311516490416,0.012253366150496676,0.010549477392918205,0.010828617747002169,0.013305599566589305,0.012128127916249556,0.011057044562629504,0.011744048458883723,0.011829805706304456,0.011497902844739238
700023872c,0.011280727380872584,0.013574947892439279,0.012145006719232592,0.011652998148799528,0.012210305679528808,0.012160512133573885,0.013565057031608136,0.012780808226839269,0.016590608805188367,0.01239937364833277,0.012842807000502658,0.012349265600158171,0.012671164203957641,0.012520153249401554,0.01183399666352783,0.0073797161317735015,0.012646412377666729,0.01203149408543225,0.012264932160849777,0.014455895752303162,0.013161557595687285,0.014008619567115743,0.012355901783687593,0.012719200401180823,0.011455990976774985,0.010660936081200986,0.011594236806254227,0.012417371525668184,0.011680606401464276,0.01086451250478404,0.011599344270162642,0.012578406720979356,0.01547863132267099,0.013161569017459976,0.014275081021070718,0.011944457898753045,0.010801747750134118,0.012685832399515812,0.014329051257910846,0.014137211147150969,0.012721445521769363,0.01319522911002079,0.012024634944801571,0.014419681069789532,0.011895125411658056,0.012692707673472041,0.01355612471600634,0.012941390434277469,0.012010697885802684,0.0115888570466986,0.011654799767507296,0.012306590376847096,0.012937808166605995,0.011616806171028412,0.01183303857411317,0.012717111418691784,0.01254090996804864,0.012088789039992156,0.012690453753414495,0.0118227208792524,0.013085550141578693,0.013229462814734676,0.014258827889191476,0.011180208183844673,0.011680356227097457,0.014803493153087653,0.0125136338274147,0.011872180142013841,0.012671735774654904,0.01284981927393768,0.012022240306009218
700163699,0.011311499005215869,0.01317238133636291,0.01200088611501795,0.011241748506572374,0.011199985093423405,0.012210716255364091,0.013789208950762593,0.01226836637195215,0.014857222672814191,0.012191832249837787,0.012438892323038913,0.011828903302714524,0.011607926409687164,0.012169160730735613,0.01131634678925604,0.01299286762514491,0.003374309395064727,0.01181672278294449,0.012053552648689049,0.01384681809749458,0.01285139717212963,0.014644414428979916,0.011418633550512708,0.012307516974764324,0.01142428830969182,0.010807503235568616,0.012162334155004374,0.0120530858188817,0.011737570374766785,0.010653271959417288,0.011980949816661302,0.013438798754916308,0.016378555093052274,0.012730128070789423,0.013166018367842905,0.011565396891254257,0.010505904661152931,0.01173081732491262,0.016440808241132022,0.01359150659050197,0.012488193406339276,0.012973890684634979,0.011993990498901435,0.014476711291865431,0.01119768799120845,0.011625328649873444,0.012287829447742062,0.013229576079689135,0.011535089494245093,0.010824094105458863,0.011319954732193344,0.011928777397297394,0.0126596266085004,0.011229583481066473,0.010886732423662657,0.012040177895715971,0.012632264086727782,0.011300472328058215,0.012125439266135334,0.011279351608958736,0.013254687378487931,0.011311749674650665,0.012533192225000713,0.010742376499216914,0.011181145609130198,0.013331992862011836,0.012631305994445964,0.012147639225660894,0.01173302919270643,0.012079965750694177,0.012016808571235256
700038806c,0.01120564076872783,0.012781692387104256,0.011420138436035092,0.007896168051744616,0.012273666582465034,0.009324779254192554,0.013626167812866892,0.012250506819794069,0.014413498456082018,0.012275841518302072,0.010442193596545529,0.01206976348464912,0.012192666444183495,0.012176870051393843,0.011421958298361668,0.01251229442070256,0.011951364903465624,0.006786517701716168,0.011392173521526414,0.013507955795259357,0.01242898457222832,0.013812951467997164,0.010955965873349932,0.012605595196210037,0.011085578491589615,0.010805213674613208,0.011822075346819104,0.012146254286342726,0.01151455797653927,0.01084266204369316,0.011247934168045709,0.010622653508361092,0.014814152231740962,0.012321410211504793,0.013226187583729695,0.011209008491839005,0.01049566608723868,0.012657145475937373,0.015373406708780488,0.014310688317443547,0.01179839452593982,0.010376173024651505,0.01146618017469928,0.01357255851360905,0.01115110584394217,0.011704590718290423,0.011316753500551549,0.012591143897677506,0.011879289798117443,0.009238306401617168,0.01089073148014497,0.011964516407744707,0.01280374800525457,0.011639173949932965,0.011168674145428688,0.011795992229595776,0.01175173481854233,0.011817026112146916,0.011632598421914421,0.011138137308875895,0.010923227493508604,0.011611952874362178,0.013075099689624751,0.010961426509821806,0.011448984904289942,0.013855720933317441,0.011149748140771966,0.011781170598441866,0.012212383471346287,0.012076237867300013,0.011783080794948008
700172726c,0.010932808525900698,0.0130643877339158,0.01165708877564033,0.010791208365359007,0.01153171663439859,0.0114325879378288,0.01328579298844675,0.012386800372955595,0.014438065257321784,0.011931566162070877,0.01176255780669923,0.01170250952858593,0.01201807785449898,0.01192368836182711,0.011060640180692707,0.012479431681006773,0.011945310597989069,0.011162946853175698,0.005463758779276747,0.013751792824174986,0.01206934716535,0.014625452529464943,0.010570121224069877,0.01207715427670711,0.010811923825082215,0.010535407768052998,0.011672053217833057,0.01187285989427616,0.010916478798235716,0.010471071147601612,0.011319359487204158,0.012382116385305718,0.01552831429185847,0.012425068502872815,0.013024283159335293,0.01122460086432418,0.010066918464218873,0.011907567209637466,0.016056561352266453,0.013847588778054596,0.011690781597818872,0.012466799693606707,0.011455981494705971,0.013870047166215007,0.01092219039482418,0.011524103685372824,0.012724592626404312,0.011496774691187851,0.011583345920073554,0.010886998899464713,0.010569979639462495,0.011645674282513516,0.012367326496792915,0.01105741372682071,0.010980874975603286,0.011900450506635341,0.01090218476576127,0.011477840065222716,0.011539906370332163,0.010692374770805929,0.012647738620582787,0.011473184973005757,0.012821274212667776,0.010790082514015706,0.010917142871696744,0.013487742243573032,0.01210656912110693,0.011544650507221334,0.011930490598112456,0.011890786838853824,0.011674846116605202
700108840c,0.012412537796833885,0.014939481791592909,0.013486366959560821,0.012254984632298876,0.013212901821572613,0.013595167715652482,0.015184369006777797,0.01438264736658571,0.01720619263972899,0.013679725610439356,0.013617924861666157,0.013262761212956841,0.013638463051736159,0.013244902970263813,0.013296734814898485,0.014294744403391724,0.013374986646658623,0.012905141646150616,0.013395539323737674,0.009094051171241638,0.014469753392906728,0.016205500900203125,0.013250226259175468,0.01398684377811782,0.01224719346562082,0.012167673566086985,0.01322631354622922,0.013420539078253284,0.013099969019477995,0.01209746288306015,0.01351243473896796,0.014129544085877122,0.017597729132899486,0.013997948902444785,0.015367657219155752,0.013155180951205372,0.011699566202328851,0.013263409640614314,0.017740420035684556,0.015149028224791453,0.013301147858393264,0.01477292329726742,0.013287490204908348,0.01640935427584808,0.013131234090886014,0.012652843742543293,0.014417425991441054,0.014838603449142418,0.013701567602051209,0.012300238249906855,0.012497402464999464,0.012906141352890494,0.013979520429883395,0.013220812132664036,0.011914039543411777,0.014088489526844387,0.013712134937852907,0.012807728907027052,0.013369686940937,0.01237554633474043,0.014591431591811187,0.013040020655937502,0.013966306954409716,0.012549191523154823,0.012611886210202995,0.016258061493376982,0.0134372026214445,0.013784160118590016,0.014124881186372732,0.013549552828976342,0.013524096362244655
