,700013600,700016610c,700016716c,700023578,700023634c,700023872c,700023919c,700024086c,700024233,700024318,700024437,700024545c,700032944,700037123c,700037453c,700037539c,700037632,700097688,700100600,700105372,700106836c,700116201,700117992,700161629,700163772,700164339,700164686,700165052,700165148,700165634,700171573,700172461,700172498c,700175181
700161629,0.009408336070627864,0.010969487016037728,0.0066647379133134045,0.009672383709876576,0.011952999369847402,0.009977048405452445,0.009449176379167678,0.009606219851569037,0.006227612349467237,0.012685215371908774,0.010556526087150494,0.0056665477090683345,0.009825897960330555,0.010412345830622047,0.006338714259452704,0.009076142573975802,0.010229998433056999,0.008115897183694645,0.010852588351339322,0.012612184693828802,0.011560502348654435,0.00968268446482887,0.013994117565846436,0.0053941169893767585,0.01069643469443953,0.00991436466723132,0.010453081237458518,0.010336222960413588,0.010641456081485055,0.009381349625532522,0.009698800110050091,0.009124721854328234,0.01020202182472307,0.012101408492056539
700163772,0.007283563424353818,0.008704157659019095,0.00933644998169661,0.008734882385131015,0.010285012761970453,0.008117544572895988,0.00829163003617478,0.007840207734513497,0.007749053804721506,0.010876669658370555,0.008874749629812209,0.008042943598719751,0.008087220540957337,0.009095985444490572,0.008071323165521688,0.007503820594531096,0.00831470209806911,0.009164428146579532,0.009179846146968164,0.010720193863347863,0.008951310987543948,0.008298849370461697,0.009855020046125458,0.01084393005134155,0.0010385439962137166,0.007803617759691608,0.008086657683512924,0.008809143140850248,0.007794398612517528,0.0077694579392011175,0.007630513355951322,0.007503331615347976,0.00842011663998994,0.009893955795469372
700164339,0.007917089728861645,0.009154971308686621,0.009701209662222487,0.008802798646606744,0.01034687862146238,0.008411485632435711,0.00846906862958668,0.008508775317368917,0.008169533870699587,0.010997390309663586,0.009347298114216425,0.008122617181744493,0.008417310028107129,0.009280199374578631,0.008437157609636673,0.008087798269126362,0.008386362301863858,0.009432045425825795,0.00943546424567246,0.010800081455030077,0.009455723326612738,0.008977592026453695,0.011089014014349006,0.010788741347546453,0.008445625719791612,0.0013337539901308773,0.008764155792665582,0.008926625815068688,0.008174793119176292,0.008095702325660292,0.0012914867633696387,0.008062044937805952,0.008735520625245283,0.010160840600906716
700164686,0.003772286361500624,0.008538289966109076,0.008671739052978838,0.008095561699875993,0.009521878956573148,0.008275544745431851,0.008173299101062029,0.0072726927799786865,0.007207469938511403,0.011067640050628689,0.008066472197755761,0.0073570890762248865,0.008219210643221677,0.008498505468852589,0.007761395749150791,0.0067851650900548205,0.007498324805177542,0.008803596502900267,0.008573009690973292,0.01086291621985334,0.00972727995191714,0.009067675658779048,0.00513477786554567,0.010633060431491481,0.008081421093708456,0.00820249174691745,0.0014196378930470582,0.008424497945517615,0.007950461189759466,0.007193658998907077,0.007629279614706366,0.007358526287667573,0.008071043831986187,0.010078843168571622
700165052,0.008160983809015684,0.008728692813604956,0.008502931749644328,0.00847209086293461,0.01058523072299196,0.008153867869744775,0.008256124492409918,0.00792128516216586,0.006790431542669325,0.011063590777482972,0.009173274173058953,0.006754420943104686,0.008649072288176898,0.00880794979327276,0.007016666414395944,0.007560697830057825,0.008268400842116344,0.00825956613475196,0.009112193196253626,0.0108531318081175,0.00879325508274208,0.00870770016208905,0.010902762601655288,0.010395105186742111,0.008748787995888256,0.008206164321531099,0.00833835737166205,0.0017411193958808526,0.008145511326141778,0.007765761728121964,0.008109314155809571,0.00770491531668452,0.008791186738822385,0.009830877230040128
700165148,0.007374364091069208,0.008638635859929742,0.00866684156444961,0.008050945991477891,0.010017985334763082,0.006827058860105576,0.008211821051297306,0.007507473100490942,0.007167823369156172,0.010397612757231448,0.008279949469421668,0.0074823590342517265,0.00746235774416394,0.008371737470701367,0.007834071114656168,0.0070687503074615176,0.008261641193519098,0.008535270504455999,0.008402919716650204,0.01029737320283932,0.007496133551326581,0.007890778923575007,0.01046384512023097,0.010756879038139254,0.007736761250566695,0.007565584222006545,0.007905558140165145,0.008166677530354185,0.001174641115125273,0.0074482126122255524,0.007384140000072143,0.0073080889655153854,0.008074724916727224,0.009289645117070795
700165634,0.0068966140451713915,0.006631274706997266,0.008604657415188894,0.007090980027387234,0.009189580446643975,0.007789944373057222,0.006471293010861901,0.004565928466241622,0.006478688138284621,0.010536463297992564,0.0053182540006551145,0.006785492989397507,0.0079732048544217,0.007309984465703097,0.007180202933127795,0.00421636292311178,0.006011364192074093,0.008227869952692637,0.0072045637950734895,0.010422086664293662,0.008538628739200122,0.006751083608619674,0.009190471430543155,0.009620998637193024,0.007860043062856816,0.007544055672357029,0.007265980222450224,0.007919297743070807,0.0076099035711598975,0.001646558329056987,0.007323325812839567,0.00537643004113588,0.0068319369307101915,0.0097714525679863
700171573,0.007900318429682716,0.009164490951461083,0.009528186707138713,0.008831189678856932,0.010319579341035487,0.008356545675804348,0.008338036625880523,0.008313028371902157,0.008186368562589835,0.011010707174920741,0.009305307050683574,0.008105762558644812,0.008299139999333504,0.009238126688772014,0.008424611303300007,0.00798939632480305,0.008392531000898578,0.00935538295075118,0.00939914989714482,0.01079787507615758,0.009329337529084583,0.008138536228528982,0.010201789693260008,0.010700768087659735,0.008406546784281129,0.0013089433494010683,0.008345150229929831,0.008955107593581002,0.008093248507072279,0.008022265257049315,0.0012018593830564895,0.00799808099392618,0.008704565120637718,0.010119820396618417
700172461,0.0067119770957692485,0.005148133964995882,0.008663669849933988,0.005820768269174722,0.0074478046990491984,0.0079262600087159,0.006023266694112208,0.005664875340401629,0.006490482487795926,0.010869641289482927,0.006416533637062056,0.006745797018757106,0.008311303140312943,0.005965370030108904,0.006903200567336212,0.005216506243849622,0.005848216984220342,0.008053748056642579,0.0047931428243279655,0.010747125256481107,0.008497977456661898,0.0071561913865339916,0.009765703770276184,0.009491283527477896,0.007732754876967177,0.007685310178105397,0.0075646110715216815,0.007971992712848906,0.007565450899891118,0.005477825741361631,0.007457960568463332,0.0014477071367223443,0.005791188964615289,0.009844349759733733
700172498c,0.007275583937033705,0.007492509277099318,0.00928254170472168,0.007398105940013197,0.009177949917866813,0.008519933774944923,0.006342765989803433,0.006999976790640598,0.007278880295079117,0.011209431557093799,0.00782769294756091,0.007541805595521399,0.008746811887288125,0.007523793586335166,0.00789221636308152,0.006527324367193623,0.006942942892001574,0.008899909555513301,0.007447663148831354,0.011023881525970482,0.009614308529126083,0.0068279532019014455,0.010787355555974244,0.010688581880353307,0.008709379110819017,0.008376596573430558,0.008338277405903993,0.00915497326801572,0.00838815478865507,0.006991533829956735,0.008187994812640783,0.005817277862620049,0.0021738060431383795,0.01048619990857488
700175181,0.009323266897026776,0.010272733545853553,0.010755920492445278,0.01017011414831175,0.011655362815181848,0.009676468535366993,0.009917986052265893,0.009685936654998117,0.009120503233228092,0.011991193251245914,0.010244011057687566,0.009526171277546229,0.009710363696464983,0.01087647594047455,0.009926422435880641,0.009218266630329578,0.01024116638291157,0.010570945158714437,0.010466166253201806,0.011911089517534884,0.010182297396905795,0.009999190431190467,0.011357041695345012,0.012222062200253722,0.009869668088553791,0.00934797384104257,0.010047959168903354,0.009894410226382454,0.009314765709736793,0.009641480508969893,0.009140603381145307,0.009530388166242965,0.010109118897116628,0.0036713928654256477
