,700023788,700098267,700024233,700023578,700109987,700021306c,700023634c,700038594c,700016456,700171115c,700024086c,700038472,700096380,700165634,700171648,700114125,700161945,700101581,700014498,700111296c,700175181,700038414,700095647,700172498c,700023113,700106170,700106198,700106065,700024437,700173023,700038870c,700032222c,700016716c,700117755,700013715
700165634,0.009671779072244494,0.008864777682012166,0.007801014992703386,0.00948115716951222,0.01115001292436399,0.009676231815183256,0.010951140667400496,0.010241682274592106,0.00927678294793285,0.010533066016178271,0.009734439437087449,0.009721813221716346,0.00916528838481528,0.005410907428650309,0.008587896346486913,0.009113710774070784,0.005522599576941183,0.010305224903489115,0.009656092194034595,0.010704039033564544,0.011021374664306857,0.008380932620409787,0.009763149281872236,0.010861693356951668,0.012050006261497031,0.010827668151197465,0.010534795016927192,0.00854939505452118,0.010246970291399852,0.009014806280481158,0.011896714842425438,0.013052167197942102,0.0086503341718295,0.010747158520512308,0.010597781343697524
700171648,0.010143411351087196,0.009295849500873364,0.0103032300078829,0.009925208076871831,0.011736650199079771,0.010426065389296978,0.011276615733623695,0.010451392128222752,0.011521251148290852,0.01081443684099354,0.008867854418366641,0.010169874627374806,0.007307124878484604,0.00847476715929445,0.0040540590773777245,0.010033140938551687,0.009760108520113159,0.010337441149340206,0.009558306939591043,0.010931346705945904,0.011140304425014971,0.0061666494187710644,0.010040458706803005,0.010865471356710626,0.012002209870787522,0.011367438206202084,0.010690169040745948,0.0055034560239263655,0.010499322706514836,0.009566450257054169,0.011459297864627715,0.012469972413959288,0.01120601064854915,0.011358924160408405,0.010234624508165284
700114125,0.009097571776862094,0.00746783854504328,0.008724772558913099,0.008059350910860696,0.00895255762626338,0.008945589276284626,0.00943562353104698,0.009543744897545768,0.012493687192309708,0.008916618880771117,0.009420977109454992,0.00728943068902388,0.009380980956979005,0.009001034349767591,0.010026751895349463,0.004012114362882757,0.008136152356854245,0.010505619449522855,0.009648231576491995,0.0057652746941549435,0.010563320142426759,0.01025899347824173,0.008868492914811137,0.009138660866073593,0.012318832404741678,0.01167309525356015,0.009191949992686776,0.010173256177792604,0.010269450445944558,0.006446908757645472,0.012082225298054212,0.011972079791538264,0.010672581582369386,0.010055977374885243,0.010435368701643934
700161945,0.009085889645116856,0.00849864627682187,0.0055547659194126,0.006901127780973243,0.010433764823319659,0.00931412233111018,0.010573117815937736,0.009747645804891014,0.007286132617179294,0.010274491117971985,0.009611687497117374,0.008927286180836226,0.009588530289731764,0.0054796268608728145,0.00982839098737012,0.0081497884950732,0.0017847209102304074,0.010012868800287832,0.009307434770776935,0.010060344485383716,0.010168455934636387,0.010470895114593835,0.009181444449570912,0.009806474245931968,0.01122963032152304,0.01075736471132537,0.00972504238614156,0.00986937558786386,0.009858549255225394,0.008374164881915306,0.01169627016304044,0.013387953588089157,0.006614211924091319,0.0103661203612388,0.010419652038864462
700101581,0.009861825927041778,0.00918940616001996,0.010543601247791731,0.00994349868365518,0.011254686532157642,0.010037264571306156,0.010964977024361605,0.010651966224777105,0.01324530609705408,0.01175204939365054,0.010084913430032354,0.009683652412226918,0.010286891672814923,0.010321271513534062,0.01044809438871154,0.010648392474028458,0.01007448945923722,0.00284788625362382,0.010018766034639172,0.010740536960151035,0.010965976105075236,0.01075512777030768,0.010530684798765032,0.010204506151548056,0.014140044890027369,0.012077182198755679,0.010384066808139008,0.010134742179128593,0.01040559909900255,0.008993638641081757,0.012585835717031296,0.013055279769639695,0.012076546300537156,0.01118791468383662,0.011451867308985404
700014498,0.00936584266064264,0.009145685173085352,0.009604990632833271,0.010827534866005298,0.010876367401456026,0.010627911979908072,0.010235565518299588,0.009966733424016121,0.011750080722772938,0.011529454519096158,0.009181638671935995,0.009296109476916071,0.009986229484503464,0.009907571004767373,0.009857845510066618,0.010004142585597113,0.009567555058836864,0.010262646543192148,0.0009508984516723867,0.010611790452922916,0.010594940648475158,0.010052729858608044,0.009525430183811641,0.010920352563326534,0.013086768661553571,0.010753976740596695,0.010337134609569705,0.009619670883624604,0.010383460631123284,0.009032217422424941,0.012653270954980944,0.0108313528414782,0.010953344451779659,0.010928540199153623,0.009947140304616046
700111296c,0.011146639847913208,0.008896736759704156,0.011141464014934634,0.009743425732344515,0.010169823048256386,0.0111057020782569,0.011390952357268749,0.011402082019592532,0.013021585698024227,0.008082248984220157,0.011429399395322457,0.008772787187890149,0.011869267349988864,0.011627877578055936,0.011963680116466494,0.006253873363445811,0.011001872357487062,0.011699646939174009,0.01132702545654712,0.0053234374367084674,0.011928852867921672,0.012547412755960751,0.009961611547924248,0.011992101424813604,0.014268717847959519,0.012318019490726523,0.010749584239169177,0.011990603039213343,0.012030359267498932,0.007823781460139444,0.014946421894298638,0.013920143632815594,0.012484093373305914,0.012774553881136444,0.011337109290795006
700175181,0.011315408858844859,0.009965158318286444,0.010986604678060709,0.011687485109991168,0.01175973219821394,0.011246838032449129,0.012282930341044315,0.011494295096026091,0.013722398741281536,0.012530251292877437,0.008929157563371764,0.01037311900337165,0.011663764347938772,0.011604352727823515,0.011871704031861876,0.011238470461389668,0.0107766594937535,0.011544326557515328,0.010899349173279341,0.01151725653216368,0.004190591813386054,0.012360791033167395,0.010636548994825934,0.012332930251549095,0.0153254770766703,0.012392901196136185,0.011376523527416155,0.012015876394596114,0.011853645824912737,0.009945164012704741,0.013773507704831446,0.013319621386850977,0.012791637406874442,0.012866332922911871,0.011730969259519688
700038414,0.010060458378206807,0.009863801869076429,0.01104639622618343,0.011194803107468464,0.011985261894032885,0.010537117746528813,0.01166832718252422,0.010887328507151264,0.011792232946631136,0.011253665894758043,0.009805119512617384,0.010534211716104728,0.008073183153762105,0.008443528581513714,0.006293831392951056,0.010459514222783564,0.010602969612522948,0.010849024127776951,0.0098916465567929,0.011622809358935624,0.011828227028331384,0.0028276229029693296,0.010542030911557388,0.01167873206360387,0.01303859814845067,0.011504061265812713,0.011254678615033516,0.005893923720666346,0.011268731713939474,0.010178726743858042,0.01294237231054023,0.012620888312369,0.011769864139331523,0.011814716269937159,0.011294143292917471
700095647,0.009595068680187148,0.0076684055910085265,0.009622181862779038,0.009008757407634866,0.00968493907471262,0.009225070341172644,0.009772111758402173,0.009961158476773351,0.012153729416236776,0.010437552794951968,0.009468634490141764,0.00834331225107918,0.00979069760875302,0.009927197322458458,0.0102920852976823,0.00906853432340904,0.009375123333962815,0.010660459881673828,0.009456154412653182,0.009266501488580063,0.010245140745038964,0.010617318126205044,0.0025303431091446642,0.009643865908874713,0.012221657328449985,0.011117232965766041,0.008781061507207005,0.010292771659466278,0.010002613190846707,0.007161521558707336,0.012594667904757594,0.011470181725569895,0.01127219897794999,0.010539454589729259,0.010567919553254085
700172498c,0.008692550370085378,0.008715879635654745,0.010688143768487887,0.009994760941679929,0.012356091432312586,0.009117453912900749,0.01043120475441617,0.009988767772724548,0.013370427777345659,0.009452732863905544,0.010849963244819964,0.010026656855084592,0.010589607018561743,0.010737881558493638,0.010911041646169828,0.009164615922089652,0.009748004978422995,0.01010353271459013,0.010543013318029223,0.011131718943485509,0.011604218766937652,0.0114354183059492,0.009413799834612574,0.006479685767810702,0.011177412377679384,0.011484192357390895,0.010668583951305485,0.010742719956411214,0.010163529319982828,0.008769471401202681,0.011545371531005232,0.011589788928982029,0.010240887011721884,0.011207275288297723,0.010989169666701016
700023113,0.00951092640926151,0.010842376642769387,0.012029955189056184,0.010966844236153435,0.015027566022614637,0.009761458005934413,0.0119091469946737,0.01246057175255464,0.018129202186209174,0.013051395488027804,0.012219369114775959,0.012222929948258555,0.012567658174510535,0.012118873500402891,0.012298784973660805,0.012749945406861729,0.01147561944189039,0.014386131656670338,0.012947740089087126,0.013856413340803831,0.014935564950573953,0.01309810351859393,0.012420116429890282,0.01145490423739585,0.005946128659120786,0.014554751068207444,0.012482628837385157,0.014998484294742638,0.011810441185022441,0.01079984149547178,0.011741823578377462,0.014088272594753252,0.01325915177906678,0.013254032914464005,0.016155283834114766
700106170,0.010442700147353316,0.009836925772935368,0.01059471492057634,0.010728484693103064,0.011679358879026751,0.011552511856110713,0.0117123297528329,0.01083438550841724,0.014326291289842474,0.01335892171193515,0.010412091149563636,0.01054420478380295,0.010787165866123927,0.010755663802581148,0.0114437145588822,0.011819278209866509,0.01081133588467452,0.0120315544437325,0.010432098779362456,0.011329448213551323,0.011721977064283184,0.0113371396985258,0.010932352602836192,0.011563626505339349,0.014391022101388231,0.004002613409422539,0.011147823065914836,0.01165703731799116,0.011259589819207924,0.009597728538325936,0.01284436053126148,0.013599253771377849,0.013230536560812228,0.012475304680068331,0.01199337100498731
