,700172461,700015181c,700023390,700024930,700024233,700173546,700013603,700113762,700023845,700116505,700024673,700015250c,700106876c,700014562c,700024711,700096865,700035785,700037738,700119739,700112755,700037042c,700035533,700037539c,700111505,700165634,700171648,700023267,700098561,700172068,700015113c,700121919,700101916,700024449c,700117069,700113177,700023337,700038493,700172927,700014724,700161342,700110812,700037303,700023113,700024545c,700164159c,700097906c,700173023,700021361,700113867,700014486,700165530,700106229c,700097291,700117766,700117755,700107059,700097837c
700024673,0.009165007113078176,0.03757459993184165,0.008209923413636579,0.037710542283255405,0.03640125300574065,0.015318363909331412,0.011076606428123123,0.04069095311430182,0.003806782512036596,0.04053389398657778,0.0014310887428358944,0.008755885517077134,0.03754651659062816,0.036385535967127576,0.005615830532991834,0.03738617273612942,0.032583506661205984,0.04053264428060977,0.02723331014784017,0.0374644212991713,0.01351382174312978,0.03986646216726498,0.040272432736357736,0.040204939344327714,0.029168716226948225,0.03502833339720228,0.03680309720282459,0.02302532692436457,0.025452483251406626,0.03705531622732506,0.037434807620396485,0.04062059592829618,0.03755294716779501,0.02432796898912966,0.01748519800452484,0.039733108368296514,0.005988507143902843,0.03831913854130156,0.002518086030755382,0.037754221954296986,0.003211083565268859,0.03847497701007079,0.026173368300081157,0.01201639100132334,0.014722873274461874,0.025798010172369008,0.010396818062880885,0.0408806186397745,0.008472999114861853,0.040122442232136714,0.03622260789835275,0.017259519956938366,0.027445890341746444,0.006162953821904882,0.016780104847363524,0.033467564515115567,0.03918472254853703
700015250c,0.010388083755522871,0.02754307200034066,0.010133366365986426,0.028376905690422862,0.026979803178977902,0.014378684892393957,0.013231074416254438,0.030131737769975343,0.007610424707655394,0.030022984306451776,0.008727161872846263,0.004541606211644703,0.028412722444034894,0.026589901406889417,0.009862835089210006,0.027602389708622672,0.02437051502230542,0.029141179590895,0.02281691677669451,0.02777861161224853,0.014501348803817475,0.02912939147485735,0.029503128609207563,0.030181134506929008,0.022068538790288982,0.02590030395318833,0.026680668793594292,0.019741107596649016,0.02107442073077404,0.027167941819311446,0.028222872506989075,0.03016495232590075,0.028020949532070284,0.020935244922492116,0.016355575464382783,0.02960708915787465,0.009049168096532204,0.027296222466535357,0.009536889448645265,0.027373493878781036,0.007261959906836697,0.02890050268125658,0.02034010554362628,0.013752611248518964,0.013776562754866556,0.02126700398808152,0.012647670463351444,0.029606056535832405,0.01027662371028501,0.029614522636341564,0.02708110556011116,0.01580080014029696,0.02105860148849074,0.008904134768520073,0.015460636809008875,0.02563964012140631,0.0295332314451806
700106876c,0.02676321284775685,0.0065661355102977605,0.02881972352388262,0.002833190349334157,0.007808587020304291,0.015834273894696986,0.02304458532681156,0.008878807371064059,0.03262899310258375,0.00763709027142883,0.03724484387251312,0.028532368771328268,0.0029653574535705315,0.006586053244924468,0.03618507986591432,0.008498717862964527,0.009266396984100346,0.007521819023358633,0.012997847570974226,0.006994348313403832,0.02362177181305377,0.006849831416643598,0.007472843640849917,0.0053523497446041285,0.009920276607132586,0.007837441924454997,0.005597449549562109,0.012596785379799328,0.012592560512193368,0.007014795610686952,0.0022400063226253033,0.007009511553578773,0.00615908754591512,0.015616589100241987,0.01961087604123549,0.0069616109814240774,0.02554431871557693,0.006509031926233108,0.04112875126365955,0.005846278482529664,0.02444187816528485,0.009624990867769108,0.011908649125404278,0.027435968896985068,0.01948287580100177,0.010854232135112912,0.023708241419132227,0.008638424955843783,0.027384620637529188,0.006771859142402465,0.002396506159893745,0.019578366405168586,0.010143701948864471,0.02273765228064873,0.018504976560380058,0.008460483183172905,0.007474454532055361
700014562c,0.02601912527662514,0.004913738809670055,0.027253667814773057,0.006163304600806027,0.006004897986374378,0.015982949502647812,0.02115268203428896,0.006298957049048464,0.031281003393620437,0.006520686046283382,0.03692676289339026,0.02733601050935802,0.006750222527830826,0.002038444724475694,0.035590794515111025,0.006269977053054944,0.008727670988738537,0.005057690385463345,0.011457551501143665,0.006633800045412505,0.02322537508267601,0.006795859796081932,0.005195557035392575,0.006717697699695039,0.008388235189742242,0.006277826903157638,0.005381359391445812,0.010855268483625552,0.010299856705279248,0.0050024127743333886,0.0049703812749144725,0.00491227106850332,0.006116865193516904,0.013847028162235495,0.01899710489321236,0.005458868141341243,0.02470239732990151,0.004351550211713831,0.04121052711553723,0.004970118997945752,0.02404661439789677,0.007629203321708433,0.008464790785160324,0.02655080896430277,0.01783526708513363,0.008443306556475263,0.02374577028111681,0.00619065122843696,0.025681243556795286,0.005082695163126998,0.005585263859337326,0.01913108388015795,0.008762185832626538,0.022076305280019682,0.016600171432184167,0.0066037489220349965,0.005838644113452692
700024711,0.008940558699077322,0.03623887981976921,0.01004730374849005,0.036793217763301064,0.03504002910238329,0.014074362399642309,0.011284474882062549,0.0388172838631978,0.0060345792612146645,0.03778974593685276,0.005566451522283657,0.009871809068620271,0.036288848523718616,0.03486634604950864,0.004328500734723789,0.03558983304986377,0.030231139773198367,0.037979941730441766,0.026914270740104718,0.03543652210917659,0.013179091105280484,0.037002965146746385,0.03850357216244698,0.038535732944208284,0.027387666276119643,0.033901677688552664,0.03435409469405419,0.02306950509602257,0.024371191377341655,0.03497712502870478,0.03692735636843837,0.0395732031399773,0.03654643349787267,0.023257201570990246,0.017174167339520218,0.03861496089922836,0.007274472213636141,0.03612018987756326,0.0060179715630321855,0.034957749258330686,0.00562107151837873,0.03622376803628898,0.02533888845117771,0.011578779131224216,0.01575473790549264,0.024291889418026427,0.012413892350761702,0.03781868879773045,0.008843380412932849,0.038622876624116134,0.034902741084872936,0.016390232795662266,0.02637000670399821,0.0077531624167405345,0.015835796440861725,0.032146520770681274,0.0380456985137616
700096865,0.026393467613874972,0.006287357447663914,0.02835543299747105,0.007838573774818973,0.00669079799255223,0.017283506373132036,0.02244103915998835,0.007893087185551135,0.03127062561119279,0.00821524708723781,0.037318776166754615,0.027884682329982768,0.008546938885069022,0.0061467450792174454,0.035716423302100585,0.003376051873614747,0.00991268258666895,0.007031491638811017,0.013368235893130966,0.007854793767691865,0.02490812089508608,0.00845112091973185,0.006625232460572911,0.008524694584741423,0.010022435410854482,0.0075221159490661904,0.007030017293960505,0.012412569043713698,0.01176547051042542,0.006601647667333507,0.00675865918332265,0.007132315020235354,0.007541626961387151,0.013897618851169965,0.02046269862536632,0.007580973893845423,0.02533155581530771,0.005996634900291535,0.0413752388065621,0.0064841604535052794,0.024567924376324518,0.008931906282828719,0.01163684998986366,0.027035408357111348,0.018904915646556362,0.011021083415979554,0.024778236795892725,0.007025719794219397,0.02730758186472512,0.006279605310088138,0.007087489136076427,0.02080670700306986,0.009798068273764069,0.02302124963740169,0.017559491313835537,0.00867626589401547,0.007848023526904009
700035785,0.02247286247641023,0.00873691212132903,0.024972741699463785,0.00869210208841492,0.009418974717222962,0.015060804482427184,0.020630616929512853,0.010728760527644557,0.02713611928182137,0.00963134484622145,0.03309321550296823,0.02501874807751523,0.00943484143592523,0.00866180742561063,0.03086262508255537,0.0100282867704506,0.006974895510501784,0.009410447266809722,0.013933534312916263,0.006016130488308855,0.022604892483201345,0.009812927674919095,0.009370543620462031,0.00988349457871161,0.009587876980711766,0.009547456499743008,0.008238578903723209,0.01290969258828908,0.013076989033022115,0.00879875109845992,0.007841833359135799,0.009275171987765413,0.009519409339220452,0.015641368891781346,0.019264070676099167,0.009329506809320372,0.02116559666554093,0.008414583458884515,0.0369979473309226,0.0049267443454415714,0.020746049050009183,0.011235215618535079,0.012608643785123434,0.02439907566864681,0.017627778535147434,0.01181976501845212,0.022152182043559936,0.010191151020620673,0.023409851025588613,0.008791183411796596,0.008083486402509669,0.018702016172041255,0.010949437987535357,0.01968011255380763,0.01705088130373307,0.009918219221533743,0.009759567333374231
700037738,0.026913750171484292,0.005475934340610819,0.02798687505883099,0.006624182357038824,0.006086970985963431,0.016486102031821184,0.020534036829360284,0.006801468182730371,0.032224612271690815,0.006926503167221427,0.037873732034774586,0.027573647187237173,0.007110834350705169,0.0046674325957512105,0.035687511651064666,0.006625895057598795,0.008735885180753383,0.002103075104842388,0.01205503096939352,0.006642194960867725,0.023246856227975576,0.00667592735364519,0.005453214279811703,0.0070934151913806046,0.008701368659395348,0.006298200867749301,0.00522881729071367,0.01098564557214242,0.010855049017352032,0.004762417434296521,0.005437570139478717,0.005568264791555576,0.003944104597337943,0.013992772881118843,0.01889741170908595,0.0061544862879271715,0.025285061931267463,0.0015776441377743915,0.04150354387208635,0.00521649786036534,0.025475806402690364,0.0078027117009525845,0.010187537950556623,0.027518518976501854,0.018088974683844176,0.009624911007669658,0.02402823670350449,0.006655239668995228,0.02614257979757486,0.0050102180352264904,0.005955585690692069,0.018929049458405817,0.008535576871396689,0.02290636132489877,0.01451831820634386,0.006426069515001992,0.006581419215764918
700119739,0.019621520763099462,0.011150252563194156,0.02039035205602295,0.011863210924087934,0.01172490799425184,0.015463648289489425,0.01827536561280308,0.013393371884509135,0.02194691928188333,0.01288299021897703,0.02569864187241333,0.021839855979072814,0.012369904343850598,0.010666309899932357,0.02554777382346333,0.012636332244349437,0.01300045104757191,0.012170753446686586,0.009912641866265077,0.012145625439234154,0.020708379685745085,0.012619695122812163,0.01184956424050893,0.012841904423733234,0.012525219030779373,0.01153302828559453,0.010984294386065472,0.013669818135125586,0.01427274141873208,0.01119504362904995,0.0111424929097625,0.011598453401375929,0.012077305930536698,0.016541894361783802,0.018184895639756327,0.011303695329524207,0.017570673685726134,0.011044766867624713,0.02820257144790936,0.011066619299002076,0.01569735637667801,0.013463334246371236,0.012386921950100618,0.021879856835606875,0.017417763120148897,0.013353486818975668,0.018853715248002917,0.01281575556395548,0.01960678475988749,0.011252417025336912,0.011171080602963972,0.01838198919453665,0.012051580845074577,0.015865407931990202,0.01676585601249303,0.012177279841099209,0.008777097976013545
700112755,0.026486845711611192,0.006609569811525216,0.028970237547960208,0.006664095064759023,0.007394605388065014,0.016463633676827204,0.022900265506202288,0.008589006770533984,0.032717458786542836,0.007441987721482662,0.038218113826067455,0.028726068890691712,0.007190293024417591,0.006628713495471339,0.03637483840391166,0.008017317762693913,0.006057096661128779,0.007190185509832315,0.013119881786621929,0.0032434983923292355,0.02447829962224484,0.007716535691543394,0.007172533299501294,0.007728486754344472,0.008323589954813944,0.007831998438418513,0.006203573020965207,0.012435815663227144,0.012333404018635587,0.00671914450054113,0.005599848837801849,0.0071635144229299985,0.007395986334292222,0.015585206237471625,0.02053764608048366,0.006856114955766776,0.025711167967407515,0.006279604352387681,0.042033893026350966,0.002359706133128493,0.025202289149443703,0.00935620771610548,0.012214737877153124,0.027818575415809527,0.018889705770647386,0.010924284142600313,0.02487530155836776,0.008064286783203959,0.0272450028444174,0.006575919130604234,0.0060166945284243715,0.01979814031547579,0.010108694633069388,0.02358428623587369,0.018550520767679164,0.008168078842687623,0.007554447051870823
