,700013715,700015113c,700016000,700023872c,700024233,700024930,700034254,700038472,700106876c,700110155,700111296c,700112812c,700116778c,700117000,700117239,700117537,700117625,700123959,700161219,700165052,700165263c,700172813,700175181
700111296c,0.008476545454667691,0.014099961996763607,0.015934994252279074,0.008410419089121652,0.00709365402514965,0.017863090835953423,0.006759163926875926,0.007123478616602104,0.008914419189704299,0.00774461497094219,0.006719658554335016,0.01517785694266985,0.011244531964202978,0.006418133541845847,0.014592212173912737,0.0063652890445152184,0.0127270063814983,0.015471825092647131,0.008658062723628386,0.006226467708593855,0.011345415856962773,0.010384966820929554,0.011834560214123473
700112812c,0.013332742954746193,0.005467132490456148,0.009448462243920899,0.013577433905709781,0.013369724300143071,0.015662540887004795,0.013138199917609039,0.013303895808829347,0.012408793632290523,0.010636099899925299,0.015337164686849022,0.005052034851776652,0.011095376911958305,0.012122158683788924,0.008517338156519682,0.012216562028135081,0.010070480853072196,0.011823959833730368,0.013681588457755368,0.011907787356628152,0.011364977106281137,0.013577192026675983,0.012837069607827678
700116778c,0.010729975109105698,0.011166303560286925,0.011944336007069567,0.010703556756023316,0.009344930643125807,0.016178789866639055,0.009226596662780025,0.00946759744683417,0.010227131924484706,0.008680842715613873,0.011753794582812498,0.011537440267669048,0.008335102545485619,0.008784529947845943,0.010593503727598982,0.008769059425699027,0.010939768689491407,0.012998969997397478,0.01097067911729091,0.008577955691300388,0.010986182040974223,0.011521149588469962,0.012075431678513146
700117000,0.006675870956476494,0.011647535091876642,0.013429920070358148,0.0056825506800126145,0.0045586786293256056,0.015594110570337844,0.004226371187183552,0.004798860149910897,0.006524949052820462,0.005490742343230372,0.006738118775981481,0.012635069657008672,0.008830704236613723,0.0013099149892944486,0.012431597340810074,0.0011068973631842046,0.01045933847127377,0.01299980673398339,0.006817872468660353,0.001170176096142787,0.008497974241446462,0.008082928255300211,0.008940130203130638
700117239,0.01250135043243389,0.008233171825001719,0.008641864840951833,0.013193036583411083,0.01208781895646576,0.014115910304149965,0.011997158174379222,0.012763959548847584,0.01145233668112305,0.009866092810367055,0.014273589870654307,0.008223858961899035,0.009859908098116626,0.011562832584850495,0.0025989054133734217,0.011545591233302533,0.008681747139542584,0.010511787257459508,0.012845213858870427,0.011326235713620616,0.009931964223239423,0.01245771300142952,0.01195012142252689
700117537,0.00635797303949525,0.011371720499751986,0.013132871690406606,0.005512741672792033,0.004260969981289192,0.015247595309903408,0.003979847686289256,0.004396732349309303,0.006073369454517823,0.005248484844269432,0.006503458396964749,0.012373086686590647,0.0085736105049168,0.0010761918988520596,0.012119233754327951,0.0007092726795438814,0.010094543348969339,0.012649495444427105,0.006371281869470528,0.0008919241682876276,0.008307889696017659,0.0076646032449068854,0.008581560467834502
700117625,0.011333714912545678,0.009426239292734794,0.009865739389802326,0.011320484652131244,0.010675904228195882,0.014958048994119231,0.010406056005442234,0.01030908838105394,0.01069861220583052,0.008915414647788953,0.012417416322176609,0.00969859671523665,0.010163523922157235,0.009715609086951226,0.008663445077808784,0.009634390688692084,0.005765004224390234,0.011621746958607342,0.011448806535093843,0.009481379053713795,0.009718602482018258,0.01129043493734272,0.011755474706973853
700123959,0.013491159028497129,0.011322399178362605,0.011651724583928491,0.013475610333665606,0.013048352935543893,0.016870625721131245,0.012223468136180585,0.012992297033337217,0.012867209774459433,0.00998620674740467,0.015222939724863598,0.011504222676868233,0.012175829073468133,0.01215827864884835,0.010577992294979759,0.012153952367775833,0.01173101426104025,0.009798592137516356,0.013772192722149511,0.01193178197102301,0.012396505488746377,0.013841260055020788,0.013796386075884733
700161219,0.00369286227684956,0.013178975183369723,0.014957854076031264,0.00824960365298451,0.0069806398757716465,0.017081963276156926,0.006819359019711839,0.0072414885624760466,0.009102200807515537,0.007729504828488297,0.009009263527794886,0.014117430599917125,0.010924069111766592,0.006751346533475213,0.013728195688851409,0.006483387636402027,0.012204640592376128,0.014587662404734497,0.0016455196117278954,0.0065446423308592894,0.010724668254497407,0.010165427482323538,0.01140049151916747
700165052,0.006494733694694625,0.011492802753830788,0.013274449635226887,0.00552180720837364,0.004358079780929177,0.015395488948679288,0.0040477388046929585,0.004594897792156665,0.006316333417015571,0.005343860277231573,0.00657169051826117,0.012481311887458484,0.008672003041636785,0.0011709355849108718,0.012245754173751441,0.000922478910066505,0.010269195905140777,0.012818120843670544,0.0066373497236846225,0.000936708890581243,0.008403190971797717,0.007879758705848575,0.008802496852030326
