,700013597,700013588,700013715,700014724,700015250c,700023509,700023578,700023872c,700024086c,700024509,700033153c,700037539c,700038806c,700100600,700102043,700105580c,700105685,700105991,700106836c,700113114,700113810,700116201,700116468,700116778c,700117625,700117682,700117755,700163238,700163699,700164159c,700164686,700164870,700165311,700165407,700171114,700171648,700172068,700172726c,700172813,700173176
700113810,0.01151899330821853,0.014395803243404792,0.012492118871736431,0.0115795016650938,0.013454969856640984,0.012998602991616566,0.012343897534199132,0.012950401058769085,0.01266756343271496,0.012280911437584583,0.012172363522738875,0.012809244857329278,0.012494825161544902,0.014372826858367766,0.014118020097257565,0.012739284027782396,0.013430384185468625,0.013470705021947135,0.012946684462184154,0.013132642340205478,0.00401766219052641,0.012606244969179796,0.011322987328719848,0.013281320728780523,0.013053389899797423,0.0027297155377068367,0.012136689438411327,0.013587668793749369,0.012518903401197745,0.012945497508776129,0.012365261575543286,0.012702549713615511,0.011852444063761564,0.014202624906265126,0.011934292398125698,0.011693327394434678,0.01508443354589301,0.01363840162224514,0.013870178034757529,0.014128533010474292
700116201,0.010000633898102374,0.01219823637650653,0.010933695372160492,0.011286596303806878,0.011588823430117155,0.011639976852828138,0.009921627041960578,0.01120859103246715,0.01037506212291372,0.010955662523384946,0.010996509738838298,0.011110517983158758,0.010592252552228506,0.011579807886466162,0.01094962763087684,0.011412775611274777,0.011748895411119812,0.01130949039341353,0.011587477294944519,0.01154888473538919,0.012656096445758745,0.0018739455109580035,0.010484387594861594,0.010496273863140419,0.01014987241601631,0.010616693756114378,0.010314644527619234,0.009952929884397936,0.009824618800470676,0.011561662604452906,0.010391364510281607,0.009834008228840058,0.01049332688104838,0.011070357776298839,0.010306731584122954,0.009813225542373849,0.013288483157792203,0.010813012057482349,0.012621681644099773,0.010197736496793359
700116468,0.010343112420646262,0.012247139776603487,0.011710775083719649,0.011859126241598275,0.012158786943384998,0.012025053894797666,0.011230868358355095,0.012011175507815242,0.01150651842043553,0.011054210264271301,0.010673379973867792,0.012135389945182047,0.011618301305793203,0.012823157993725215,0.013213895128020464,0.011771344808819221,0.012750554726413463,0.01234913701910961,0.012170179461201854,0.012434435339565552,0.011867261937828302,0.010998907589700973,0.001316987987723105,0.012287170640581024,0.012109124133036707,0.010457613848408374,0.011420897165993362,0.012837617000711505,0.011356106344312698,0.012040154357319406,0.010790015121349023,0.0115478873974036,0.010718770066780028,0.01298578610947266,0.011033849194658022,0.010364355716265197,0.01406893648954678,0.012139201508869869,0.012456828613232357,0.01299686833631971
700116778c,0.01188919871265405,0.012038353563782878,0.01274723862034695,0.012937471877752509,0.013046827192635647,0.013711637492085914,0.012058482819343989,0.012907988360104322,0.012731202853098051,0.0127595476408885,0.010962163069462797,0.01339798158216758,0.01323874167033756,0.012743269369451835,0.014197660011764736,0.013531646115251587,0.01273876499845171,0.013682300909886346,0.01235585300814386,0.013465610369344945,0.014288988477783829,0.011279922935127699,0.012600254625745337,0.0020037248399753555,0.008541857413793468,0.01249743493562722,0.012142805384888739,0.013414783395140392,0.01133050435442163,0.013707376001731747,0.01152369649637715,0.008187387848837638,0.012241348483117672,0.013469376592644312,0.01216263304209417,0.011090330652622113,0.014821625223736559,0.012833235967923726,0.014287420479501283,0.013191042512185702
700117625,0.011936938061394781,0.011420239418021618,0.012524170798550381,0.011981574978518242,0.012390987762304857,0.013204068413383415,0.011145597797790941,0.01288684059092097,0.011620780393445936,0.012354527085354628,0.010106187519411523,0.012689068199420716,0.012483565011802434,0.012277570137286285,0.01371709972673451,0.013136106049716049,0.011498632870501182,0.013288110302302113,0.011522129529807143,0.013268547567174828,0.01416599247542902,0.011018595671833898,0.012541906102586457,0.008619846589969997,0.0013415455989725044,0.012374499317272384,0.011823621223515456,0.013147782590545404,0.010963824013305557,0.013123675004853052,0.011209315755813812,0.0012955679356619874,0.012026925784712404,0.012422728226428877,0.011511941345426453,0.010377248364102606,0.014553858853287647,0.011344294269488363,0.013770806489832747,0.012798017576141591
700117682,0.011289133330781543,0.013699440130265406,0.012300075668433226,0.010583314891506608,0.0133360915378681,0.012594135265975815,0.011885858943942224,0.012879762615585136,0.01204519348511552,0.011726614031711427,0.011788056196371797,0.012733253993726388,0.012337512985724114,0.013411491796316816,0.013800382834106145,0.012398757304942876,0.013492538576705137,0.01323256737616723,0.012571552677106482,0.012995730635367683,0.0030281307558999242,0.011801693114204372,0.011162800386044934,0.013018453479061708,0.012780103264766555,0.0010399106385174171,0.011897867519211564,0.013212524116217489,0.012247126295367143,0.012554097079404808,0.011712762869165371,0.012378266486220183,0.011439351975665943,0.014079927963402709,0.011711842388450813,0.011261935801215006,0.014840833122414208,0.013331833437022147,0.013754904498771488,0.01381229750921052
700117755,0.0101733652364045,0.011580737148896039,0.01110142162544171,0.0109318990200725,0.011398794254757314,0.011775284080157345,0.010236313435827092,0.011072239948925547,0.010585743794766662,0.010925208513282356,0.01101678322440562,0.01117757354385913,0.011194517768603711,0.011674743829795364,0.012795030083059584,0.011788046864846259,0.011614654153072107,0.011883105939898966,0.010301794594107289,0.002329787123379028,0.012291737287264261,0.010427130051295468,0.010987177467807934,0.011396263438045827,0.010992779560985797,0.010783531980528878,0.0014495493412184995,0.011997935551369047,0.010493623794300733,0.011703121612120948,0.01062929541810592,0.010507559592812405,0.010486621651565591,0.01268266717751594,0.010278209003148808,0.00959826955042704,0.01381418620259226,0.011430086022417572,0.011587356453580864,0.012001602469501766
700163238,0.010326430287923221,0.01368568889317803,0.012241584707388965,0.013032398249011031,0.013459030794978953,0.012865102982576041,0.011576172217250201,0.012507409150719547,0.012466446384053517,0.012180320099453985,0.011950251790200142,0.012763714055255709,0.012343605784076122,0.014368136387381557,0.012647970543640061,0.012538637846000442,0.013410593806096976,0.01249950519462006,0.013407972668889104,0.012944439389086784,0.01355148313749313,0.009891942414887353,0.012200595043288378,0.012464745360068759,0.012085354197143131,0.011830779694500915,0.011838778337666866,0.0048880490442443835,0.012047430358942722,0.012610914086300426,0.011514221061234078,0.011766907576682415,0.011852220548080258,0.01312071702061698,0.01163039808884416,0.010720030911644193,0.014317417155733625,0.012309945371962026,0.013103306028397115,0.01161381255099138
700163699,0.010671053337345955,0.01127979284087275,0.011314380239196158,0.010904583853113462,0.011666013625114057,0.012228956095390944,0.010839703359156929,0.01168478721395444,0.010512854791653816,0.011242194721977855,0.010372742544906836,0.01133454591187568,0.011758138228691472,0.011463850651440805,0.012562977426579325,0.011968969534823659,0.011982901559533764,0.01202803412260304,0.011267250391887485,0.012167459758894293,0.01299260188720386,0.01021331372861332,0.011231488723680228,0.010929666410833384,0.010465866150458275,0.011352801815333113,0.010779850390725201,0.012543324642699619,0.0009509092316838931,0.012058921927236604,0.010168364583132306,0.010078508715085564,0.010722645579298739,0.012140793892677878,0.010344786671679837,0.009763868517318043,0.013764104980849675,0.011401262329018952,0.012444455193071184,0.01230123971719017
700164159c,0.012259929558102055,0.013824492607120561,0.013212628686868332,0.012781738951522643,0.012546168896944954,0.013573415436777378,0.012854683892847774,0.013051311158308362,0.012805284754015316,0.012802382234141466,0.01276669297637124,0.01371879822013339,0.013513896986508076,0.012942338495005815,0.014852648374219166,0.002740114412724612,0.01454718629428319,0.01426014811683092,0.01182325312419463,0.014161255237780203,0.01444562934701779,0.012843554907226285,0.012831888606674807,0.014268619181107006,0.013530269946215638,0.012537876816734923,0.01290366364607657,0.014061595507549396,0.012986329331601895,0.0016603404524959731,0.012140511773137522,0.013176881814158443,0.012617741531112186,0.01476684448306142,0.011965629571236057,0.012173744842689417,0.015762624737816786,0.013837539235420724,0.013440743991905061,0.01482530200256865
