,700105685,700172621,700015181c,700103477c,700102299,700024673,700035785,700164611,700119739,700112755,700102432,700024086c,700096380,700161856,700171648,700023267,700175086,700016960,700095410,700016610c,700117069,700038414,700116568c,700095486,700037303,700033665,700037868c,700163458,700165148,700038956,700024789,700095058,700014386,700097688,700102586c,700163868c,700015702,700117938,700034794,700106229c,700024349,700024615
700024086c,0.01936975702390821,0.036844677536716317,0.029843810073291108,0.012591045603561392,0.031042948257311038,0.01282137020464377,0.0361657546741233,0.012633486481670723,0.037066985538146,0.020842545629828062,0.035541272922749945,0.006257357439666159,0.01189686500115625,0.01263576446012022,0.019515213900439525,0.012945464281353307,0.038971589478785616,0.027023590140520058,0.036193481758762566,0.02324979782111618,0.037013392011066674,0.03504204647468029,0.018939596176851755,0.036084042521858185,0.014399273671744137,0.021021019576364788,0.03556970909159198,0.037203085138067214,0.019893146905582085,0.03548658567717005,0.014135312153632059,0.034217696231938016,0.02583551084147893,0.030593125015727838,0.035088828404534964,0.02932732486037818,0.03360366040608851,0.017773548596327318,0.01596031525003293,0.029404122112734868,0.03861047672061155,0.035488344829657285
700096380,0.023055317587523872,0.03882532020354304,0.03044906118171199,0.008603992833750674,0.029165145224598944,0.009067548569591088,0.037497771391281694,0.008837880662401884,0.038403325532113314,0.022712085570792,0.0384730966237967,0.01194380788176272,0.0010109575625356377,0.008848647626398856,0.021350511457336026,0.008871562287312094,0.040689752755660766,0.02891023630539776,0.03726319119908848,0.02172432857775701,0.038373145067426256,0.03648376720405868,0.022489778140672986,0.037278674200049926,0.011447755032273058,0.023066818827977703,0.036537248727734034,0.03879776150509937,0.021731865917484973,0.03669766960281038,0.010408489818759937,0.03541502515111698,0.02485521734765309,0.032256543215156,0.036281566873868736,0.03089472341901048,0.03467345129915008,0.02167447769867381,0.01337037969402068,0.030284288046321925,0.04004050001790939,0.03691898431782988
700161856,0.022607576176840238,0.03821838154432471,0.028145222245323044,0.009817557382023551,0.03140555167342733,0.0007794847214050085,0.03743662523145578,0.0006253571762613005,0.03805781810210261,0.02235843763311072,0.03678306136312015,0.012796359869315996,0.008932494232190374,0.0005672537930968885,0.021196368351344648,0.0005950242066137875,0.04025611698103936,0.02841597971915504,0.036596564887312714,0.018751822888700132,0.03808790542415984,0.03635391288901151,0.022056289964892263,0.03726672114873074,0.003424821542089529,0.022568399922864826,0.037117346389976456,0.03872058556904949,0.020933026762388764,0.035853816619381494,0.002181017368311107,0.035040901661561354,0.0242139906461914,0.032023867678759456,0.035960164552545464,0.0308168633949184,0.03436364577629964,0.02117610597678549,0.00689592710275689,0.02986203005132115,0.039617036220126606,0.036565350085642497
700171648,0.009313630341381062,0.028094621984160212,0.024320355741187016,0.01991129061006437,0.025805387173392903,0.02019841134918956,0.027181420038338285,0.020109479996159085,0.030479332853799727,0.002032894177025846,0.028980341290860974,0.018724867364917405,0.02046830177851717,0.02011858638924224,0.0004823750210384829,0.021241824674516657,0.029679940047845733,0.012035947126606241,0.029157975873687264,0.02383890922278744,0.0281037162195573,0.026330171872989208,0.008887077850861945,0.027823310446935458,0.02078429935448928,0.002114675641770117,0.026044346985448188,0.027950583302427702,0.008439592957724583,0.029586870545466267,0.021379594697928172,0.027693427675639204,0.0241838115190426,0.01716749980005327,0.02578543102329861,0.014893918984824315,0.024747703409519685,0.008350380515852214,0.01917145337530441,0.025764431496881224,0.03168909826123281,0.02662527264045681
700023267,0.02460014699674424,0.04394323695961104,0.03319126804934995,0.010427531302483313,0.03620192923283158,0.0007865621426123342,0.042878176022136304,0.0006075164634028304,0.04262458954146752,0.024252744195291862,0.04277732956896429,0.013649232612690087,0.009315633655489014,0.0006182523052377329,0.023146635760927674,0.0005802943127577126,0.045851697764856716,0.032461317468793036,0.041324894579425696,0.02275607544178614,0.04320592705995168,0.04167333919184055,0.02393778218805408,0.0425794937592131,0.0034709098508732797,0.024425620069930102,0.042004450223233715,0.044391954071001896,0.02276707721629377,0.04021473230499265,0.0022810080709032648,0.03923974625721257,0.028537687691700536,0.03667875502503328,0.041296482825167166,0.035372175504941844,0.03906236295866712,0.02313107150070989,0.007372888691699644,0.034087035274763706,0.044358897971495496,0.041993795556034
700175086,0.031784791380540765,0.006877474086331111,0.014920883699330303,0.03642444288091559,0.015471187062695485,0.03729120923204516,0.00985556906544962,0.03840203473058999,0.019421402759711336,0.034223208649393766,0.017227776062334898,0.03760332584964236,0.039149864088727324,0.03844904658116502,0.02957569386528281,0.04252823874713759,0.005899302221567314,0.02012214797721846,0.017284737203553197,0.019673489889108987,0.011708455543700995,0.009665764263895295,0.03381600611905474,0.009538665946672959,0.03575191001819319,0.03213290701800208,0.012651661100715665,0.009084459682575987,0.03679050431325229,0.02160612218537676,0.03938331236658511,0.020723357415585626,0.017428798415995324,0.016546284670340784,0.010476048727997796,0.018496052873513358,0.012945790104672316,0.03440457640201674,0.03634108592145214,0.024837949173455186,0.01938431936222276,0.010440966921195251
700016960,0.01867298594426468,0.019163967412287715,0.02019473751011988,0.026918042456687018,0.02113689239309039,0.027363357322254013,0.018146467282865567,0.02796982937151696,0.02605259947694189,0.014463580716450082,0.024928977791805758,0.026644524854541426,0.02841194113416697,0.02770123152196432,0.012364397725245294,0.03055698181590945,0.020492665370779237,0.012030855926619372,0.02472714014854495,0.020700281850621564,0.0196652324958527,0.016407247076411762,0.01947926687024309,0.018694916688804738,0.027175743331773618,0.013493247300985093,0.020400377604225056,0.01999364195919773,0.02069776761405195,0.026466392495619842,0.028747474414841767,0.025050130973205888,0.02177823878498156,0.01786585211448031,0.01881084948673167,0.017908623168701367,0.01884220211522914,0.019338234459718242,0.02631896630691416,0.02579643927724537,0.02659678738590689,0.018308491596749844
700095410,0.03022765974340848,0.016395504923511973,0.017229090416803382,0.03373884685100822,0.01823511958443661,0.03426875339912664,0.015343832902653138,0.03514699012115671,0.004083899225193169,0.033156018267131035,0.0076601230819271105,0.03508229763064233,0.03596604326656034,0.03512727687359581,0.029246687672021876,0.03843622030794792,0.017343949254873432,0.02433110657845121,0.0038582451019881616,0.024053477859012254,0.01616133528124121,0.014816680051136216,0.032756923614071815,0.01550002769992769,0.03309987052704465,0.031584853740472506,0.01518250477092425,0.01689006417720497,0.03487382691088483,0.010036420952565942,0.0362532265995354,0.0027918077925881057,0.020832419961048426,0.02032484584009099,0.014764706855613988,0.0210800738568615,0.01590493674853652,0.032878568500349564,0.03344397032595526,0.011033939919439986,0.010494505951553915,0.01484564347369943
700016610c,0.026345772012142943,0.018785645820602756,0.018586698877037976,0.020685450170580724,0.019862031259305624,0.01751669070475246,0.01807953175673303,0.01838733909929356,0.02634356946162333,0.027280386475677525,0.02515312663365516,0.023206676184224714,0.021632814428612628,0.018569181496296862,0.02459777126409409,0.021691113310435703,0.020173989198766708,0.02087081126100937,0.02465277461655985,0.01270279512590799,0.01934634678361943,0.016127742736307155,0.02702580218902247,0.01804051693743337,0.01791414711104368,0.026550031653541573,0.019483815555982012,0.019900856165594942,0.028214794901562788,0.02665467911561866,0.01959440963286381,0.02557931904493396,0.019028894849107098,0.02108344607711615,0.01827330967819921,0.021802420848367983,0.01869814649773192,0.027102171309549672,0.020146159256573558,0.026087266184991777,0.02698763082942211,0.017909361345767927
700117069,0.03057630447126707,0.01008995542205441,0.011994488533450885,0.034658807405651894,0.012587080304933657,0.035449441973159,0.009594809583647923,0.036546614539914736,0.01796898631123905,0.03275323234996523,0.016264734437472058,0.035976596880443745,0.03719571334139659,0.036670882288423134,0.028245081564567218,0.04038436445820015,0.011784474666985286,0.01943609772578994,0.01620302504831468,0.018976268700805987,0.003328711875692708,0.009303612818716342,0.032391786873652316,0.009979940954118536,0.03410380648428353,0.03093752299735708,0.009754999190981542,0.010775699725863308,0.03513336911467011,0.019424169829033187,0.03765023860763392,0.018615999482412743,0.01188929014209026,0.01173945353282732,0.009248302723753677,0.015626465021028917,0.005812894882432945,0.032998967243048904,0.034443090398278836,0.022590460191101263,0.01819566925530703,0.00934369217309057
