,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224317,0.000489154472903,0.0005166646689505,0.0004933865283403,0.0005921040818805,0.0005794181217108,0.0005774338645656,0.000535144291986,0.0005089710985738,0.0005772771984384,0.0005053900734568,0.0004873633634552,0.0005225526788911,0.0005301282561136,0.0005561818042398,0.0005402889778714,0.0005010323122326,0.0005049485775658,0.000495634843369,0.0005063645732363,0.000497767668895,0.0005090715614793,0.0005611452636351,0.0005009340613569,0.0005172212058908,0.00051228457642,0.0004943186323401,0.000530291393245,0.000566517549209,0.0005047529663792,0.0004711079358036,0.000514457867447,0.0005643199139453,0.0005131438825419,0.0005046077222524,0.0005026823955904,0.000513146075119,0.0005042491463867,0.0005029488352442,0.0005274983986025,0.0004697290133265,0.0004841850146048,0.0004681520281805,0.0004577831412739,0.0004855722112403,0.0004949768565118,0.0004826984671748,0.0004836923903236,0.0004893665722367,0.0004827302285028,0.0005049542219023,0.0005185069060776,0.0004957794712559,0.0004932247588275,0.0005013000957847,0.0004841216944216
SRR9224139,0.0004772764822291,0.0005087598410453,0.0004873715315537,0.0005906527462492,0.0005749359353202,0.0005761330175912,0.0005412230643443,0.000501841705944,0.0005764728676717,0.0005005825731579,0.0004986013035156,0.0004643926708043,0.0005231277625319,0.000552704588372,0.0005355835408855,0.000495379273047,0.0005033300785371,0.0004915863457613,0.0004947904607417,0.0004900444841459,0.0005069315160004,0.0005601668947037,0.0004963231493305,0.0005116435947196,0.0005062584388603,0.0004909212982087,0.0005307867673326,0.0005607178908139,0.0005086981755708,0.0004588204140814,0.0005068654119306,0.0005631969254399,0.0004935149503,0.0004937186257767,0.000501995196837,0.0005064512753253,0.0004974850056613,0.000497280248563,0.0005175684863699,0.0004628069965756,0.0004736398961555,0.0004582868415281,0.0004472848118378,0.0004755029426231,0.0004903891341161,0.0004724939906854,0.0004700429556198,0.0004808012198695,0.0004719442153056,0.0005038234915572,0.000514574786826,0.0004857847038479,0.0004860624993951,0.0004896230400262,0.0004770021297392
SRR9224138,0.0004919779449839,0.0005192281404759,0.0004913634782084,0.0005986469857235,0.0005794690840035,0.000585319141756,0.0005456275172245,0.0005124134728948,0.0005921359089027,0.0005138696333415,0.0005160129053412,0.0005332730860882,0.0004913040725128,0.0005608411636283,0.00053954554968,0.0005020977113555,0.0005098451196953,0.0005001538130817,0.0005055581623166,0.0005026678808027,0.0005161403052754,0.000565925354708,0.0005056786558646,0.0005151286698304,0.0005158993997048,0.0005009004439591,0.0005316635824157,0.0005733028264022,0.000507053535066,0.0004632354241877,0.0005207136844255,0.00056539490637,0.0005051050311668,0.0005017070055829,0.0005084299418487,0.0005176930875826,0.000506927844835,0.0005012174889759,0.0005287801355674,0.0004657604762728,0.00048159868606,0.0004633724106538,0.0004534287335496,0.0004874992453375,0.0004996947551674,0.000484807799807,0.0004854174644133,0.0004975710963252,0.0004847938897441,0.0005133604776991,0.0005198867912755,0.0004973520714097,0.0004930764852881,0.0005003182298937,0.0004917081344522
SRR9224137,0.000507725125488,0.0005328338152708,0.0005109380630257,0.0006186168852812,0.0006110097002264,0.0005977403819235,0.0005599432855852,0.0005284164682383,0.0006100950417912,0.0005296939195654,0.0005288085695641,0.0005486404635177,0.0005470557086785,0.000505767765712,0.0005596653477985,0.0005201920532793,0.0005259998301766,0.0005132556495116,0.0005202465764407,0.000515902855515,0.000531088088038,0.0005900344539288,0.0005195390354233,0.000534692370739,0.0005299537995847,0.0005196920409928,0.000552959120388,0.0005880927702442,0.0005250870280879,0.0004741855658993,0.0005396737359754,0.0005856450818778,0.0005218087305331,0.000516475974378,0.0005343069241175,0.0005306609326616,0.0005265586149317,0.0005191727791491,0.0005480286405718,0.0004799103057898,0.0004983542644983,0.0004798035361266,0.0004638975995816,0.0005047840827291,0.0005141068759467,0.0005005953387855,0.0005003216102287,0.0005115315054071,0.0005006290588041,0.000528921218365,0.000535492916828,0.0005140734394577,0.0005081520458109,0.0005161041912193,0.000502426658237
SRR9224136,0.0004989267555183,0.0005180139792808,0.0005025763391376,0.000600847004997,0.0005969060848625,0.0005989061002844,0.0005536917919895,0.0005180721824911,0.0006039779651889,0.0005199634755542,0.0005231121171231,0.0005430637926362,0.0005364964604601,0.000571281569002,0.000498164531994,0.0005101586341408,0.0005232891857824,0.0005052442254903,0.0005114965648383,0.0005115286782878,0.0005244310240978,0.000578567852492,0.0005098061667259,0.0005231125895255,0.000516506047183,0.000508752625927,0.0005446598368781,0.0005841494957994,0.0005152722249665,0.0004690632714928,0.0005249914101087,0.0005757936803265,0.0005110125104651,0.0005082772872088,0.0005129896175733,0.0005270101201132,0.0005116720652355,0.0005123491710413,0.0005398268375079,0.000474287759617,0.0004839626917227,0.0004642675240684,0.0004588529735416,0.0004922906455894,0.0005032184687335,0.000489040716229,0.0004913943646941,0.0005063917677912,0.0004913074773047,0.0005210472463905,0.0005327560373767,0.0005035267775763,0.0004978573032087,0.0005058523787409,0.0004966453088037
SRR9224143,0.0004733141806823,0.0004945378063461,0.0004793437733779,0.0005649418831276,0.0005642879878047,0.0005556265679014,0.0005218066519351,0.000490531080387,0.0005628644768509,0.0004879784481969,0.0004907501156968,0.0005087122571207,0.0005059479800633,0.000537775708955,0.0005171522836127,0.0004565880660899,0.0004980131975877,0.0004833469076445,0.0004877247301296,0.0004818801055273,0.0004943961251269,0.000538866516997,0.0004870379777786,0.0004926814884647,0.0004924768268391,0.0004827722974844,0.0005110159219193,0.0005481106180775,0.0004952960975144,0.000452503819218,0.0004920634114029,0.0005510987316921,0.0004843387351463,0.0004833600404953,0.0004883287376715,0.0004969934880907,0.0004811986545873,0.0004851811774765,0.0005055039854545,0.0004551796157884,0.0004645094366707,0.0004452155640697,0.0004405469936667,0.0004681299178505,0.0004753232928715,0.0004701673322308,0.0004666237598641,0.0004728437228659,0.0004671092575378,0.0004900879930771,0.0005096717420711,0.0004767268637507,0.0004746838803722,0.0004809224819845,0.0004712320941844
SRR9224142,0.0004617577653919,0.0004912386002802,0.0004737654988439,0.0005579804917733,0.0005598797163133,0.0005615843890616,0.0005182726304404,0.000481075224293,0.0005626685700785,0.0004801058916096,0.000484322357988,0.0005059891270766,0.0005027513780643,0.0005319865155456,0.0005181266717062,0.0004873072040598,0.000439122159326,0.0004735181565128,0.0004784483485926,0.0004749864290571,0.0004834726354821,0.0005385719319795,0.0004742930075405,0.000493225805754,0.0004862840248911,0.0004750345410709,0.0005073864489416,0.000535750219081,0.0004859236808798,0.0004419482740286,0.0004922538098797,0.0005435039277258,0.0004796852011328,0.0004739957287845,0.0004898492318217,0.0004892224794804,0.0004808112707753,0.0004829446704734,0.0004991081181131,0.0004461877241818,0.0004619518440393,0.0004451300945248,0.0004330679342984,0.0004556489204981,0.0004719859193287,0.0004572942869407,0.0004535715801764,0.0004620913887418,0.0004544468029628,0.0004831678349273,0.0005002419190638,0.0004709870644276,0.0004694644341339,0.0004705678347837,0.000458865195651
SRR9224134c,0.0004654614989373,0.0004978017014737,0.0004776476245374,0.0005699573276217,0.0005528372329647,0.0005640310040689,0.0005213086825927,0.0004873384982039,0.0005532745695779,0.0004862275432166,0.0004873457912293,0.0005068981225744,0.0005059560500051,0.0005325099051908,0.0005138802789281,0.0004849957020056,0.000485953856012,0.0004503867209833,0.0004818064167766,0.0004779718320909,0.0004900753766727,0.0005374528850785,0.0004791578139905,0.000493962982787,0.0004903687553183,0.0004773177718856,0.0005037501234518,0.0005307129541867,0.0004871196951417,0.0004488952421962,0.0004938243047027,0.0005392178963381,0.0004799425119557,0.000478856659468,0.0004887843471541,0.000490966115289,0.000478866910978,0.0004810831689717,0.0005039055370551,0.0004549827950447,0.0004610297020504,0.0004440368792977,0.0004392784517511,0.0004621897810238,0.000472866495912,0.0004665767612257,0.0004586969190023,0.0004689736468587,0.0004605328512937,0.0004861502665959,0.0004996280361241,0.0004721758020611,0.000470597447142,0.0004764305016485,0.0004622007301545
SRR9224133,0.0004919891932231,0.0005156254838131,0.0004923410847237,0.0005856304871734,0.0005803998529426,0.0005792418018683,0.0005442924312177,0.0005106312740093,0.0005829888203871,0.0005060683984893,0.0005135174560383,0.0005248870671231,0.0005263723534389,0.0005542141165202,0.0005352752655221,0.0005049152855849,0.0005053379627641,0.0004971352762213,0.0004897958095572,0.0004959739522753,0.0005124475501129,0.0005629913461991,0.0005024985692696,0.0005146352488867,0.0005096335796816,0.0004970479214491,0.0005307288660566,0.0005675385576363,0.0005073822785324,0.000471786025248,0.0005160108145736,0.0005589172863496,0.0005086925866329,0.0005050249045577,0.0005042092632638,0.0005128989653413,0.0005043331707353,0.0004984107619641,0.0005238942969183,0.0004751930729498,0.0004864188875905,0.0004701590462931,0.0004631014659672,0.0004914403330681,0.0004972842156741,0.0004857957307694,0.0004901124938787,0.0004953091318488,0.0004874748829928,0.0005064493533876,0.000518341343212,0.0004999341147964,0.0004960358751259,0.0005021903235149,0.000487405936961
SRR9224566,0.0004678047597622,0.0004984225960953,0.0004783122278486,0.000583369090449,0.0005672941582585,0.0005761984830143,0.0005283358858533,0.0004858376586281,0.0005608053469157,0.0004874604987562,0.0004922808308986,0.0005072842393586,0.0005105477079573,0.0005371704326576,0.0005224668774226,0.0004863957286896,0.0004899025269613,0.0004806973196245,0.0004837354966231,0.0004491769256788,0.0004932082238862,0.0005476799086341,0.0004808717126958,0.0004971854830577,0.0004930460037339,0.00047946204198,0.0005146942026359,0.0005469230475017,0.0004934742511651,0.0004490891154229,0.0004971807882792,0.000549534949835,0.0004853670761382,0.000480446354122,0.0004905543487673,0.0004958540571649,0.0004850687190231,0.0004882306221396,0.0005089648688114,0.0004490867335934,0.0004636587937285,0.0004475672990335,0.0004383800302913,0.0004622552100191,0.0004740662790775,0.0004659103138896,0.0004561179330751,0.0004652254307442,0.0004596715921574,0.0004922169869259,0.0004968485099516,0.000473421439442,0.00047245516206,0.0004770211869785,0.0004663259764894
