,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224240,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224317,0.0007655776768766083,0.0006866531839571343,0.0009297298607062488,0.0012477901388862913,0.0006972820941852541,0.0011960773260442786,0.0009322531447837978,0.0007670832120389849,0.0009541079907319901,0.0009322621452253427,0.0006497763829078416,0.0009285882772271233,0.000707409382243406,0.0007807597832798516,0.0006965918969196066,0.0006845672541625159,0.0007950816208314079,0.0006454849305149469,0.0007006652418319067,0.000739083721255881,0.0007666465738631987,0.0008865734986137454,0.0006992479695754044,0.0006848381954225006,0.0006940535892586048,0.0006665933628023163,0.00066316760848149,0.0006970650246361206,0.0006715298339539319,0.0006567277865352622,0.000888287823620322,0.0008978951126350652,0.0006721152463992514,0.0006972929640540635,0.0006931316166040411,0.0008607036318703026,0.000680298730835505,0.0007825249680493854,0.0007140549089008619,0.0008529889439828316,0.0017743308104901088,0.0010815046646335273,0.0008054674456171515,0.0007072175717267983,0.0007756569639369101,0.0007940042875642155,0.0009023962638381957,0.0009145986639418454,0.0009120532211953082,0.0007032297666591311,0.00068520691732105,0.0006645700260111928
SRR9224139,0.0008982875335938311,0.0007819521823974706,0.0010832353786294155,0.0014912801038269663,0.0008152049933279608,0.001416414651422926,0.0011213808793138348,0.0008891487416766198,0.0011857609586855434,0.0011186553347866134,0.0009148755532558707,0.0007489258548779007,0.0008117695853672302,0.0009164181900815571,0.0008157309104166092,0.000781816696046456,0.0009470996374384357,0.0007460446338904158,0.0008058208138308523,0.0008605728500127279,0.0008975331114973757,0.0010790358920209663,0.0008241368800563655,0.0007972103477377773,0.0008135795096098764,0.0007668101175890786,0.0007598221573788329,0.0008153449439655689,0.0007804985652180738,0.000754569484631917,0.001058852706667363,0.0010992811059147211,0.0007847379324001123,0.0008165391141317528,0.0008260148782318345,0.0010442451353251472,0.0007856177858455974,0.0009112362830636058,0.0008443243200234798,0.0010184380478421454,0.0021139057825126273,0.0014039013437941738,0.0009773718211405706,0.0008359680303771719,0.0009286931242999882,0.0009483899537139348,0.0010836903298066232,0.0011069341704003789,0.001121056889788866,0.0008209004930955956,0.0008067761304534625,0.0007678742202408391
SRR9224138,0.0007119902912966132,0.0006381648888556953,0.0008407962438024086,0.001119217089200296,0.0006443539911149211,0.0010832084922426267,0.0008505665417500965,0.0007109880727956474,0.0008660325654138645,0.0008513743031309475,0.0007271101677164445,0.0008459665016828353,0.0005927552033629165,0.0007151414338725456,0.0006406879920956642,0.0006296773380494928,0.0007325108712422814,0.0006006229056856405,0.0006413758938839736,0.0006844392719976887,0.0006989940972407106,0.0008014804598940508,0.0006344500638348086,0.0006294729634070825,0.0006372148500680054,0.0006114664344349125,0.0006066658551171758,0.0006446467454643924,0.0006184353675931113,0.000607175422311407,0.0007940242599128469,0.000811901312698706,0.000619509258165232,0.0006440701389212117,0.0006374515887881004,0.0007904027279118597,0.0006202491198451281,0.0007118446348334966,0.0006632141696271051,0.0007723463845151162,0.0016101830819177233,0.0009868230508049982,0.0007308997823499739,0.0006453513433181233,0.0006971377507637433,0.0007299505900407183,0.0008140614962912326,0.0008401363081236922,0.0008198398423316243,0.0006454248780019955,0.0006317100554331948,0.0006091760656743936
SRR9224137,0.0007473811629884616,0.0006737095177160316,0.0009252820808158592,0.0012628247715792294,0.0006901682540374148,0.0011923677168078726,0.0009118463750804336,0.0007534304713341069,0.000932360882577494,0.0009160504368312162,0.0007782228826104787,0.00092763442530776,0.0006937922538667132,0.0006197835840023279,0.0006818187040613036,0.0006674083938857173,0.0007833392881226588,0.0006398950083326988,0.0006797022374280462,0.0007280171826133315,0.000753238198876875,0.0008713332892873771,0.0006931727172117476,0.0006761654770016403,0.0006790814562859026,0.0006552660327870404,0.0006488138901177085,0.000687906803630492,0.0006472907667734331,0.0006493042585136249,0.0008583337910089013,0.0008953009853207454,0.0006582642034101428,0.0006833431036345289,0.0006824880555187645,0.0008519415436013688,0.0006662489352447872,0.0007635916557712202,0.0007018026732386328,0.0008422973283062667,0.0018028780095416758,0.0011204873597639125,0.0007878102776126194,0.0006854911805174236,0.000753463956729447,0.0007896141446365536,0.0009053874104972248,0.0009152129378138852,0.0009060084866682832,0.000691363272276995,0.0006684835941572593,0.0006551037236197307
SRR9224136,0.0006927646642951833,0.0006243598467510103,0.00083308619930364,0.0010900156579046131,0.0006375328427450895,0.001062763845908638,0.0008510546594569744,0.0006922950820427821,0.000859452683051863,0.0008284276960499627,0.0007163481236484708,0.0008498239718019206,0.0006410049992218033,0.0007029960013653759,0.0005755880280343545,0.0006178777454544476,0.0007221875110599387,0.0005885965751876938,0.0006243985743927192,0.0006711540997523784,0.0006845475692219272,0.0007953710728573519,0.0006339270144608338,0.0006290873830397041,0.0006291740448411756,0.000603489859529228,0.0006071589965584693,0.0006375020789566102,0.0006094953396742545,0.0005959136439045151,0.0007747445199390573,0.0008018166629968568,0.0006101149553781315,0.0006384969295799072,0.0006359283510069612,0.0007832956322641963,0.0006196690237345765,0.0007043803665134478,0.0006492918589374666,0.0007531251728812088,0.0015662989732187279,0.0009451931540656094,0.0007137831650355522,0.0006403462239131143,0.0006936362678249648,0.0007102256962843823,0.0007902538909339313,0.0008178998129722242,0.000819892669968085,0.000633761517186759,0.0006140712459029623,0.0005949657339754708
SRR9224143,0.0006833974841636091,0.0006196828516571547,0.0008075117425087993,0.0010813029605977415,0.0006346581762077645,0.0010558044944485236,0.0008169804084243462,0.0006874019923805221,0.0008550829800038085,0.0008256132716792328,0.0007070320414723368,0.0008174319341866656,0.0006332133903802738,0.000691403189448254,0.0006216131509471862,0.0005713664940149871,0.0007152506337811445,0.0005833137146519491,0.0006273918482553908,0.0006618029725999729,0.0006808436981554586,0.0007776315388301043,0.0006303553363930777,0.0006226638376601694,0.0006303368099306882,0.0005996264190811092,0.0006024985799556561,0.0006398533337693324,0.0006038230486810971,0.0005899804635657205,0.0007683503627194453,0.0007981352582115797,0.0006083781341591041,0.0006326585091836975,0.0006327892305591838,0.0007723814694441932,0.0006178695441580144,0.00069689619166114,0.0006466618068121772,0.0007517581348435374,0.0015370419459823262,0.0009435940842833552,0.0007155368438408101,0.0006348590803561282,0.0006904136704040498,0.0007080563607606011,0.0007967523398573558,0.0008154081123149129,0.0008123712957861502,0.000626250838643662,0.0006112985627871912,0.0005986837545379793
SRR9224142,0.0007695097223090369,0.0006892635665986671,0.0009500242185434219,0.0012662495367899895,0.000705047081392623,0.0011904168810397205,0.0009568029940487139,0.0007677945810791934,0.0009927264310773062,0.0009466322375316681,0.0007882064008037198,0.0009529643800527095,0.0007062621049079734,0.0007785943182726102,0.0006966247717557127,0.000686713378322624,0.0006296269461535641,0.0006475489155258976,0.0006919938801004531,0.0007470349166577896,0.0007732241687088032,0.0008971529673670412,0.0006968977954500003,0.0007002748970325801,0.000707166706151479,0.0006656158673774338,0.0006679739359803366,0.0007110779178142561,0.0006676592715162584,0.0006597509720767973,0.0008749524195100615,0.0009428489266190456,0.0006785291425800564,0.0007165643219369526,0.000717832851709982,0.0008880165434295103,0.000687209803587202,0.0007895596888376757,0.0007125581704950608,0.0008643437559038437,0.0017981068090181331,0.0011499831573824385,0.0008150224994621935,0.0007107776911174694,0.000788766424962572,0.0008151071495430586,0.000914972526709117,0.0009488563139567529,0.0009480263644949878,0.0007061997507028111,0.0006862887937103206,0.0006723994189631156
SRR9224134c,0.0006656413566580323,0.000603972371197126,0.0007826664099891591,0.001075110259092209,0.0006168860975318003,0.0009847810542696477,0.0007836550931971725,0.0006680813472498024,0.0008258079748676497,0.000798528619484005,0.0006872917767304423,0.0008009110535652186,0.0006240348828464519,0.0006820624812732979,0.000611418910304981,0.0006028859035165789,0.0006945878604812786,0.0005453663459578495,0.0006112420290568301,0.0006428303355340485,0.0006667697367393562,0.0007717582382653056,0.0006203999446606052,0.0006129027112746024,0.0006213331406988312,0.0005893417716741494,0.0005850996827113204,0.0006254936271702779,0.000590525153543404,0.000587112344126398,0.0007593314572391667,0.0007870155254825111,0.0005972250934001466,0.0006145026767426752,0.0006147019225484679,0.000758430165910775,0.0005987013695076502,0.0006801501381142848,0.0006269017898344538,0.0007367879679075009,0.0015122886644972139,0.0009462421022848283,0.000695585949599471,0.0006229546601324013,0.0006688110440220462,0.0006836363616125785,0.0007636709542882098,0.0007841833012273335,0.0007935546568745518,0.0006179635000532709,0.0006041024537141235,0.0005826354645673047
SRR9224133,0.0007032852931223291,0.000633194336291194,0.0008248008587730811,0.0011180065867079482,0.0006491518121161005,0.0010568501110155182,0.0008493478879430788,0.000690049388403191,0.0008635043307621561,0.0008309092004460078,0.0007292130919988092,0.0008476325287770498,0.0006497374904642696,0.0007087114204838922,0.0006327860553162839,0.0006317513987531746,0.0007262317729755199,0.0005958636907755594,0.0005916366599595588,0.0006716556804868865,0.0006883412092942952,0.0008005967374652989,0.0006450655646532582,0.0006388443762830686,0.0006373837496120632,0.0006143394358837232,0.0006159942592982423,0.0006514390800736175,0.0006186872408477768,0.000603522523081786,0.0007815163994285885,0.0008162606237977133,0.0006187228456802334,0.0006406057366690912,0.0006439470340436493,0.0007832934043604845,0.0006301397638462287,0.0007120078958773124,0.000659002228067595,0.000756166442056369,0.001580853616956157,0.0009617917029530878,0.0007111552586001801,0.0006502451838292033,0.0006931889948487749,0.0007128093119148695,0.0008078909656531114,0.000831122275372245,0.0008186448882318344,0.0006358037465393823,0.000624280689056654,0.00060888871231802
SRR9224566,0.000714941679275086,0.0006534193537526339,0.0008768582095367301,0.0011734802601600298,0.000669940079432752,0.0011015812983726798,0.0008713616019527331,0.0007067889857983394,0.0008931029780466457,0.0008628996335591134,0.0007443372856990047,0.0008801101272958473,0.0006713295470477283,0.0007355259030738818,0.0006579656982778827,0.0006451948512935673,0.0007595582357850456,0.0006074989515041886,0.0006501693271178929,0.0005891237708759593,0.0007117194050180752,0.0008517841692321407,0.0006594634358776234,0.0006523186714685829,0.0006558847508818267,0.0006312586751599384,0.0006308767014206397,0.00066605181030999,0.0006280290265280395,0.0006203073313925404,0.0008176941461321156,0.000831775784747057,0.0006349762202716898,0.0006627989636965494,0.0006684074996260864,0.0008072087294350055,0.0006438180959257443,0.000739856374165315,0.0006747814897514515,0.0008012488889498793,0.0016655752097144007,0.0010211648173205658,0.0007504075052810182,0.0006732439034047383,0.0007328449202676515,0.0007461546324812766,0.000842468042919534,0.0008580571797784383,0.0008553681262598521,0.0006655804618505678,0.0006491491842514792,0.000629879810647998
SRR9224004,0.0007345584039861092,0.0006642227681121559,0.0008992187068575672,0.0012136696148328666,0.0006854278946733563,0.0011579622661722613,0.0009127426657007281,0.0007335285793852987,0.0009463697828819987,0.0008947922302169181,0.0007667328302381556,0.0009113026488311663,0.0006801576267342337,0.0007548247430062893,0.0006657500717926415,0.0006587153439151115,0.000779987746199162,0.0006259354311946578,0.0006613803769182681,0.0007065678324430136,0.0006083746904677777,0.000874448940327676,0.0006710173204319738,0.0006692703847120676,0.0006705497120092153,0.0006396214027699209,0.0006389602906587144,0.0006761032834606562,0.0006450686067040709,0.0006297442809380451,0.0008498860153235493,0.0008766941252301811,0.0006517559196710793,0.0006745533168253565,0.0006779742609665232,0.0008420828670774839,0.0006510125441365302,0.0007658968996915892,0.000684046415982608,0.0008152174850856099,0.001743248600249557,0.001060177108082767,0.0007706158198783171,0.0006836232713077077,0.0007466340837172666,0.0007653382778229893,0.0008723123143441187,0.0008934312223692779,0.000890595940130662,0.0006743378313346542,0.0006603347749492762,0.0006408051381819736
