,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224322,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224136,0.008104102366319378,0.008029208731214576,0.008399551462533707,0.00813807069258938,0.008267248117031228,0.008632265973739672,0.007720110464770511,0.007782438733838708,0.009135023519654796,0.00864845326499268,0.008155503804608253,0.008464582203484259,0.007670898179397553,0.00815282926743298,0.008240926140974193,0.007901086329591842,0.008076425984640699,0.007501568173517658,0.0072778100278932676,0.008131214058549111,0.007267851919981331,0.007986069370254935,0.009082904132854357,0.011456916916931199,0.007555943208042108,0.007813288730879019,0.0077547716793298525,0.0073651446660880715,0.009065094097959945,0.007416663806802157,0.006609916670980392,0.0069637556979083885,0.00764635954429149,0.008175623366193622,0.008547439404965952,0.008396452533084998,0.007615108699223355,0.007935378324551101,0.007798842270928186,0.00815991328030147,0.008203787902465256,0.00802949530482664,0.007508222196609873,0.009605863696129901,0.009436024928888996,0.008531601789101643,0.007496083888951568,0.007762972926004393,0.008187067721019342,0.007347599213029083,0.007369467428185635,0.0076327497017301335,0.007240023424493578,0.007443876927070865,0.007070547518474399,0.00795224098721372,0.008240205893498588,0.007284456101115544
SRR9224143,0.00727741572433024,0.007193295092005951,0.007536802989144796,0.007193886161800317,0.007426156423239206,0.007936203364125392,0.0064434465271555035,0.006651669803072224,0.008556826503183793,0.00788858956053742,0.007279198019271567,0.007459511613438981,0.006632315467723976,0.007283587993085008,0.007424209345226288,0.00694356064680391,0.007505695736477901,0.006159965405394795,0.005975568216286018,0.00724628379379136,0.005656381618290162,0.006937334226047851,0.008390433321267597,0.010809075630307346,0.006410029146559868,0.006692528426758244,0.006656776304748978,0.0060563535790625215,0.008552778257991377,0.006263078846857379,0.005039808035939677,0.005412063475664402,0.006572508290265699,0.007220422453347093,0.007655495028987979,0.007494054595992925,0.006355763549214388,0.006697978215640561,0.006764173150108908,0.007268108737562449,0.007300148768789624,0.0071236845776616545,0.006328308682352382,0.00924912532831542,0.008930328480261275,0.007743005190276148,0.006260679086885464,0.006409698325547983,0.007065771086541828,0.006128905020848814,0.006038649740671882,0.006195508675414832,0.0058296213625599926,0.005935948056395815,0.005589933424270035,0.006871952146117314,0.007211310433510628,0.005752426484517338
SRR9224142,0.007165329374406404,0.007059725736888599,0.007341746433133117,0.006966923900184854,0.007253309859728472,0.007869871785081983,0.00597948342249421,0.006305498247276835,0.008529120422294968,0.007738202889916352,0.007073989541449653,0.007153829629764539,0.006387037136197933,0.007135317261042339,0.00728817615593633,0.006722840008165186,0.007328637074229405,0.006017151102464426,0.005287138241835669,0.006989298264875161,0.004974608510900798,0.006574865875557594,0.008192900281412178,0.010575237840241723,0.0059468935734490564,0.00613079313797155,0.006260883174271291,0.005558651152648249,0.008601725690195359,0.005958254548889403,0.004448027668754155,0.004747672790514706,0.006133519658078243,0.006746254812464191,0.007196093754467057,0.006975909888750074,0.0056924845001282585,0.006143810051013532,0.0063515651596125905,0.0069786555905388455,0.007069227618473416,0.0069138138079585425,0.005948787002573052,0.009378702420418085,0.008960972600543229,0.0076086420229528485,0.005630051783846442,0.005656817135726425,0.006643301486130614,0.00563847305824862,0.0054686865964274885,0.005538930867233516,0.00517042363395195,0.0051561344512720585,0.00488647999048146,0.006344928298032259,0.006749476120449008,0.005025092655151709
SRR9224134c,0.007980053703578642,0.007896276320311656,0.00824164050265813,0.007976581145981336,0.008123402643014917,0.008521903934651845,0.007481069056550783,0.007576796360188103,0.009044471603645299,0.008522080290202556,0.007997222845305262,0.008281728856276692,0.0074959902443814,0.008005191864531637,0.008110772939855612,0.007740791063804223,0.00819188931886323,0.0072967760700764425,0.006993260813839421,0.007752311600865804,0.006944137902194011,0.007776479404943595,0.008952015640370055,0.011339073409083782,0.007306511289199986,0.007543585015265944,0.007532937434436593,0.0071097741309050855,0.008997673514605545,0.007221377032276351,0.006328228316832433,0.0066476556365250945,0.007401906070676114,0.0079300975956247,0.008317323588079115,0.008137718336872704,0.0073158767286414655,0.00765971069579084,0.007564550688377595,0.007965928588422058,0.008036688577690142,0.007867086269240571,0.007291534919384954,0.009563328576935148,0.009362826503190121,0.00839556846514674,0.007201967928466394,0.007439619281959979,0.00795620338993064,0.007078627866346809,0.007087587270144839,0.007328204702408887,0.006932127569774102,0.007102144303175513,0.006751095321948016,0.007700495665995046,0.008014646591422914,0.00695609484597554
SRR9224133,0.00686672713447292,0.0067558484995089456,0.007060557724987138,0.006602518076265959,0.006969835817691586,0.007713560039990186,0.0053799225268000555,0.005803287056210605,0.00843975017009412,0.007503923531884902,0.006733957440043166,0.006748877046035605,0.005924054659207652,0.006837139346838224,0.007001056133735165,0.006319942014923608,0.007049949572404704,0.005481833898797993,0.00479216603985107,0.0066896570131625,0.003920939858546432,0.006132449746345311,0.008004814636480211,0.010299487738093891,0.005433444247173989,0.005661605344926006,0.0057680269823719744,0.004897549494066148,0.008561308109468086,0.005418512626245828,0.0035622406244763946,0.0038673170900870913,0.005696279814743158,0.006421983157838974,0.0069221702049348695,0.006706968988437988,0.005089779030708214,0.00553936754611621,0.005937569149040092,0.006673334162402837,0.0067390045944755944,0.006570001607658104,0.0054049228944059126,0.009488947434506503,0.008954553265626964,0.007390536452393495,0.0050524540245592605,0.0049388512748248506,0.006134469026623094,0.00506658623904413,0.004770595420761778,0.004754632169319343,0.004413114203375726,0.004305734404159484,0.004059968112289487,0.00588730661223096,0.006308481415211803,0.004163252385855006
SRR9224566,0.007753661767114136,0.007664673583096785,0.00798846104958321,0.007675853999229715,0.007880832271849325,0.008361561523612083,0.007005198359588811,0.007181375934143581,0.008918247730029452,0.008295619204622828,0.007725187804683993,0.00793399894460782,0.00715881167542035,0.007766958409331981,0.007876408452358655,0.007428217215407647,0.007945848220740072,0.006899739224953555,0.006495086787059457,0.007679393304128189,0.006294350730435593,0.0071148536148209415,0.00872214880299301,0.011104852177932036,0.006878651268458594,0.00708740216966129,0.007134340245528566,0.006597631833859503,0.008929449048878393,0.006832998361318147,0.0056959069192229796,0.006010154247160611,0.007012533950581088,0.007567804091159868,0.007967471314967646,0.0077793931648232565,0.006778763627629518,0.007159297956348597,0.007195653830811926,0.007682411427336459,0.007750023722397858,0.007590216397972838,0.006875257685652601,0.009572434292129027,0.00929160834625769,0.008183904541962727,0.006689902863194551,0.006836448103914793,0.007534402010129805,0.006627012459107442,0.006555102386988821,0.006718960916273732,0.006347683219242072,0.0064422290987152155,0.006120549818282519,0.007267036107091978,0.00760623160038848,0.006306211027614097
SRR9224004,0.008711162615729094,0.00864055294355722,0.008982771682502397,0.008756174072199436,0.00887085250042603,0.009187500315265384,0.008448079387019447,0.008475476046689575,0.009598023666284605,0.009177916156989202,0.008750059732245966,0.009074953988803832,0.008349872924944256,0.008770994708501078,0.008824814555300839,0.008541152225786918,0.008904030924287208,0.008221821173604382,0.007977714299120727,0.008712646839750133,0.008093489493732854,0.008592215904505192,0.009012885015048527,0.011826424840827764,0.008207097247983575,0.00839717224699682,0.008397462081111659,0.008077684024527123,0.009546230338909046,0.008136236045792628,0.007466414086866707,0.007758118578012386,0.008266795008298675,0.008705878783240367,0.009028700911162847,0.008863998696002571,0.008239395866854227,0.008566219816527613,0.008406295843979712,0.008730576045171447,0.008796350440231965,0.008642153035862478,0.008227153323022804,0.010009832142828981,0.009895252782292146,0.00910315000614426,0.008126984026273203,0.008388083094963953,0.008808896546059776,0.008030000046919212,0.008075224136536073,0.0083399960882752,0.007955454604815613,0.008158500621432273,0.0078033382903635725,0.00854091254207029,0.008805006256130888,0.008044917801726932
SRR9224005,0.0099699257364564,0.00989166288410013,0.010259787318798315,0.01002355350776734,0.010156180056722289,0.01043247696723428,0.00972927358767023,0.009795657906086837,0.010779874339176983,0.010412178332833344,0.010019695075199486,0.010284075382594317,0.009679293932037866,0.010078291862583593,0.010074467823232413,0.009841559532836346,0.010150358433163038,0.009572446425559126,0.009324334231381765,0.009990954914632042,0.00935840788792043,0.009873972677580159,0.010640593126710231,0.010334726954155013,0.009537685892692984,0.00970577154789469,0.009729193408044196,0.009415772995149556,0.010746657591812125,0.009486265221885849,0.00880679486622491,0.009028179679696213,0.00955534840793681,0.009979036996999615,0.010241830093621333,0.010125126946001848,0.009547394603131311,0.009804667080883612,0.00971433504805301,0.010028957976412798,0.010078845336842224,0.00992707276139639,0.009586465259400259,0.011130673579991757,0.011025775268902442,0.010393918834364834,0.00945006064354013,0.009596740341938251,0.010054057873533999,0.0093765596675655,0.009409117582270199,0.009557302443112523,0.009269275644652084,0.00938072381668213,0.009098429611105421,0.009816576858676379,0.010039393902749888,0.009281555055434272
SRR9224006,0.007448076264702088,0.007345716086371273,0.007659185639983209,0.007316758962098963,0.007551500498906563,0.008098267255829007,0.0065046704193980264,0.006755710938305504,0.008700941552076786,0.008007439994002772,0.007388183439691127,0.00754683320270285,0.006765229494721181,0.007436917293961101,0.007567119641841263,0.007066557530315014,0.007622605617169649,0.006465547188350162,0.005959692051465594,0.0073166947371448845,0.005647604458646452,0.006975802909439846,0.008442752532797231,0.010828035039626028,0.00625013821995453,0.006586727028600799,0.006684698834309666,0.006081907570125763,0.008742596145334732,0.006396397427524386,0.005097889162078175,0.005396340862087745,0.006553249117458993,0.007120546412883756,0.007554183502889732,0.007338135029071364,0.006216597210207552,0.006651191487063241,0.006750560153388116,0.007308173268081995,0.007402701221898615,0.007238834149569859,0.006407050636987976,0.009439506503420863,0.009095516961274447,0.007872947021730652,0.0061402439058365005,0.00623692061545541,0.00709208127595115,0.006119440764315073,0.006013061972578012,0.006133163513801835,0.005759285177231126,0.005801270551061259,0.00550880796514464,0.006781825591455853,0.0071613247930495715,0.005670761020584006
SRR9224562,0.007724295098202127,0.007613468458095582,0.007906552599575888,0.0075667755980674935,0.007802190650258675,0.00837824089890192,0.006734905414045833,0.007011503527644762,0.008953942625475409,0.008245812349573018,0.007631749230359243,0.007781322774727685,0.007041139262385584,0.007723625601460082,0.00782551335471213,0.007325257810235426,0.007864358479115314,0.006736437939943334,0.006129968382415274,0.007536737358077434,0.005869147838830115,0.0071709235593749926,0.008617843651120774,0.010992024850314999,0.006571784531844694,0.006489661963090972,0.0068787100706780395,0.006282830455905616,0.009026504355643228,0.006676616212840834,0.005335283194820987,0.005576642558907771,0.006707275949947752,0.007204849770359873,0.007622645395674295,0.007366790412773327,0.0062790756945026015,0.006775966248586847,0.006912114636551008,0.007506270811246562,0.007637844945007217,0.007494487047460677,0.006650614484335398,0.009711008752445046,0.009367351640152679,0.008136457599070591,0.006212341030297671,0.006274474183941989,0.007280846249702875,0.006300351016377966,0.006188574209618625,0.006283512612659205,0.005889087787949057,0.005885571615225755,0.005628442308405591,0.006878011191544998,0.007285563359621044,0.005802088091771846
SRR9224563,0.00757488945696807,0.007480107414379043,0.007803304975239898,0.007483782773437755,0.007700598655821413,0.008208267841215068,0.0067362947405572695,0.0069530290846801564,0.008789524332453107,0.00813630485117678,0.007541022772560438,0.00773121589296673,0.0069387140983828925,0.00757845244468859,0.007705337811021482,0.0072292541735938225,0.00776614811157648,0.00666433677796642,0.006225318916811292,0.007487025901286925,0.005954770066668112,0.0071810880190109,0.00857694589569917,0.010986517369027298,0.006633683853344169,0.006841601806425901,0.0066878835504627825,0.00633127709625955,0.00881151626724384,0.006595379503000063,0.00538231716634827,0.005694231852412704,0.006779371590274716,0.007348941302306793,0.00777237251484263,0.007570320040018247,0.00650388128084131,0.0069063168625369455,0.006970996654258862,0.0074882115637974304,0.007561117627132778,0.007398079255897856,0.006618463412935438,0.009480591209381654,0.009170807775653921,0.00800789738303843,0.006419239522974304,0.00655020935636709,0.0073063602037933524,0.00636994084033299,0.00628217924616519,0.006427309458285267,0.006053432538728074,0.006127205757819053,0.00581621844528063,0.007025550845319298,0.007386276863673747,0.005988975669603527
SRR9224564,0.007166154478596237,0.007062728145291628,0.007369334900271936,0.0069973479527785975,0.007275902994702568,0.00788383887624773,0.006029392620329165,0.006342720275012935,0.008540960999134501,0.0077606317713031355,0.007093242690049188,0.007189901581470768,0.0064025305974937975,0.007155150667472343,0.007297081256828803,0.006739416327519272,0.007355365606810446,0.006046078905527476,0.0055094955204328415,0.007045943614217738,0.00504474966580446,0.0066216765272591755,0.008228671233722422,0.010614803718065138,0.006017071698345883,0.006230280618584066,0.006312708283272295,0.005425764270635434,0.008601839213349203,0.005980278487578015,0.004495416928975292,0.004812990209829933,0.006205981974382833,0.006852308959972477,0.007308510696847457,0.007102487708301568,0.005800293446106714,0.006221471520338451,0.006421742058141441,0.00702815747371465,0.007102440425849924,0.0069347164732632026,0.005989022167892872,0.009376369359069502,0.008962801862011408,0.0076201684770367244,0.005734257194717288,0.005769653730905189,0.006703285244572392,0.005708850883532202,0.005535732209662123,0.005612774609822644,0.005254664041116927,0.0052529908519438435,0.004970079390727639,0.006438720038705772,0.006819340081513782,0.005111018327414959
SRR9224565,0.00877280312639256,0.008717135371472078,0.00912968111134093,0.008956509317915317,0.008984219468544224,0.009181649248774279,0.008901670318782917,0.008797920193453174,0.009572930196132111,0.009299437118587573,0.008910496244069891,0.009365078017653149,0.008560626182786326,0.00886466499097684,0.00891551365411461,0.00872702275960142,0.009038707540589521,0.008521561094994723,0.00851850885951801,0.008905883992288992,0.008798407535055789,0.008947821499410712,0.00970881380416083,0.012097821357249062,0.008642519477966454,0.008943482607924673,0.008773145252702947,0.008587463094743243,0.009104147875365167,0.008426598204062993,0.008074604196570736,0.00845170705654908,0.008656622300662222,0.009142299906924558,0.00946516163665621,0.009346477793512963,0.008903503533383723,0.00913735364047583,0.008768596761215093,0.008955689458102985,0.00898628318896969,0.008804257998750505,0.008574376050571954,0.009790376674605734,0.00979073064106265,0.009170920462022374,0.00875030548070399,0.00917799992580358,0.009228691540207945,0.008490328390485996,0.008645056355533587,0.009029598422037686,0.008633438114748669,0.008977290395006578,0.008531752323010254,0.009040713895673971,0.009255592611146952,0.008795049153446652
SRR9224560,0.0072359031930278594,0.007158602395292368,0.00750295952177816,0.007160742549774491,0.0073873357997606215,0.0078968926094213,0.00641044384774717,0.006615113148940586,0.00852032656186842,0.007851249059625656,0.007239255383203626,0.007426525819627679,0.006597103060844216,0.0072442880493393804,0.007388078256081712,0.006908994825935244,0.007468132476933249,0.006303101401712998,0.005956294446994293,0.007217204994880734,0.005625470493118149,0.006915294350916646,0.008355880180470256,0.0107669905256116,0.006382461579480238,0.00667671919763136,0.006630941595758327,0.006030118859912676,0.008509781429702252,0.006101661973912382,0.005009632209376219,0.005389075220776948,0.006547235451142328,0.007197426361718616,0.00763684508567627,0.007470865977133492,0.006339548777161455,0.006683456446440838,0.006735662068190134,0.007236528091020127,0.007264604061993036,0.007084337609319119,0.006296130186332369,0.00921423983846508,0.008897221881301012,0.00771166778925057,0.006246170687932945,0.0064012297238775235,0.00704127830750119,0.006107784206939741,0.006009014663740621,0.0061755792255757044,0.005810556417404387,0.0059248090279837625,0.005578603873811209,0.006852484932579379,0.007187348254727518,0.005732620545002526
