,SRR9224203,SRR9224313,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224133,SRR9224004,SRR9224005,SRR9224562,SRR9224452c,SRR9224454,SRR9224448,SRR9224451,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224004,0.0005795669421875845,0.0005710180656390754,0.000573223652490568,0.0006177775680906261,0.0005786439025869375,0.0005741807727424569,0.0005695671314896624,0.0005758963741610595,0.0006294467387448647,0.0005958087359331431,0.0004950848371190153,0.0005606925648327806,0.0007096355735570203,0.0005223103648143182,0.0006257122191051606,0.0006352894564561555,0.0006804149642930204,0.0005274944113240305,0.0005698054290161878,0.0005172294431887552,0.0005802000856114336,0.0006329248300576801,0.0005546949203893295,0.000590037173935056,0.0006017678388960037,0.0005417001938135557,0.0006444441005495341,0.0005286825944819238,0.0005158938775993963,0.0005744049371864849
SRR9224005,0.0005651867599771908,0.0005594571884322082,0.0005619068292801387,0.0006047764014477832,0.0005640674026249373,0.0005471741519464228,0.0005674989063978476,0.0005452951315938923,0.000585908528353548,0.0005775801387396928,0.0005630720446061096,0.0004921416387609637,0.000661820525549166,0.0005157516016296562,0.0006003345418909918,0.0006049939097113389,0.0006319171966312322,0.0005330504908031876,0.0005542678971143514,0.0005174053279347269,0.0005743579045784291,0.0005969898974682225,0.0005312429236418825,0.0005703701757825695,0.0005839413255484119,0.0005282974798065372,0.0005961883943301438,0.0005203436673505255,0.0005032633141644406,0.0005483428633743983
SRR9224562,0.0006730480752634126,0.0006692707044738547,0.0006698084568844955,0.000669531834770268,0.0006755100458640491,0.0006617718769265922,0.0006853243381207476,0.0006462852865823591,0.000697906519795117,0.0006420256613528428,0.0007042386558431502,0.0006562407387078851,0.0006041959000464333,0.0005739776655813159,0.0006373761939621628,0.000655369960420301,0.0006473324660614461,0.0006123036503044571,0.0006404688126010411,0.0005948813485845013,0.0006282846971388378,0.000656237180918066,0.0006928763204066179,0.0006405353861618868,0.0006449173754212649,0.0006162053335595248,0.0007066848305734516,0.0006140263961370417,0.0006181454376982526,0.0006382780492925104
SRR9224452c,0.0005405330591535962,0.0005365429135150313,0.000542265604424976,0.0005831400080711607,0.0005435949652978337,0.0005273334930927504,0.0005363901797711026,0.0005298463125567665,0.0005395478730982933,0.0005552030793748002,0.0005431478653165333,0.0005319268802521685,0.0006026653454691632,0.0004514798028877557,0.000568091174837693,0.0005559983743245679,0.0005656668132479295,0.0005042274386350806,0.0005217283210139005,0.0004894032485689908,0.0005335320451098576,0.0005374705828111021,0.0005102300615833345,0.0005489279348353154,0.0005520651303092154,0.0004953977366567589,0.0005944555036860054,0.0004951298188751742,0.00048705230549602434,0.0005244926949720807
SRR9224454,0.0006216174109250907,0.0005965077137239309,0.0006246428316327034,0.0006424228486780026,0.0006133037054231633,0.0006023885896912041,0.0006093073474675279,0.0006012263275932639,0.000647419831187869,0.00061377667153103,0.0006213736610672162,0.0005958131566510642,0.0006387053874992491,0.0005415564132761358,0.0005429371872522121,0.0006220595455799133,0.0006035212434209777,0.0005764850897783774,0.0005942030132819791,0.0005368208150246554,0.0005752624593616838,0.0006104324035886002,0.0006123054559690798,0.0006086425223935537,0.00063939342441658,0.0005504430811155935,0.0006878929251212266,0.0005573541497585141,0.000554675274449988,0.000608856346605233
SRR9224448,0.0006134387774521528,0.0006070938415100106,0.0006115532386168756,0.0006454406576108779,0.0006297408656847514,0.0006024442365498778,0.0006327308973239273,0.0005892675992717763,0.0006696100474302945,0.0006070832846903334,0.0006324772636818668,0.0006022383270829131,0.0006604966749972144,0.0005318462366515533,0.0006233706011724907,0.0005491298184634268,0.0005928816650799134,0.000563039422665776,0.0005823778792606896,0.0005476030179535842,0.0005834563954891527,0.000613906602588279,0.0006083281066903094,0.0006176976762449695,0.0005924255856415385,0.000562839011482876,0.0006595597411501475,0.0005743078348940822,0.0005738339660539062,0.0006114632385274216
SRR9224451,0.0006552934243330576,0.0006034100763216185,0.0006465157801026508,0.0006526422458838529,0.00066492919469974,0.0006174986301970306,0.0006243810683240774,0.0006408282261088258,0.0006836028749256705,0.0005992819295242984,0.000677356893765194,0.0006299272740756465,0.0006476772718152111,0.0005421338916959273,0.0006034267098298133,0.0005884492796806234,0.0005879658831594117,0.0005955089257648238,0.0006311187472534355,0.0005609150061779279,0.0005571535012842472,0.0005792994216367121,0.0006923252720202871,0.0006498724735717109,0.0006735405312463925,0.000592837307316919,0.0006695978469739717,0.0005870685087669701,0.000616392050880468,0.0006277672513784225
SRR9224277,0.0005591086934148883,0.0005447847249280074,0.000544183575610429,0.00057978550608342,0.000544142851927263,0.0005415668559493815,0.0005418964874341981,0.0005328798470466851,0.0005701472411352249,0.0005586193628294247,0.0005423951906041389,0.000545010767803732,0.0006342588845089794,0.0004991658445844465,0.0005965512241855758,0.0005823251682560297,0.000615086391828579,0.0004499814958394912,0.000523513720639925,0.0004956637687496258,0.0005488002020007115,0.0005721844153869562,0.0005124483607448261,0.0005621957029463715,0.0005831178447226761,0.0005000960936121052,0.0006055206526483989,0.0004980248242143362,0.00048553335803984914,0.0005194443104170071
SRR9224278,0.0005591920584961262,0.0005514497702068459,0.0005589784095467824,0.0005972950909113662,0.0005485954120540732,0.0005656474747065972,0.0005666792720422086,0.0005657654288983439,0.0005926608387530271,0.0005589809859067423,0.0005734382564050003,0.0005554422040781109,0.0006512071286057056,0.000505857327203178,0.0006035738944487788,0.0005894528936878342,0.0006413751900521526,0.00051299487036684,0.0004730489029444184,0.0004935442038395973,0.0005520515006214858,0.0005830740249626459,0.0005326565631914256,0.0005677143383906105,0.0005723859539289513,0.0005252090541201547,0.0006298721283186227,0.0005177435930760238,0.0004975705678527475,0.0005385802209426735
SRR9224275,0.0005301931365465612,0.0005274809255413888,0.0005382395642013733,0.0005724612292295346,0.0005240178529493397,0.000522609469085224,0.0005311220122548241,0.0005199259714856483,0.0005413230020385989,0.0005565605551555999,0.0005337108930344761,0.0005310432603743726,0.0006158914862632213,0.0004864850536975894,0.0005576378603929248,0.0005677007346014999,0.0005794299169363867,0.0004978130670854464,0.0005059608925784191,0.0004310019094859921,0.0005311680119609663,0.0005388819261293664,0.0004939803657953948,0.0005370498923274481,0.0005361407467125018,0.0004849045165527146,0.000593041916342815,0.0004881060660764386,0.0004758004775010704,0.0005115911128634338
SRR9224276,0.0005654922954594462,0.0005784297912822839,0.0005689334972500522,0.0006154868939137473,0.0005736531059283083,0.000541116616435377,0.000555877981052695,0.0005608288733451173,0.000593170389170441,0.0005921480100713577,0.0005788496006969278,0.0005710103436187853,0.000633887272631182,0.000511863657218117,0.0005784917438137413,0.0005860025846933472,0.0005616963397614018,0.0005328690573659714,0.0005475692933020305,0.0005132871680617771,0.00048384428980578363,0.0005638324284235848,0.0005366753757103857,0.0005694560421891672,0.0005840110315780957,0.0005165686462780647,0.0006168441508782018,0.0005070252689041363,0.0005091373337407841,0.0005271768534766831
SRR9224273,0.0006224995175634833,0.0005891085388683405,0.0006178564513900459,0.0006248543643628219,0.0006238889413613528,0.0005962114192185368,0.000629256612940609,0.0006203860285791408,0.0006292711771420334,0.0005955195533778275,0.000633111231017458,0.0005939139170072742,0.0006643189876101067,0.0005152957310262179,0.0006160890790698601,0.0006153176855028021,0.0005870864870939115,0.0005538168482077061,0.0005755133527643735,0.000520526579461393,0.0005622880796514868,0.0005135492077087794,0.0006183598800251445,0.0006077784434977417,0.0006386920565618801,0.0005419895218668723,0.0006719972980279981,0.0005498989356294118,0.0005322762575831362,0.000577506826617104
SRR9224282,0.0005708923694889778,0.0005506562768243389,0.0005593097922134077,0.0006205578446875885,0.000552486185434882,0.0005433437155660952,0.0005534935126459962,0.0005417861326082581,0.000592297211181939,0.0005731072799682494,0.0005658189982575777,0.0005401039944033718,0.0007065272217968609,0.0005028718763758728,0.0006268432230696133,0.0006210792053700329,0.0007016351670968737,0.0005106544098653793,0.0005403479753503686,0.0004893029240088752,0.0005494069821235308,0.00062874826931903,0.00044876473335371146,0.0005599909728875182,0.0005836807067427164,0.0005083416926006588,0.0006579120814885388,0.0004985545622692198,0.0004840662288128918,0.0005297190803179463
SRR9224283,0.0005910542991592537,0.0005815866891128188,0.0005832407356708259,0.0006183012085113418,0.0005869695373827016,0.0005686521040297816,0.0005729872644334402,0.0005893820837350819,0.0006098373636677463,0.0006069532945109222,0.0005939272045878395,0.0005703265720586079,0.0006492961603042902,0.0005305386590267182,0.0006162274107913574,0.0006235607744647952,0.0006590644311844893,0.0005499191980669648,0.0005662571869254578,0.0005224987961272187,0.0005735899881864915,0.0006126586987665236,0.0005509743501843159,0.0005032453374274492,0.0006063694256973024,0.0005304072891347732,0.0006746550565251517,0.000530769962015804,0.0005216680154961295,0.000572840170403988
SRR9224242,0.0006094241134438053,0.0005836295339947429,0.0005979568399768528,0.0006335489547975651,0.0005805960602483349,0.0005819255332219111,0.0005876961023078176,0.000575676248864736,0.0006262691629050581,0.0006148844414239519,0.0005985664732519003,0.0005779272025316266,0.0006466033478971883,0.0005288141088144437,0.0006400460991984046,0.0005906522379792592,0.0006750934776274649,0.0005625672119935126,0.0005643864465640986,0.0005155115641209244,0.0005796594407984021,0.0006337591181550844,0.0005684719979189354,0.000598636024848691,0.0004956387168545347,0.0005452026182027803,0.0006697744802243315,0.0005244633398953167,0.0005210322125070964,0.0005919670568976315
SRR9224241,0.0005515836609532258,0.000535365598159966,0.0005401994898873326,0.0005885679570911559,0.0005389313549230585,0.0005383115168346497,0.0005287554990877444,0.0005353099078240483,0.0005545372838633567,0.0005501568012300683,0.0005462682919260216,0.0005302535814758618,0.0006245627185298052,0.0004810603446432683,0.0005586511870057138,0.0005696971104073287,0.0005983694793244717,0.0004909871792036031,0.0005255955532998263,0.0004737744772141108,0.0005216779382496805,0.0005473109664665605,0.0005014190478477968,0.0005320440910691403,0.0005524638577008545,0.00044273759756183466,0.0006015918087980348,0.0004837027748893773,0.0004761384689347391,0.0005212122315779803
SRR9224237,0.0006433190291861454,0.0006287423404898924,0.0006457999143006055,0.0006958362409286175,0.0006539716780951211,0.0006439635488401789,0.0006620893168867416,0.0006602906241390664,0.0006568628848285099,0.0006356122694173142,0.0006387342176635563,0.0005929303547987581,0.0007068802172310727,0.0005672778616735412,0.0006859458726354985,0.000655342377530161,0.0006695701402925051,0.0005843288691154488,0.0006191118129113344,0.0005700345807103385,0.0006098906619530084,0.0006658812127187083,0.0006428691007953781,0.0006651265950717018,0.0006697523212121588,0.0005938299947775451,0.0005773052876502346,0.0005828219498373033,0.0005732836969397658,0.0006220129755321519
SRR9224236,0.0005702696343103531,0.0005398271408660992,0.00055062658281026,0.0005941133483675698,0.0005522968219864447,0.0005434177393262013,0.0005498020076356223,0.0005331115387077109,0.0005835192497075183,0.0005662709072734797,0.0005492399798272442,0.0005376452279264427,0.0006418490945820382,0.0004965365090362451,0.0005824706311115099,0.0005997951932300915,0.0006105236867750596,0.0005040558179298942,0.0005352033240026399,0.0004916325465778141,0.0005282614204484541,0.000572920290942561,0.0005071467596580985,0.0005496238576541435,0.0005491400384396289,0.0004994365754029347,0.0006101551362993711,0.00044951491023697914,0.0004828789543200935,0.0005250999656843118
SRR9224235,0.000553774598968412,0.0005357237875681427,0.0005425333460238887,0.0005925915502647038,0.0005384629045287264,0.0005290874866770471,0.0005417262537040578,0.0005306881163903768,0.0005560194930138978,0.0005571307340367824,0.0005432949527324322,0.0005280162280450837,0.0006487811251659573,0.0004960859347540409,0.0005866445111554864,0.000603823933856239,0.0006438872922182783,0.0004992136471253279,0.0005216132711125934,0.0004873641277155826,0.0005380640789157538,0.0005593666141763076,0.0004999424709786912,0.0005479405005383824,0.0005531451828804145,0.0004987167351763091,0.0006061338028102881,0.0004904013489532378,0.0004442720774287,0.0005178668022890526
SRR9224234,0.0005834193265472925,0.0005468796072080618,0.0005674644359242965,0.0005792647049250103,0.0005512370228854882,0.0005396091412854377,0.0005525901678839827,0.0005551406433393554,0.0005783446638166619,0.0005816508358266331,0.0005750949919368529,0.0005467903718345818,0.000642278896473352,0.0005063032226393166,0.0006145602055280147,0.0006147803513974444,0.0006301562350198173,0.0005072449387998956,0.0005365442433761433,0.0004963419438286147,0.0005287803364615805,0.000577761091712383,0.0005197451946807867,0.000571348339532714,0.0005977594878783493,0.0005179512391054773,0.0006266739858712634,0.0005061100640799192,0.0004919854796506466,0.0004601569136368279
