,SRR9224203,SRR9224313,SRR9224321,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224277,SRR9224275,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224142,0.0006797419473991,0.0007349447863587,0.0007047444014918,0.0008452791791532,0.0006788094546185,0.000784785497925,0.0009461853589324,0.0008190346411853,0.0007278316093424,0.0008293265165138,0.0006119340633752,0.0010223937215918,0.0007408946487077,0.0007322123358395,0.0006895520026417,0.0007017888936533,0.0009082619471379,0.0008651950719883,0.0012549491376185,0.0011822150967221,0.0007659804502753,0.0006843838531138,0.0008625555830166,0.0009977607896603,0.0007159765054505,0.0010393685803761,0.0010783886867431,0.000774875287337,0.0009417436531948,0.0007687012871137,0.0007842262687638,0.0009744520541866,0.0013473585382665,0.0010197496730043,0.0007761349107199,0.000768541055174,0.000925947266408
SRR9224134c,0.0009000425235856,0.0010157646215782,0.0009214500400756,0.0011556905960294,0.0009059767442712,0.0010605900369172,0.0013021509168216,0.0010939132094897,0.0009945884331802,0.0011431547212662,0.0010066087426744,0.0008665135515423,0.0010322917815779,0.0010060379261346,0.0009580311310342,0.0009207819383425,0.0012064371456637,0.00115700817795,0.0016288482133242,0.0016463647713878,0.0009988544692256,0.0009617477666279,0.0011708656721946,0.0013280102307418,0.0009393087862712,0.0014790371325246,0.0015933547687759,0.0010491808971524,0.0013732911165375,0.0010678090773643,0.0010767929073292,0.0013645853831161,0.0019476848878747,0.0014272540821843,0.0011021474226855,0.0010740277009812,0.0012934753843322
SRR9224133,0.0007193511163386,0.0007715671993108,0.0007262843569493,0.000875833583451,0.0007146732636685,0.000826206197568,0.001004206912761,0.0008638144339444,0.0007646033321722,0.000874176577963,0.0007604749194649,0.001067933498608,0.0006895913107259,0.0007521951051604,0.0007087899529025,0.0007326683262241,0.0009243989227401,0.0008991621523271,0.0012833154737367,0.0012207792510487,0.0007844138122349,0.0007081134491789,0.0009092429886577,0.0010388699993675,0.0007389816172066,0.0010183428093309,0.0010062076619233,0.0007844907293081,0.0009398843024932,0.0007803230812776,0.0008069943564273,0.0010108385471502,0.0012958146267476,0.001025523298213,0.0008001818104083,0.0007918161631726,0.0009076488219503
SRR9224566,0.000686325245455,0.0007484512147678,0.0006940919151677,0.0008566005357113,0.0006822010388466,0.0007800181069309,0.0009637845798917,0.000819390364155,0.000732967436451,0.0008428072675046,0.0007404603100171,0.0010296953672322,0.0007415613146868,0.0006363492688968,0.0006930074786559,0.000708474114215,0.0008858546872584,0.0008582779484678,0.0012517925481605,0.0011465566082431,0.0007618471136969,0.0006815620450023,0.0008763374273479,0.0010099297797182,0.0007192601673152,0.0010057887613076,0.0010501664055948,0.0007687155426967,0.0009267959678973,0.0007626540045781,0.0008031320920062,0.0009785610838414,0.0013235371414588,0.001028333564709,0.0007785451638659,0.0007663654806296,0.0009065580604408
SRR9224004,0.0006723562828078,0.0007379390894613,0.0006754356148162,0.0008289396432829,0.0006672438087497,0.0007663926542043,0.0009363273090135,0.0008024968847117,0.0007084632487132,0.0008214396241395,0.0007108007945464,0.0009956662020258,0.000711952815625,0.000706370008746,0.0006195133046409,0.0006817529359683,0.0008564295484345,0.0008141792681248,0.0011675280287255,0.0011314005457082,0.0007381880734704,0.0006640106207531,0.0008476471479798,0.0009690564701753,0.0007021427901763,0.0009590948905227,0.0009829273356282,0.000743604643454,0.00088671107342,0.0007373319765352,0.0007728399255399,0.000924556569092,0.0012246851479437,0.0009752592902962,0.0007462581308576,0.0007417706294915,0.000870959690548
SRR9224005,0.0006760064580686,0.0007268168124638,0.0006857428417029,0.0008183536777822,0.0006689325899385,0.0007593564677325,0.0009371256662826,0.000807311227767,0.0007098353898123,0.0008207783331306,0.0007147520582801,0.0009427452562624,0.0007257467300531,0.0007122862548396,0.0006724646860857,0.0006278209872621,0.0008504534779599,0.0008363976816474,0.0011807127282902,0.0010932363583055,0.0007432762609769,0.0006652810429164,0.0008530043388548,0.000962312106131,0.0006919715433043,0.0009539081178483,0.0009682865224945,0.0007400886348915,0.000878470188014,0.000738935277914,0.0007691671288147,0.0009287096646445,0.0012302211301936,0.0009591684227542,0.0007499267842183,0.0007362632576697,0.000857184706246
SRR9224562,0.000807672488769,0.0008847213643145,0.0008196316366483,0.0009884727450326,0.0008127334178889,0.0009163836456972,0.0011346120885863,0.00096333335057,0.0008642238435247,0.001008700005701,0.0008949338206005,0.0012087475544493,0.0008916644292135,0.0008649682838518,0.0008226751951577,0.0008289815784764,0.0007500090573976,0.0010058151805685,0.0014805303342633,0.0014617201294933,0.0009160607893372,0.0008089101468069,0.0010796163172572,0.0012287094893012,0.0008489526100383,0.0011917813601418,0.0012894114928294,0.0009420008752649,0.0011919246659587,0.000914978344587,0.0009344869817428,0.0012173225217317,0.0015982848266753,0.0012945808598404,0.0009311700688464,0.0009450579022652,0.0011511692890218
SRR9224563,0.0007715921389032,0.0008388209802116,0.0007986458023672,0.0009743108373162,0.0007751469290026,0.0009095364337256,0.0011349623880919,0.0009558667376664,0.0008242502597499,0.0009534082500559,0.0008584577983574,0.0011649526665888,0.0008706920611635,0.0008400921231656,0.0007826341111305,0.0008177386932107,0.0010091993156739,0.0007433015872658,0.0014683303673812,0.0013839338477663,0.0008868481571921,0.0007813127921895,0.0010004266563603,0.0011415410919963,0.0008222773821312,0.0011810390914747,0.0012189874672261,0.0008806319306984,0.0010745066957615,0.0008740448052308,0.0009106041320892,0.0011350078314306,0.0015664370130219,0.0012320866678143,0.0008888591702274,0.0009052720448507,0.0010876134462446
SRR9224564,0.0010661013647216,0.0011512102818574,0.0011373239988657,0.001350140578486,0.0010522073662527,0.0012159473974566,0.0015409275367746,0.0012949469425698,0.0011477469144053,0.0013865478192138,0.0012264619846378,0.0016127680973965,0.0012305258887879,0.0012107946617435,0.0011168374587633,0.0011512791658166,0.0014606533078089,0.0014436806900838,0.001049600204237,0.0018855083756637,0.0012951754019268,0.001087013621974,0.0014485053571213,0.0015903779368482,0.0011497377246829,0.0016088108532802,0.0017671206183549,0.0012481559091004,0.00160055550168,0.0012252963689053,0.0013101119641248,0.001607642348429,0.0021117878389746,0.0016705277556311,0.0012438224203787,0.0012941544727404,0.0016053562350106
SRR9224565,0.0010561018572689,0.0011460548565813,0.0010572049648956,0.0013464287208729,0.0010436035911663,0.0012244790334777,0.0015082565834729,0.0012969658945069,0.0011171092064235,0.0013054523959467,0.0011648876734165,0.0016415928023849,0.00118059665367,0.0011182020338455,0.0010901229617204,0.0010712826948113,0.0014537718719983,0.0013706333402026,0.0018943318707887,0.0010295627073871,0.0011871978357958,0.0010860441202184,0.0013902995512727,0.0015799710520178,0.0011045112445081,0.0016913845202986,0.001810547547477,0.0011815558847037,0.0015989184198597,0.0012117992747728,0.0012310638091008,0.0016129609168942,0.0021362224378666,0.0017036625514606,0.001259266130687,0.0012303830947519,0.0015561639776613
