,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224143,SRR9224134c,SRR9224566,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224560,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224277,SRR9224276,SRR9224273,SRR9224283,SRR9224242,SRR9224238,SRR9224236,SRR9224235,SRR9224234
SRR9224317,0.0005047157020857218,0.0004952820290235735,0.0004860821485099735,0.0005464383210484014,0.0004929230382774677,0.0005024441382929294,0.000489448133925514,0.0005206613370617898,0.000555237988296368,0.000579772951971317,0.0005081041443549103,0.0005065930990130423,0.0005314695179152672,0.0005136517252803299,0.0005194911147312424,0.000519685873803803,0.0005386538758390347,0.0005318607822826162,0.0004948746074060308,0.0004968557067807963,0.00048415468413158687,0.0005051045489013501,0.0005119154035312471,0.0005174850336576661,0.0005353579696770486,0.0005026105614718357,0.0004965730119319923,0.0004956433511332546,0.0004886334353420764,0.0004810001092568386,0.0004729328026182909,0.0004885537797214238,0.0004868242171662181,0.0004997298564433915,0.00048616030722703913,0.0005066356581143857,0.0005555911806560995,0.0004950294457465522,0.0005268060218670233
SRR9224139,0.0004882509416189333,0.0004827432139527333,0.0004780617853950853,0.000532315051429858,0.00048120292073177367,0.0004882912626307862,0.00048330453688697487,0.0005161270987774122,0.0005342776693730083,0.0005600579129527332,0.0005079641460794005,0.00047896502078091717,0.0005106913904160574,0.0005000488932332735,0.0005121736900103349,0.0005052991684730921,0.0005160941414237704,0.0005105713878641595,0.00048250519284206674,0.0004853484208687976,0.000475358287006401,0.0004904469858247721,0.0005013883421970545,0.000506533874380594,0.0005114444899936735,0.0004912352041922796,0.0004870056198769637,0.00048515499246919175,0.00048001833632404405,0.0004702794643808373,0.00046856743941783803,0.00048006846053309647,0.0004699606368330032,0.0004804720655248813,0.0004741448511699784,0.0004930252280754867,0.0005302311850070156,0.0004805928573969766,0.0005084385713541309
SRR9224138,0.000516132932459247,0.0005195497194539283,0.0004827068323877093,0.0005478784142439617,0.000490250192857132,0.0005236541683495915,0.000493684854182261,0.0005251674877433855,0.0005832655795717208,0.0005792863068228512,0.0005266929617817674,0.000504722747642255,0.0005311649401566253,0.0005270570055926168,0.0005193714260568575,0.0005229280148177972,0.0005352390266198357,0.0005334539526845642,0.0005018399336751998,0.0004940213492610624,0.0004759179911620968,0.0005149437063962698,0.0005174371539211003,0.000514094319346912,0.0005305493865949112,0.0005034513238408176,0.000492138426241714,0.0004931530144749927,0.00048023498670721985,0.000479029582406668,0.00046636677931730417,0.0004936800643142281,0.0004817853788159803,0.000498172680973549,0.0004887601153636173,0.0004963692991217436,0.0005558805825801432,0.0005212864542030927,0.000541187974384598
SRR9224143,0.0004955788326230805,0.0004823085686349239,0.00046379241897151144,0.0005186604364992143,0.00047355402399819644,0.0004887670713579297,0.00047134880030690675,0.0005011304218680875,0.0005424013634417306,0.0005497431499297889,0.000500251892003464,0.00048522362311325084,0.000518216592037569,0.00047794859515767907,0.00049264715833337,0.0005072204909403301,0.000514302806836176,0.0005032292639008389,0.00047831355464869114,0.00047852875627512156,0.0004612362226270064,0.0004921870431812417,0.0004925939428188259,0.0004973250989152958,0.0005170437594553695,0.00048562892532904336,0.00047453097111628214,0.00047732924356101947,0.00046608041626946184,0.00045868910433130165,0.000449627967663619,0.00046999339046379117,0.00046309384147582736,0.00047761660174621177,0.0004714932134635234,0.00048281146837245495,0.0005293491750237764,0.00048453881764264187,0.0005169015209629856
SRR9224134c,0.0005164280294785698,0.0005433792092252637,0.000499994278578775,0.0005655063668833144,0.0004908546301948995,0.000517355505537447,0.000499857656672899,0.0005382354439773654,0.0005705267683753561,0.0006191769978972065,0.0005256027123472695,0.0005175696607316058,0.0005308454762040118,0.0005122449753839362,0.0005557243362776847,0.0005240318146718908,0.0005339845648228543,0.0005248473145702707,0.0004948249417453879,0.0004998695915072356,0.0004906109584492445,0.0005308097866292931,0.0005160075478540347,0.0005135640095379216,0.0005402322397111645,0.0005053986851455799,0.0004946664677733812,0.0004970754655481151,0.0004908198288941191,0.00048303110880031205,0.0004744465901590308,0.0005046710928538886,0.0004866083163209897,0.000496637949874855,0.0004902401553905232,0.0005171928283807035,0.0005611269492928121,0.000502092363848028,0.0005289667516088965
SRR9224566,0.0004867316543593321,0.0004705945554572609,0.0004531116631320588,0.0005140799842095023,0.0004613635731714332,0.0004823742948166461,0.0004566158920532811,0.0004954716397508052,0.0005369799745425084,0.0005456579286459844,0.0004872627712715434,0.00047361409850399746,0.0004959806510202122,0.000489406690788291,0.0004870170715374675,0.00046644437431371045,0.0005344282073430091,0.0005113020460659519,0.0004856841726947028,0.0004712590939813715,0.0004483440732969648,0.00046764297987459595,0.0004911788844893654,0.0004985864237652341,0.0005168800624068764,0.0004877349829175292,0.0004664171002421881,0.0004694577958058982,0.0004581784457006836,0.0004515595875821078,0.00044217015148468496,0.00046160886647074017,0.00046252595621219485,0.0004692860529189463,0.00045874106977926313,0.0004705314317793546,0.0005247837797498598,0.00046624640572336004,0.0005172349168734858
SRR9224006,0.0004816959453675369,0.0004614496195276813,0.00046961567609175034,0.0005276977093520365,0.0004715920964421575,0.000479961952086444,0.0004675409716619765,0.0004960188365389413,0.0005258638826893684,0.0005352633186580384,0.0005000328327984941,0.00047837628640395196,0.0005013618646724323,0.0004902884129082783,0.0004905293676608615,0.0005280207944591135,0.00046208988202614174,0.0005187598147892416,0.0004838388962639143,0.00048793385029356214,0.00046268912156608425,0.00047381134557112156,0.00050091052490689,0.0005076218523429138,0.0005333751065269392,0.0004971233133519389,0.00048021319341494357,0.00047473121467924887,0.0004674684670279532,0.00046250286900323585,0.0004569661780218954,0.00046762406890143423,0.0004708917554756285,0.00048787025359207177,0.00046555590122420094,0.0004809729035757791,0.0005177111975928257,0.00047390071747066185,0.0005250326294376725
SRR9224562,0.00048057413068900654,0.00045659330413917406,0.0004623407115442237,0.0005089259566615819,0.00046337010840444997,0.00047153568893543103,0.0004653534705032414,0.0004990165117178916,0.000501316905927087,0.0005412132212833878,0.0004955402774474734,0.0004743330695675983,0.0005012352631699513,0.00048113869937470543,0.000483614151965118,0.0005069884508706855,0.0005199157830584497,0.00044680013956062414,0.0004823670786474808,0.0004802198064471712,0.00045542258559574434,0.0004699389834906271,0.0004965123042197384,0.0004953233519924252,0.0005215293722907669,0.00048389700629182346,0.00046506823874791723,0.00047327254936481276,0.00046113218963363947,0.0004576648736048202,0.00044708577971625197,0.00046006353224857397,0.0004608632192494908,0.0004749562280156907,0.0004655973077194126,0.0004713365467227093,0.0005206554186052933,0.0004715312823057012,0.0005048944606464096
SRR9224563,0.00047299402671122304,0.0004505331521620014,0.0004567408225075815,0.0005075528804004051,0.0004669748964312257,0.0004736809630122819,0.0004597504930142749,0.0004948449671061886,0.0005237824369036592,0.0005374808457567431,0.000483712864557765,0.0004705813348408444,0.0004955746756915927,0.0004804907469286024,0.000478519712616267,0.0005054486883929308,0.0005100406310133424,0.0005063782754747565,0.000441630969095648,0.0004706379871131406,0.0004484494153897317,0.00046085067676269244,0.00048725305357763256,0.0004902307207703177,0.00051116562053214,0.00047839378507903994,0.000460483287992873,0.00046607656258641,0.0004524463499801154,0.0004497448245548574,0.00043904532958585,0.00045582071870873425,0.0004550949473430501,0.0004701369094088768,0.0004465646907691866,0.0004642055062794115,0.0005195644244553758,0.0004567454043625442,0.0005047580369598302
SRR9224564,0.0004801609399852996,0.0004555126051556704,0.0004682656936851144,0.0005074567494960738,0.00046887224144321927,0.00047609021456418833,0.00046860459464914526,0.0004978095568647068,0.0005212924001044106,0.0005286672623980366,0.0004910538358770438,0.00047878042214262093,0.0004932691815515194,0.0004863763754049466,0.0004887072894100388,0.0004963174211159592,0.0005198480584784575,0.0005098250223731051,0.00047562594751825686,0.00045064411009666626,0.00045909442676598036,0.0004686276936292,0.0004914243826916273,0.0004969016291584343,0.000505351993661102,0.0004810995671535696,0.0004714988550692176,0.00047307802561360725,0.0004658861741925605,0.0004594509590293136,0.00045465538729576435,0.0004590301168553097,0.0004611701020088038,0.00047093348772915094,0.00046193856147229575,0.00047687527768852206,0.0005152890359430719,0.00046284947618028757,0.0005022528317305883
