,SRR9224203,SRR9224313,SRR9224314,SRR9224184,SRR9224323,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224565,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224136,0.0004881907619130635,0.0004973934268404563,0.0005361790616848571,0.000536984214490174,0.0005062772266991508,0.0005206734423713875,0.0005357568731251386,0.0005126121430797876,0.000524394324446629,0.000520462321986494,0.00046604743020729137,0.0005313761053651366,0.0005201548129926547,0.000536630468369849,0.0005098478840484426,0.0005291514230535591,0.0004971431994358681,0.0005059265447756243,0.0005501533852850016,0.0005622544930482038,0.000511772503984992,0.0005053565307456859,0.00051707198820428,0.000526774707715002,0.0004957546789353028,0.0004839111126311687,0.0005741282140762295,0.0005248964561364089,0.0005081491317933067,0.0005357740596658605,0.000512574552247809,0.000485977419318577,0.0004918697873040614,0.00045589355511248584,0.0004631547563486041,0.0004706647179252194,0.0005041540449629289,0.00046574000934765863,0.00048421474080171816,0.0004715965483741317,0.00046696089079222757,0.0005259073815336927,0.0005264481955931407,0.0004701798742390888,0.00046127585243962527,0.0004655526428542261
SRR9224143,0.0004909885457220064,0.0004926355022363462,0.0005250247196441843,0.0005341156263382217,0.00050656179395154,0.0005244679167200802,0.0005313994771311467,0.0005140042947084882,0.0005181542757204781,0.0005175407476504121,0.0005456907892492202,0.0004733874705009021,0.0005158376569289859,0.0005229792562531572,0.0005049225689116103,0.0005293823988710587,0.0004906199270680767,0.0005056321967147512,0.0005392252012307377,0.0005467783156381993,0.0005016318767851503,0.0005104691223994727,0.0005177372966485927,0.000532641891014931,0.0004968383193870199,0.0004885715714834964,0.0005559051200067972,0.0005233760066983981,0.0005176352411331666,0.0005262302281480849,0.0005127682159181091,0.0004829615081229382,0.0004907802992362491,0.00045707250931406357,0.00047013671394600243,0.0004698506886324694,0.0004992690288431822,0.000469392287563651,0.0004790553169558136,0.0004740451577477441,0.0004681974096425451,0.0005192764704893478,0.0005177865968839693,0.0004728115351430836,0.0004647500958730935,0.0004655251437392201
SRR9224142,0.00047536592630098904,0.0004801482901898259,0.0005119535152171106,0.0005169663424766924,0.0004946824371619691,0.000507633104993408,0.0005212159814790155,0.0005020837418431224,0.0005067155640333528,0.000506389859913559,0.0005278281022496052,0.0005094416453649555,0.00044538891223635054,0.0005164306238519314,0.000494101444902774,0.0005102171590107738,0.0004800087000327178,0.00048764739610096064,0.0005298356028669343,0.0005315129150688884,0.0004927716792982473,0.0004949735756955663,0.0005083597982436673,0.0005137698281842995,0.00048281556107605876,0.00047378239267993345,0.0005451128082222187,0.0005171143911069433,0.0005075551561647039,0.000510968291577576,0.0004974704173848518,0.00046817071779638327,0.00047836002173799703,0.00044190554891519203,0.0004541075298261518,0.00045521079545658125,0.00048308319726121234,0.00045566653400134935,0.00046889258679596685,0.00045996988768047547,0.0004518619742478981,0.0005060175815228311,0.0005094573687517317,0.00045692396177353823,0.0004477652135752101,0.00045103325776722926
SRR9224134c,0.0004858636054828402,0.00048657477874354337,0.0005209950620231125,0.0005258199655301986,0.0004975290333938424,0.0005167228156306782,0.000529865504403501,0.0005073070685297943,0.000516720632757548,0.0005205086045716078,0.0005478288243348821,0.0005197093630592006,0.0005193952182214333,0.00045994529646675817,0.0004999765500171488,0.0005198193512140677,0.0004866886465708604,0.000499784597104445,0.0005354538493764453,0.0005499397689794305,0.0005042309491142587,0.0004945958809003736,0.0005123292015904371,0.0005208572407119394,0.0004899375518664898,0.00048158427301586725,0.000554982654889774,0.0005164150386616425,0.0005116693338867524,0.0005272748424793199,0.0005114065762376011,0.00047932613227989453,0.00048470696944859,0.0004490016028386138,0.00046304696697169846,0.0004629016657158786,0.0004967876414546661,0.00046068432530911975,0.00047287025602100276,0.0004649168748042799,0.0004609386681516385,0.0005109571627762537,0.0005148879311059197,0.00046456138297191595,0.0004540769613377846,0.0004582009951284221
SRR9224133,0.0004918886351080481,0.0004963375042298149,0.000528229970036616,0.0005292760359686174,0.000506085527943626,0.0005220696979409434,0.0005358724392849429,0.0005138159160809927,0.0005265019224451349,0.0005217545191264305,0.0005455497051117524,0.0005258239526272959,0.0005211138465584876,0.0005241372274280609,0.00047359969512009295,0.0005277815048262063,0.0004951592489333402,0.0005029731337276115,0.0005405215565725299,0.0005554658684824807,0.0005054879093120632,0.0005092270805877582,0.000514112390665306,0.0005290211312645256,0.00049653915717101,0.00048966342163335,0.0005582933303646896,0.0005226911397524845,0.0005203614216319086,0.0005334365670885364,0.0005152859981118143,0.0004857713390340865,0.0004938136715431496,0.00045958838142913326,0.0004717647088505435,0.000472849542825181,0.0004981766846138693,0.00046863256227027295,0.00048083065551038264,0.00047307283270507395,0.0004684968005093609,0.000517200067512994,0.000522653822625642,0.00047346525900621427,0.00046518523193943653,0.00046742292919606986
SRR9224566,0.00048427986316085974,0.0004847507141897777,0.0005208343618653301,0.0005178665232478715,0.0004977467153840707,0.0005142828836074637,0.0005193138674269224,0.0005028037805479272,0.0005089220284160434,0.0005190602917823818,0.0005376584548931039,0.0005230390561248399,0.0005103987267977728,0.0005170718899035171,0.0005007641236282166,0.00045209049815111697,0.0004822678609897608,0.0004913337906814,0.000530777653925236,0.0005503209397468314,0.0004990913792900601,0.0004952949161085929,0.0005046245525781156,0.0005205657888775297,0.0004879787718436167,0.0004760233276409535,0.0005528504231281534,0.0005127810285923044,0.000507333234251518,0.0005239374898385345,0.0004994429932606327,0.0004716295694698312,0.00047919856225527057,0.000447423798673664,0.0004581459067932631,0.000457683923574535,0.000486739173009342,0.0004586758955827836,0.0004720202810390199,0.00046248961433292796,0.00045476234301114314,0.0005116501273321544,0.000514920392345533,0.0004625485863542761,0.00045217659394130016,0.0004572008003331141
SRR9224004,0.00047936334438719477,0.000480781094395219,0.0005142379559547714,0.0005084465759404457,0.0004935888845544203,0.0005114035467347819,0.0005177189144249234,0.0005005176742346571,0.0005069348879355753,0.0005077195656416922,0.0005298579869587718,0.0005095123334748508,0.0005044024523931951,0.0005085973320488883,0.0004937962276964778,0.0005068770751904576,0.0004505992766416434,0.0004926345621378615,0.0005206159755498821,0.0005405550393809991,0.0004889392288846599,0.0004961906990851105,0.0004995742595107346,0.0005141059498606048,0.00048725631406106723,0.00047371081349990114,0.0005419280297580597,0.0005067444086885481,0.0005054895535477623,0.0005122001297376002,0.0004966976168204486,0.0004718318821256666,0.00048058777569635013,0.00044860854299804846,0.00046103421018888277,0.00045999612721284367,0.00048170407032243587,0.0004571904121610298,0.0004688628839824651,0.00046254331212055064,0.0004563496041910812,0.0004967055345935966,0.0005064774094123305,0.0004623515366581924,0.0004530756014316494,0.0004542422491118412
SRR9224005,0.00048011359686831877,0.000480921759841856,0.0005173832498885031,0.0005183699588978116,0.000493253667716716,0.0005140738056169023,0.0005232170983593004,0.0005018365462024011,0.0005144288207203978,0.0005114711488285593,0.0005303464901294929,0.0005154641307651208,0.0005036084426285777,0.0005133047072548671,0.0004925220916601457,0.0005070711984686653,0.0004838591758379549,0.0004513264173880759,0.0005233166414476239,0.0005343269741997776,0.0004903614899354014,0.0004958826656392225,0.0005031364786938026,0.0005146716243178857,0.00048410289887955226,0.0004750260676034851,0.0005460639081063122,0.0005106802583050215,0.0005037328126484451,0.0005196198682762213,0.0004996687089088439,0.0004713475073237036,0.0004776848938322755,0.00044478947845150987,0.0004568459398125938,0.0004588185466822472,0.0004877290723522911,0.00045733631777772484,0.00046709464607204876,0.00046128752176403796,0.00045418305581859203,0.0005055504074465542,0.0005062405611972503,0.00045927905723363666,0.00045177567749286304,0.00045311062826619905
SRR9224006,0.0004857483864895215,0.0004921619532558897,0.0005236645346942565,0.0005362395321504244,0.0005039670152844003,0.0005192280978757788,0.0005349593051398163,0.0005083386735626259,0.0005197277682355338,0.0005203765626159615,0.0005487894427962997,0.0005237628891106246,0.0005203832584943225,0.0005221951522063547,0.0005036802858879472,0.0005209305478812052,0.00048705425888245297,0.000498094803929095,0.0004636424011078666,0.0005389334363191203,0.0005018834014718711,0.0005006944499949389,0.0005098490627317707,0.0005314705352608787,0.0004939865277307554,0.0004851151349768907,0.0005751151170996926,0.0005239752680305515,0.0005239322809693089,0.0005232681601786958,0.0005102645283024918,0.0004806657707906883,0.00048742705716538307,0.0004533564140172336,0.00046186931079309325,0.0004639510539968711,0.0004940554056600602,0.0004663974344649256,0.00047798608079833185,0.00046628296825936455,0.0004623812248215557,0.000517060968759891,0.0005227878655219436,0.0004699104752603278,0.0004581387461949962,0.0004607673846134814
SRR9224562,0.0004987668343662913,0.0005034952863462683,0.0005326240430730336,0.0005422435930717962,0.000510739348591336,0.0005273528043097464,0.0005361173682780255,0.0005112909783209947,0.0005211065360797128,0.0005229740350262298,0.0005572065955857864,0.0005280131799409612,0.0005189701468107578,0.0005344633080007292,0.0005154725087232344,0.0005366758323611534,0.0005031838882731725,0.0005053108650411878,0.0005352697997938743,0.0004741256301080253,0.0005112247128954581,0.000502721237351319,0.0005156399005274962,0.000531322880468419,0.0005013203772574588,0.0004913521655407979,0.0005676533915100652,0.0005326108165814677,0.0005089192572373904,0.0005297355026331563,0.000523299989621858,0.0004869399486999349,0.0004972225612217651,0.0004578131494630298,0.000471730412111494,0.0004753090952006219,0.0005020216321256763,0.00047256846754815897,0.00048652084310838963,0.000471959293701568,0.000468715706517262,0.0005281211121615864,0.0005376622917488346,0.00047604040659566876,0.0004656222978987987,0.0004692359644276891
