,SRR9224203,SRR9224313,SRR9224321,SRR9224184,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224138,0.0006731516659523455,0.0007031537067173034,0.0008528048224347327,0.0008212267043868601,0.0006607936520953873,0.0006691594962249829,0.0006662934252822888,0.000798720659926614,0.0006756850155843283,0.0007293755956874047,0.0006328309572112853,0.0006432370886840853,0.0006620547361636418,0.0007355360397758495,0.000671599674233125,0.0007468001728483259,0.000677714838613775,0.0006739022201901189,0.0006404667231316863,0.0006357742823295851,0.0006532640687289841,0.0006572626741574106,0.0006479395198796203,0.0006596437059153297,0.0006363260671180684,0.0006380201779758593,0.000652206178805703,0.0006474628108443444,0.0006722238313606963,0.0007274639018748592,0.0006811694740434595,0.0006578926241133928,0.0007499333257584906,0.0006515556397714168,0.0006902580778826018,0.000786574840264008,0.0006598443748404852,0.000662638019682115,0.001013306276732034,0.0006958490380174119,0.0006312936319403234,0.0006651495783644786,0.0007965486890604486,0.000634475847284083,0.0006306582993818096,0.0006490716532355624,0.0006898533336735628,0.0007136724793689458,0.0006457629452948708,0.0006461320529448702,0.000644275741717062,0.0006850772653695304
SRR9224137,0.000653965235041953,0.0006850527762156324,0.0008280518912272391,0.0007987264544738192,0.0006412812732583456,0.0006549111177159466,0.0006529644432626133,0.000783913315310044,0.0006632677959263471,0.000714799252770282,0.0006405265056855369,0.0006010163638950147,0.0006445090355411224,0.0007198640014154807,0.0006565045331319666,0.0007308789499571871,0.0006592684705649184,0.0006566487313967435,0.0006217085099026362,0.0006170361496272395,0.0006361197831204139,0.0006404589961035258,0.0006342391087294391,0.000640317313202407,0.0006220469270110739,0.0006237240258645309,0.0006363828000132634,0.0006292125964481133,0.0006569057896682367,0.0007130328664656896,0.0006670451327454336,0.0006396091973884554,0.0007324379230673585,0.0006360158460422006,0.0006749550138795765,0.0007719073404208796,0.000646616366173736,0.0006447376316256261,0.0009955591584995104,0.0006754947744598517,0.0006105855056067214,0.0006425284460215973,0.0007715085993248945,0.0006174690195047598,0.0006109868072139479,0.0006294559839870464,0.0006704318966368005,0.0006944572573442888,0.0006216434703725318,0.0006283062619373202,0.0006217647115295511,0.0006622467352504451
SRR9224136,0.000664292332077397,0.0006918843070180692,0.0008380717507976425,0.0008102068991719365,0.0006503951586006883,0.0006606644055466989,0.0006534920124395866,0.0007950494951064094,0.0006685961250283328,0.0007187716833329989,0.000646624302529762,0.0006323078024848271,0.0006084521042257779,0.0007272560574162376,0.0006570135990323484,0.0007395021234922485,0.000666684472872278,0.0006637276808413278,0.0006329748235418901,0.000622324454389089,0.0006441380266929126,0.0006502414987023041,0.0006376996039339131,0.000649796493432828,0.0006239232308582317,0.0006286181199545977,0.000642275356353938,0.0006364274435803733,0.0006613570345422096,0.0007169775632652528,0.0006756435069350932,0.0006500308795048066,0.0007552564840813313,0.0006412669707057019,0.000684850622739419,0.0007829179979919756,0.0006520498282892986,0.0006511421414332154,0.0010102169170148729,0.0006904266691042045,0.0006176073178232079,0.0006565729221531875,0.0007889046624758536,0.0006201795101756755,0.0006210438379502168,0.000639240466061006,0.0006830769433858559,0.0007116779277246295,0.0006343232811849349,0.0006362296427663783,0.0006335571556464319,0.0006817813594701216
SRR9224143,0.0007112694777351363,0.0007367469671228755,0.000894348075977816,0.0008642676599837037,0.0007013421794951993,0.0007100858576790245,0.0007050203438563711,0.0008562793779144457,0.0007182288266759484,0.0007777419986408374,0.000692243682300502,0.0006805046870440255,0.0006994818060184269,0.0006633365438261948,0.0007135676166156649,0.0007886367367129137,0.0007277103915858399,0.0007170045088635971,0.0006907724959433322,0.0006771573615949379,0.0006945409727655788,0.0007086822601839515,0.0006893256741292748,0.0007003483223083425,0.0006758982657379511,0.0006797046393611587,0.0006916919242114209,0.0006840220246186902,0.0007146563757017302,0.0007753226483473005,0.0007226020653960136,0.0006985907446342621,0.0008136463963028543,0.0006945136979684746,0.000736979523148757,0.0008350505813056124,0.0007052287762669964,0.0007057671095139797,0.001083359299192088,0.0007449500227864717,0.0006706099053864528,0.0007197257020997028,0.0008570526724126491,0.000674306496730822,0.0006755395154018852,0.0007043241343116556,0.0007376739285164842,0.0007821778604244703,0.0006864132012559923,0.0006846873093917211,0.0006850921891622357,0.0007388543240086996
SRR9224142,0.000662304985405048,0.0006907914701759861,0.0008334056982634465,0.0008154843992967673,0.0006537004379950616,0.000659732679437243,0.0006577499735971601,0.0008002252468773704,0.0006670989686536631,0.0007261961914869295,0.000644644447662517,0.0006328843881910223,0.0006456149324452128,0.0007291120534153814,0.000587966207862997,0.0007379561814217518,0.0006695673245136524,0.0006613190201845712,0.0006334899685693657,0.0006268128605497769,0.0006403236464476151,0.0006520846132944267,0.0006390431187429877,0.0006484102995666785,0.0006246912322933177,0.0006278650336164764,0.0006402761133541557,0.0006316929723176496,0.0006573242045717119,0.0007162893515412625,0.0006664920627671508,0.0006448629869788524,0.0007496801361332581,0.0006416085290499612,0.000683729967958883,0.0007820777113375357,0.000652866983335414,0.0006563209217231328,0.0010141755199200954,0.0006916965023922706,0.0006134915314418616,0.0006566370049356519,0.0007809222385950502,0.0006173246422753914,0.0006213999108791973,0.0006435452250717949,0.0006840594768746833,0.0007163630493780584,0.0006301356435570437,0.0006328304548869127,0.00063206024937884,0.0006758170907237731
SRR9224134c,0.0007226270517751176,0.0007455162059163816,0.0009035872932580348,0.0008778832319626475,0.000715190128018885,0.0007182861594609827,0.0007144380302237773,0.0008636293014713316,0.0007301665501585712,0.0007885960381226415,0.0007079909092316956,0.0006956808764759577,0.0007164962624937415,0.0007944757726853657,0.0007276470142938643,0.0006849877578238665,0.0007405469083049086,0.0007297401377729876,0.0007000569283194455,0.0006918592298719652,0.0007125446232279645,0.0007160598083463713,0.000706149357932399,0.0007119779104059436,0.0006856293329467536,0.0006933425435608117,0.0007103441365967443,0.0007012550937174112,0.0007287516641628866,0.0007899529997419886,0.0007371491463503256,0.0007160381947229793,0.000839978272677844,0.0007107103652069459,0.0007451667720411931,0.0008553058079618101,0.0007140807182814275,0.000725116016472961,0.0011027232747925328,0.0007597386440921934,0.0006834666488808337,0.0007334595181981441,0.0008639195664510706,0.0006877826960024791,0.0006880587914651428,0.0007114320432399557,0.0007479137341440803,0.0007877222793908764,0.0007013718443176392,0.0007016552987947362,0.000701732919736738,0.0007572341599279661
SRR9224133,0.0006771624129100388,0.0007044386454465515,0.0008531027690300363,0.0008295611828566513,0.0006510820422609168,0.0006733286299168473,0.0006637618580301993,0.0008119354791984197,0.0006775577154225915,0.0007406733698594078,0.000657392193112532,0.0006418252521630396,0.0006618004143474034,0.0007506891105335435,0.0006763828946827809,0.0007581950623982413,0.0006120141637828019,0.0006650063898485983,0.0006342280924223383,0.0006353512166913238,0.0006549965400230709,0.0006648599930381216,0.0006452359039533543,0.0006660799876392348,0.0006439358099475014,0.000635062961373912,0.0006504310901295123,0.0006420174551282245,0.0006715657307048142,0.0007352283375832402,0.0006885663571156336,0.0006533323289814579,0.0007587571912016981,0.0006535478773088672,0.0007035306688471565,0.0008025794745774637,0.000672369491547584,0.0006532269814361989,0.001036804940792819,0.0006966573232658852,0.0006158757181929456,0.0006577301151357385,0.000789620605298297,0.0006292054288651199,0.0006237540768943892,0.0006363093188181794,0.00069697017154429,0.0007149110094758617,0.0006310523592497118,0.0006396951171128851,0.0006375790621210208,0.0006792585551572076
SRR9224566,0.0006887181864040293,0.0007178640792505641,0.0008674343521335735,0.0008476949301627871,0.0006666233737637371,0.0006857179209864305,0.0006783139518801437,0.0008210423195399383,0.0006906772483590027,0.0007503540878519897,0.0006702533878722484,0.0006562848180112448,0.0006758363246520181,0.000757907036287589,0.0006854493525961571,0.0007664239158105893,0.000682315479976126,0.000643962331722202,0.0006477706682893249,0.0006462043357755202,0.0006672080254952224,0.0006729620828313722,0.0006597434129773993,0.0006759629394704006,0.0006568744820404329,0.0006503573431304046,0.0006635220720636171,0.0006586258951204173,0.0006834475469406247,0.000745606899913006,0.0006957047788732247,0.0006666934789417287,0.0007719865138791089,0.0006667239658999513,0.0007071765202849249,0.0008169191650948267,0.000680340837883799,0.0006726375994213073,0.0010423928750995183,0.0007151814327059526,0.0006362076382275013,0.0006735301489462119,0.0008101675275416899,0.0006428442146427518,0.0006369483430930313,0.000653722720308547,0.0007056514138161437,0.0007327153124608448,0.0006504078918244921,0.0006504481373080089,0.0006514568528544931,0.0006996754240902979
SRR9224004,0.0006540270998597009,0.0006810316314150609,0.0008343536788916761,0.0008122135425358978,0.0006326140736416486,0.000651746981702316,0.0006435310705765213,0.0007863797263081497,0.0006572071403711438,0.0007194918720112122,0.0006358173334567741,0.0006196849593718396,0.0006432223350404776,0.0007281956780562916,0.0006547821789565517,0.00073278446859573,0.0006492064937820628,0.0006462958426949339,0.0005820117860418693,0.0006143221325184974,0.0006345882800877313,0.0006428535453482689,0.000627149392154419,0.0006409444710517875,0.000622899294286393,0.0006246537563737497,0.0006334058844982627,0.0006288164986224594,0.0006485558189547313,0.0007132330646456492,0.0006622977410434371,0.0006347832017743887,0.0007373663465817306,0.0006328823926874181,0.0006778141801630008,0.0007843937118759129,0.0006500740043268271,0.0006379993531981677,0.0010105243158309075,0.0006795997012399701,0.0006025469074562735,0.0006386234934268403,0.0007760493362109313,0.0006118172835354288,0.0006030418875450838,0.0006225338432183551,0.0006733959926468773,0.0006955544636480206,0.0006147678825640583,0.0006171667020111068,0.0006133049830938926,0.000660187548559211
SRR9224006,0.0006537030117210216,0.0006818442214099855,0.0008344838332647265,0.0008009728464789188,0.000638775716085583,0.0006545852926604633,0.0006489114696341696,0.0007859356340392695,0.0006569047430475503,0.0007180893718547399,0.0006374270431220239,0.000621096331446609,0.0006389425328011694,0.0007205564482070287,0.0006540006954519866,0.0007316309818561698,0.0006564469974171102,0.0006511588190613154,0.0006205046620095435,0.0005883069512912429,0.0006307884100994891,0.0006396401470385902,0.0006302716844586958,0.0006389005670336646,0.0006201263530365537,0.0006152072246627577,0.0006348181199441033,0.0006266853658629209,0.000652019537812054,0.0007137470303258074,0.0006612271815336761,0.0006332829488828797,0.0007297047378236903,0.0006294574384315823,0.0006678288072284717,0.0007840646930695435,0.0006427729133081526,0.000636118888619052,0.0010010124435451393,0.0006782194716135581,0.0006067927710408731,0.0006407860728215372,0.0007740833096852321,0.0006079096960242829,0.0006057887153849089,0.0006229036269767344,0.0006654520861225993,0.00069292005970347,0.000616573010722234,0.0006182798195697441,0.0006188536771615965,0.0006605273035009762
