,SRR9224203,SRR9224313,SRR9224321,SRR9224184,SRR9224323,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224134c,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224564,SRR9224560,SRR9224561,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224282,SRR9224283,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224138,0.005524147945429487,0.005396356465419733,0.0058367752754314795,0.005271913841959901,0.004982115492734265,0.005301217806068887,0.005211270191935679,0.004909656721491858,0.004945550468087326,0.005276395897079218,0.004792760038680796,0.0049490411126214915,0.005183932186485564,0.005082662137354053,0.005031220268160237,0.005421899208315722,0.005515199191079684,0.005690595790493624,0.006052053203519319,0.00571428058214309,0.005574021656098771,0.006044519698915859,0.006030131100251924,0.005638570225782871,0.005647160028545158,0.005535918424715325,0.005416269880983261,0.005583422237102928,0.0059707303498159935,0.005683913709024885,0.006291655725175532,0.0058214591027966126,0.005773179599057956,0.0059698847684772505,0.0060715195757570055,0.005852314516238897,0.005689194209586828,0.005609679264364828,0.005414537825124753,0.005769704129400698,0.005487089112892736,0.005234223314388501,0.005286361429616773
SRR9224137,0.005241740178145942,0.0050529778307907515,0.005638104877627479,0.004926570392941618,0.004669767606815709,0.005007550161387021,0.004962049586334781,0.004563930796203759,0.0046080557425119155,0.004930636638076481,0.004532500565164125,0.005117038560681003,0.004437662655585778,0.004811844164661173,0.004694977564774633,0.005106543395398172,0.005294702133473577,0.005436042244702623,0.005813219518279131,0.0054969634423318115,0.005410321531758754,0.005822202060568363,0.005810787812075223,0.005284651478565705,0.005315113085377508,0.005298942830887018,0.005138074522116877,0.0052912946478587105,0.005800625281758218,0.005349542637480974,0.006060214187970597,0.005587462819501073,0.005423819636976022,0.005710689139310541,0.005839716760752267,0.005591957954124503,0.00552938494425126,0.00532420668327618,0.005042121844589564,0.005500816099637692,0.005158033814264088,0.00495484881537395,0.00506064623077716
SRR9224136,0.005158012877431693,0.004989773515288199,0.005525272621938547,0.004859698204629255,0.004496445574489294,0.00490681705457198,0.004837170281955578,0.004470428177599022,0.004511942953224433,0.004879667856568362,0.004361192528666381,0.005073678836728247,0.004868439164671629,0.004204277030826285,0.0046706098397614635,0.005016731472386119,0.005173261487535939,0.00538026236243948,0.0057507581002064125,0.005367808140147391,0.0052867664816934785,0.005762505279260267,0.0057222358012851745,0.005280371987681614,0.005307776433799321,0.005201414102011603,0.004993698243129869,0.005232463726835647,0.005760286570253854,0.005396529190973902,0.006074637194832375,0.00554758512904239,0.0054484442581383035,0.005661926242784695,0.005780645783783696,0.005551138745594436,0.005383032951219953,0.005296102245126616,0.00501009230064853,0.005469598843538933,0.005108118513269953,0.004852649032687479,0.005030774683913797
SRR9224143,0.005053183896504157,0.004865722320190753,0.005428405904565153,0.004829088528468157,0.0045129510202959145,0.004773075707590329,0.00474658944380493,0.00436260365768166,0.004457415147215451,0.0047484163560309245,0.004324749689422026,0.004986962389630732,0.004714096442167636,0.004638239768381692,0.004110296901685328,0.004917675338222714,0.0050878946966132635,0.005300624419589215,0.005673725959536026,0.005321999883990091,0.005176373140896436,0.005677079031485688,0.0056168155493720945,0.00517518655930536,0.0051904895284502215,0.005129477852304661,0.004897844132368456,0.005187651836926111,0.0056236802477026785,0.005320409180557743,0.005897433413461513,0.005396594817626977,0.005320010345164979,0.00552355593939494,0.005669931804636175,0.005406226292861848,0.0053493772578866155,0.0051711505137731735,0.004865161866317976,0.005417280646607763,0.005037443528633549,0.004750172325363789,0.004905386396790802
SRR9224134c,0.005715874766800265,0.005622402550554278,0.006020545741511542,0.005433128334700892,0.005103428728134878,0.005524309045765715,0.005416371595904395,0.005039500420453681,0.005038738101068301,0.005445639920012779,0.004956346435363077,0.005635321996237528,0.0053794148178825845,0.005225953035215063,0.0051598315102843375,0.005167018898915456,0.005699865901550541,0.005928880559894227,0.00628524423750592,0.005876472681864886,0.0058351687836702,0.00631826574475226,0.006221756458746635,0.00588852085602461,0.005854036375216358,0.005712282686551184,0.0056099709665581345,0.005761671397470961,0.006271461403875964,0.005937538384420874,0.006527801487522464,0.006036926507616742,0.005941915985200464,0.006144087227642503,0.00629614155444425,0.006045487906716222,0.005887776421016582,0.005838963232299626,0.0056232401126154515,0.00592655969154723,0.005662517908953757,0.005405051803789612,0.005434967810617766
SRR9224566,0.005615037481927066,0.005486415589755246,0.00591941261229496,0.0053520534665666445,0.005013778633048783,0.005387266561311853,0.005326930237707968,0.0049750407316562755,0.004958393012492347,0.005341073028483922,0.0048857585388252635,0.005514186249467915,0.005357207799309541,0.005176255553509847,0.005125244722010289,0.005480429073771336,0.005105265310232235,0.005805218780551461,0.006135420214806211,0.005826939959327134,0.005728916945730065,0.006109919632606379,0.006092955431887623,0.005716970995239449,0.0056771116479779745,0.005664200253213527,0.005504741934798431,0.005624526173606906,0.006133749052475932,0.005807422900134471,0.006347480253933096,0.005877677742484909,0.005798680403716809,0.005984941953543052,0.006143391246240229,0.00588254039244836,0.005824127551148995,0.0056605048422409794,0.005472530493132384,0.005743566126848764,0.00557637063544202,0.005364560294949781,0.005421627935876388
SRR9224004,0.0057221042273071145,0.005616183402464819,0.006016430435468867,0.005451637889966946,0.005270423603699783,0.005569312608607627,0.005493027914161479,0.00518522321167254,0.0051497615926483255,0.005489349955551299,0.005071366398961265,0.005650784186154683,0.0054617023142705815,0.005348732182374539,0.005303337265442648,0.00566051774799438,0.005765893567165782,0.005357823715876393,0.0062670323145299555,0.005859826122901271,0.005862462397936407,0.006225762160750135,0.0061727410873775,0.005822202346636789,0.005879735572059512,0.005760327233747236,0.0056571410855054596,0.005746234677399507,0.006201224070813234,0.005874605893651919,0.006408346422284733,0.005976822109762891,0.005898809141438713,0.006078241727668887,0.0062516846822210665,0.006008709812279588,0.005910084062813401,0.005851336458648725,0.005612209736231568,0.005882155579887296,0.005743348682733971,0.005484844936171517,0.005490250280424164
SRR9224006,0.006096605385714841,0.006030282032060312,0.006323076142690747,0.005918019626974298,0.005666204204423289,0.0059875445612970766,0.005898420753160424,0.005636061276439613,0.005617996924482684,0.005886645922072125,0.005579646213857983,0.006064191364280745,0.005892991454540304,0.005767395695640014,0.00572936285709606,0.006054564265538563,0.006151143390313862,0.00632443776263929,0.005937972326418117,0.006264454976686627,0.006158733484867677,0.006543959984015198,0.006436790019796808,0.006206333034703751,0.006177840799218023,0.006115408030847216,0.006056656475331799,0.006175694671527672,0.006488616688383692,0.006260479739305847,0.006735492660542848,0.006400339667252769,0.006297064846439336,0.006381610982538738,0.006543650468447722,0.006328437005761254,0.006261596657695386,0.006175886855608747,0.006023261214954262,0.006215638445305989,0.006073902783810455,0.00588002746434181,0.005893566489881517
SRR9224562,0.005704351079731554,0.005550623238690635,0.005985915465112357,0.005488864027414619,0.005272453739654058,0.0055452324673843,0.0054565854031270455,0.005213877375753191,0.005213856787106325,0.0055092113403041485,0.005113783406957174,0.005635387145321354,0.005487943546124137,0.005298367564225373,0.005292061622924113,0.005571205343714548,0.005752495122281226,0.00582636471592891,0.006169901454022337,0.00537970308636069,0.005874935263025562,0.0061158640649320245,0.006176692721909241,0.005772775561748983,0.005789877277470675,0.005748028993067031,0.005528724425775636,0.005739598206409415,0.006062437830394889,0.005873142745561169,0.006334570176892845,0.005923092910581057,0.005862346738972673,0.006038524698019753,0.006143901017832225,0.005987726625462735,0.00592755366741722,0.0058058392420497675,0.005592496628473637,0.00589760514934561,0.0056703602740496,0.005437460058012274,0.005520895688691123
SRR9224564,0.005626499817888855,0.005515483712616684,0.005990144177389633,0.005459987126024592,0.005178383808733441,0.005473213860332034,0.0054262215399544355,0.005144684180443797,0.005156317777941202,0.00540884975141697,0.005001741830753723,0.005534324672653502,0.005437140050636454,0.005256149040801694,0.005179877619397678,0.005568589432438971,0.005692461625291234,0.005865335586537217,0.006100223489004587,0.005909050913668658,0.005269672634369948,0.0060678868052327075,0.006081408400221635,0.005740794722423683,0.005760856206189046,0.005656419777207639,0.005578413158238191,0.005681657666858015,0.0061013798381728684,0.005789723223771294,0.0063270864557588395,0.0058834755382536,0.0058341904701665675,0.006009069759517786,0.006151400318596205,0.00595925613764838,0.0058477444466660195,0.0057736910318315435,0.0055195390383942266,0.005794098639509417,0.005580396985739776,0.005394159596125333,0.005360295678966711
SRR9224560,0.006297482707873158,0.006189127299923988,0.006481327090642867,0.005997563164337159,0.005784742381267357,0.006148307597420954,0.006025318037475551,0.005748859433416749,0.005698409429243469,0.006064261955179743,0.005723205530251657,0.006174092511641309,0.006026657194115411,0.0058965722894341165,0.005847554563421345,0.006210361143660548,0.006246700457533183,0.006410511020968467,0.006678576732421576,0.006336091684572601,0.006252705730964471,0.0061125416981295325,0.006682611846596808,0.006407656130620965,0.006324014122850049,0.0062384392035191,0.006150173140001701,0.006280658512944795,0.006663221464210118,0.006418253942652134,0.006872332085312412,0.006484527488603846,0.006400282164753588,0.006589775646518592,0.006720761021778064,0.006515563539762922,0.006394853395469236,0.006366455057216029,0.006219677507132327,0.006410613806177511,0.006227311628643443,0.0059739002344515344,0.005995330574752909
SRR9224561,0.006073359595253773,0.006001504771654039,0.0063414937042171795,0.005901290950897575,0.005647360739286811,0.006006013633138326,0.005891792250267036,0.005640442858133258,0.005702723741380237,0.005849039968580649,0.00555943059370564,0.006041741255473943,0.005894987764114639,0.005740096123021925,0.00567407865200131,0.005993962569739637,0.006106873439886108,0.006235597489320824,0.0064403100442463074,0.006273061529828524,0.0061384272184641315,0.0065497800510529915,0.005914580887415486,0.006196060263020958,0.006206695766656765,0.006084653375031534,0.006014705917792702,0.006121381917790371,0.006516218994076115,0.0062353397090552385,0.006709961235515002,0.006335764110559977,0.0062171029501350405,0.006432080553455861,0.006520519980554659,0.0063534436583731375,0.006264357763609439,0.006225539861274849,0.006025564202400169,0.006343720825018224,0.00607610817842807,0.005877795286825246,0.005898417262653353
SRR9224452c,0.005978934199812976,0.005869726380068396,0.006234032679905042,0.005623337654345406,0.005396681619983339,0.005768870465393785,0.0056805349963729435,0.005332408003700262,0.0053393669181729855,0.005685050652815551,0.005239535265909021,0.005872735289920891,0.005570855672935198,0.005506332958476948,0.005435489960144734,0.005903025237554166,0.005954701541183193,0.006110476467432367,0.006455641263822121,0.006090580509719365,0.006023884249608039,0.006533229422979603,0.006443160687262699,0.005559931526106588,0.006071309555532905,0.005927982443891439,0.005866861968774188,0.005992778401867755,0.006466849096621775,0.006133009557793356,0.006735004421491884,0.006251006539991681,0.006131034909348053,0.006367362811867718,0.006511750369424059,0.006271786854645198,0.006141900283145905,0.00605806695437501,0.005884532253994824,0.006135773238184212,0.005924190337787534,0.005685043014788967,0.0056973776101218706
SRR9224454,0.005769662272663111,0.00562517443974169,0.006053855887714574,0.005489054253983348,0.005321374087166916,0.00558796343466399,0.005497852788661549,0.005192330271053384,0.005156959566874675,0.005487999372987621,0.0050799915620503245,0.0056968222452380745,0.005431363870911218,0.0053592642814511374,0.005276485938609551,0.005677249109203891,0.005729458774840029,0.005974922538277851,0.0062201457368300725,0.005920395071102861,0.005855604091234841,0.006240196647562145,0.006246326852582082,0.005874960977027221,0.005333067231469637,0.005727925643320756,0.00565267607054962,0.005813963436268463,0.006225617438119411,0.005911037798643572,0.006471999377096933,0.00603035942286212,0.005907206095573139,0.006152242866671389,0.006269995557567106,0.006026567916630517,0.005972852560602708,0.005838177133278991,0.0056447356539131854,0.00595435319159478,0.005700548085712764,0.005499111420146379,0.005623001495154777
SRR9224449,0.005573876393419216,0.005447589851973971,0.005884477462253077,0.00538085943040202,0.005116713524272401,0.005404676048471523,0.005269678450655824,0.004928123072057161,0.005090376033818245,0.005358245027621257,0.004944539641386776,0.005509449738469988,0.005343808657763733,0.005181919888938025,0.0051449581726433664,0.0054665800130269835,0.005640715083137137,0.005779191982420177,0.006078232264221442,0.005801554154922079,0.005668884878669411,0.0060756195633172826,0.006046880460061825,0.005662866488905016,0.005652156035293169,0.005152256999947111,0.005462512051700389,0.0056396317118974975,0.0060646644114929205,0.005741094513124346,0.006242781018492522,0.005894720262060825,0.005736295375179421,0.005949834875455487,0.006066814449127296,0.005911416344837642,0.0057751966786758506,0.005681790587279532,0.005442391217848772,0.005691243389663707,0.005527319241292248,0.0053551322835873215,0.005307777176265169
SRR9224448,0.005562332806808734,0.005462730713182333,0.005888967056059088,0.005307515290294767,0.00496326948529033,0.00535050803221545,0.005275601358649962,0.004913583297900374,0.004911061631521881,0.005278273045276987,0.004818121335580225,0.005491683180464734,0.005273002642291592,0.00507220276238424,0.005009484469550566,0.005472440628519473,0.0055857755907036954,0.0057796831826300455,0.006131899032316001,0.005687860113459607,0.005699683581858644,0.006103702855896253,0.006092717387505441,0.00571349079079931,0.0056849312704314175,0.005567918795866493,0.004958440517164232,0.005619266769222022,0.00609183416000456,0.005772160280504209,0.006381478912589365,0.005879779403044786,0.005747421655642411,0.0060217358540549815,0.0061446339956618655,0.005900665091499201,0.00579215463939555,0.005676536325091917,0.005455386084509179,0.005792024784582217,0.005507487667744775,0.005262806725666329,0.005285080849304084
SRR9224457,0.005693086262964939,0.005585857396101231,0.006005261622415534,0.005462293901519073,0.005156205938263948,0.005537366652901319,0.005404528832009733,0.005108754042889573,0.005077539300517246,0.005419406044573899,0.0050215038643058015,0.005645411412691664,0.005416507908144129,0.005299553238490054,0.005292776803185949,0.00560197627536954,0.005691292358992081,0.005855231031865547,0.006236153459522736,0.005884150133012888,0.005790801655751593,0.006213173177321202,0.006179256508115454,0.005814553836301402,0.0058298794917593915,0.00572969190888385,0.005602538860071591,0.005248986871538066,0.0062173107650049,0.0058995333789355195,0.00641759815696524,0.005972846082573301,0.0058691088456817924,0.006133277114414594,0.006203506572685369,0.005979757370661463,0.005934823383488817,0.005798592030815187,0.005581333303591634,0.005904631123193697,0.005644517037879233,0.0053996715436948365,0.005462845153053999
SRR9224456,0.006127667519735178,0.006015829666065104,0.006353414694443198,0.005886598115299475,0.005692856694685836,0.005975012194487603,0.005921181153373617,0.00561527702943174,0.005577274519506159,0.005882977851523146,0.00554844781775353,0.006004156708036367,0.0059048419302596645,0.005797184309528543,0.00570374888160228,0.006064008378227878,0.006171827118012128,0.006283965790583635,0.006515197772277642,0.006178324941250542,0.006184356896471846,0.006556946699123685,0.0065398463558399254,0.006243073419483111,0.006208839782988088,0.006124440696201666,0.006039457367784066,0.006185547546998779,0.0059168880678818,0.006318109599953367,0.006701457475287809,0.006421271083951346,0.0062514443281502085,0.00646837133186837,0.006575288062435578,0.006371142597005473,0.006287725013043782,0.0061854222732264106,0.006018806271760393,0.0062502925795797845,0.006058984497203897,0.00584631315253092,0.005894423579554347
SRR9224279,0.005803392871754129,0.00570811361745877,0.006076433719242572,0.005615368912694721,0.005308224240586562,0.00567985968569332,0.005548200367780096,0.005237525735222917,0.005192152154457274,0.005566596714241202,0.005162989237017577,0.005710608396941618,0.005444609900434262,0.0054286163838350296,0.00539090411085325,0.0057401442468942845,0.005842181122401549,0.005948700985751495,0.006283577081876642,0.005984273292812244,0.005862342475388065,0.006315686177970355,0.006256433382412954,0.005920213941714204,0.005890493246133799,0.005795503910606689,0.005718737454459778,0.005865481896921242,0.0063177465279052325,0.0054579401854277405,0.006478039092230819,0.006119307301610669,0.0060206404429194935,0.0062002868245808205,0.006326826745101767,0.006055229895154827,0.006016531355382502,0.0059055741619117195,0.0057092955457157405,0.005987039528855788,0.005781697368416141,0.0055660600293606114,0.005532734574591541
SRR9224280,0.006352867274165154,0.00625212251739377,0.0065735089922023425,0.006090244786302532,0.005959580723512933,0.006232969166100194,0.006153776307617897,0.005912750507655965,0.005892866904510086,0.0061351016083302295,0.005891075750035373,0.006268948969445923,0.006115293459783102,0.00606596092121569,0.005923197188246782,0.006261329691825785,0.006329185638796467,0.006432720561348378,0.006703564968561997,0.0063980608422981415,0.006352201959938428,0.006704258733826338,0.0066742053807764155,0.006449318362641381,0.006400206251982649,0.006251409417324454,0.006275686505112734,0.006326131063996407,0.006642246037523999,0.006423478300576914,0.006255689588163004,0.006514981674372892,0.006518698463990233,0.0066373312214724365,0.006710423006890176,0.0065263994687553345,0.006474525418767665,0.00644357297662116,0.006304360236918099,0.006414416600784449,0.006288949234228711,0.006096325421264586,0.006129098350828369
SRR9224277,0.005941570158412665,0.005802213852746126,0.006191115804848216,0.005632520276711795,0.005426607556132529,0.005759503228859764,0.005664862988990195,0.00537363336279927,0.005356408304325719,0.005690926382524579,0.005306485351666147,0.005834372624771256,0.005673528616433404,0.00557009129775095,0.005452737175109433,0.005823937753276064,0.0058974812911847235,0.006034312651522176,0.0064054376730180345,0.0060263404815529414,0.005945647654769223,0.006366467637588444,0.0063402396070455875,0.006020079776943856,0.005995609733686175,0.005937525273400873,0.005814474801068232,0.005924710650586558,0.006401725874408925,0.00610295603153203,0.006553736878104932,0.005585948986665375,0.006070021327581361,0.00627559846919446,0.006405299831390726,0.0061682747415380355,0.006072095330743011,0.005993851966494266,0.0057979496020434725,0.006053516865629286,0.005871706114506007,0.005637689918049105,0.005700019474376192
SRR9224278,0.005776541612748609,0.005658385200453677,0.006020415514309905,0.005514628985781949,0.005300021613792632,0.005582590092515569,0.005535403028048905,0.005249764695390546,0.0052574576225088805,0.005520965913562634,0.0052003504537447235,0.005739480712841987,0.005469318432941623,0.005425132351894542,0.005336313201651578,0.005683775663923235,0.005773594448055899,0.005920380200793367,0.006252599967600251,0.00591134872574656,0.00584518158293518,0.006229874524630587,0.006172616828815242,0.005853309788669051,0.005826107759711304,0.0057332109197487865,0.005636633795078392,0.005771575415120384,0.006182225638907448,0.005961208294190409,0.006512648685057758,0.006024373971536499,0.005378425418972743,0.006143525318278065,0.006262134969745654,0.006015794719119243,0.006027379141154958,0.005847545760936733,0.005625596477822309,0.005931165607041753,0.005721054055103581,0.005536012323621133,0.005543958545872544
