,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224302,SRR9224309,SRR9224310,SRR9224420,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
SRR9224391,0.0007034870070099,0.0006886980873954,0.0006926234113267,0.0006835557891156,0.0006581120296389,0.0006549730003588,0.0007018041002377,0.0007216430204599,0.0006771073051505,0.0006878700422065,0.0006752220133922,0.0006879524096975,0.0006778529379258,0.0006925698731488,0.0006960876257126,0.0007078757248236,0.0006940361090298,0.0007095127806864,0.000661477262914,0.0007195977135659,0.0007070786522991,0.0007543381443652,0.0007234943360566,0.0007518564466249,0.0006865627057501,0.0006968769527759,0.0006674419561334,0.0006433434983308,0.0007286746033241,0.0007232374761881,0.0006846560021079,0.0006594235233542,0.0006268311613704,0.0006423945898562,0.000649557489379,0.0006564391545287,0.0006497772155927,0.0006595505466936,0.0006121244969174,0.0006451637508279,0.0006179471485536,0.0006200793883016,0.0007137353448579,0.0006410788128032,0.0006844024814006,0.0006368461889329,0.0006405101980291,0.0020321386653877,0.0006760691896544,0.0007095671653474,0.0006971845365777,0.0006787979392475,0.0006194994828951
SRR9224482,0.0006955926278564,0.0006826392315618,0.0006850495845944,0.0006793012022912,0.0006462513832062,0.0006536975273753,0.0006902978957068,0.0007169963261295,0.0006744026538724,0.0006775499682472,0.0006843390445617,0.0006592468021423,0.0006693913578534,0.0006859845142117,0.0006858871838413,0.0007056909026746,0.0006844074521933,0.0007031205371988,0.0006563989349592,0.0007179625143912,0.0007035068224619,0.0007504174688122,0.0007232729378903,0.0007487680883398,0.0006770078972266,0.0006876375263827,0.0006630638714091,0.0006416253164193,0.0007288483869447,0.0007156265971925,0.000682900853503,0.000657583652004,0.0006230576702164,0.0006381881484544,0.000644941499499,0.0006441309900007,0.0006412217876605,0.0006565318896596,0.000610153091405,0.0006463975588493,0.0006144056488033,0.0006148947907139,0.0007141594731845,0.0006385967259519,0.0006799673711815,0.0006329037649449,0.0006425053647014,0.0020237098410849,0.0006672053100936,0.0007011806422,0.0006947578133049,0.0006704864064084,0.0006181025259192
SRR9224481,0.0006873077383526,0.000675416398188,0.0006778432198493,0.0006694713454949,0.0006427762614988,0.0006423100969002,0.0006839099566464,0.0007077203858164,0.0006627290006699,0.0006774856266266,0.0006788371203887,0.0006739426865908,0.0006485574701545,0.0006806642869943,0.0006838302446822,0.0006984835638703,0.0006814206072651,0.0006959021308829,0.0006489685795626,0.0007083902654268,0.0006929810990401,0.0007422414808534,0.0007112689369022,0.0007382600180876,0.0006687368528913,0.0006825351322541,0.0006562556631265,0.000629488167392,0.0007199795422426,0.0007101817567385,0.0006794802401175,0.0006509612001384,0.0006137343631542,0.000629860812817,0.0006365700547619,0.00064230599974,0.000635115028366,0.0006504467475603,0.0006014533194883,0.0006358236091443,0.000607035352217,0.0006100907966434,0.0007059347915205,0.0006291235813731,0.0006762857343105,0.0006255115590361,0.0006339951610233,0.0020317280547764,0.0006605311924078,0.0006978029130624,0.0006890601203445,0.0006656316794786,0.0006095200685038
SRR9224480,0.0007056701294636,0.0006880039596293,0.0006913007783295,0.0006844979419623,0.0006584233287569,0.0006586909922249,0.0007000776643637,0.0007235023214592,0.0006797470031564,0.0006923287738275,0.0006932222908439,0.000690193097437,0.0006802052834548,0.0006798178578149,0.0007004131142677,0.0007126166526555,0.0006952097773388,0.0007131973445656,0.0006649724655921,0.0007269561650456,0.0007116959219769,0.0007611912279298,0.0007270562998816,0.0007578819779371,0.0006874064947576,0.0007011192176218,0.0006732978520519,0.0006461583244014,0.0007367717537965,0.0007302904324266,0.0006916866079175,0.0006636225432933,0.0006270372257709,0.0006463705673882,0.0006524730524682,0.0006589899124233,0.0006506535862433,0.0006621951119649,0.0006160726112502,0.0006512155510504,0.0006225712670584,0.0006250124204441,0.0007255809302957,0.0006460004951906,0.0006896469662688,0.0006433449641273,0.0006490936190116,0.0020564833465951,0.0006780324199723,0.0007120236295934,0.0007051235200846,0.000678637662594,0.0006234475324583
SRR9224479,0.0007153869917013,0.0007024176091274,0.0007091292908124,0.0006971342672854,0.0006760150200813,0.0006669461294199,0.0007170361614522,0.0007335089676603,0.0006893131255737,0.0007061426306008,0.0007056796971374,0.0006987975869781,0.0006919737146304,0.0007090810183441,0.0007013955332486,0.000719329120852,0.0007128883443354,0.0007272706744817,0.0006733897023055,0.0007297861011975,0.0007161954692261,0.0007610671751097,0.0007329747398709,0.0007596549706678,0.0007001267032975,0.0007118448400757,0.0006794927224637,0.0006522720475344,0.0007387745996913,0.0007336610399969,0.0006971088730402,0.0006761557718595,0.0006360476114539,0.000655849967472,0.0006614511681546,0.0006713840986358,0.0006683608887455,0.0006765881328792,0.000628986441605,0.0006569898004405,0.000631250292907,0.0006316921303521,0.0007238404768812,0.0006521906918338,0.0007024959116164,0.0006474250036037,0.0006594520696812,0.0020868400297629,0.0006871036291729,0.0007218173115203,0.0007106236022962,0.0006942625216538,0.0006336093522044
SRR9224486,0.0007023386141799,0.0006883752128362,0.00069402438033,0.0006841919670094,0.0006519070516424,0.0006594543705653,0.0006944810755099,0.0007234297515722,0.0006800740531106,0.0006887232905084,0.0006876496329117,0.0006887416278459,0.0006771653642295,0.0006913090499171,0.0006895015294052,0.0006738242021766,0.0006898796984758,0.0006990501354795,0.0006615240381812,0.0007229606169583,0.0007084753449163,0.0007533638710536,0.0007263345731479,0.0007567962397265,0.0006824010551647,0.0006966305479882,0.0006684255142354,0.0006482396131702,0.0007364874047319,0.0007216931320596,0.0006917455340038,0.0006719014321017,0.0006293921776683,0.0006454720115377,0.0006555724004419,0.0006517795629103,0.0006423074863492,0.0006625576987085,0.0006174705785218,0.0006511358807374,0.0006251437962001,0.0006223313343429,0.0007171980637321,0.0006424119655456,0.0006825102486171,0.0006367896704742,0.0006402534430329,0.0019051644986085,0.0006661928917282,0.0007020312800914,0.0007010237503332,0.0006735988784002,0.0006254103455515
SRR9224485,0.0007114358709743,0.0007006598712435,0.000706718339394,0.0006953182870284,0.0006715677547822,0.0006640481391589,0.0007148007706277,0.0007287574295076,0.0006884832980017,0.0007036394727666,0.0007029130611617,0.0006966148933802,0.0006887513691199,0.000703275237169,0.0007120890530883,0.0007186201470239,0.0006969304641124,0.0007245941047821,0.0006726908530351,0.0007275147735336,0.0007156843019812,0.0007590035493904,0.0007295019782039,0.0007569930570147,0.0006937226162664,0.0007077915316052,0.0006779016888791,0.0006496500579262,0.0007386184594497,0.00073037421041,0.0006913817792101,0.0006670149708651,0.0006340722895159,0.0006507634801168,0.0006548018781165,0.0006650561570679,0.0006638524550409,0.0006692400706942,0.0006222726718211,0.0006528927742488,0.0006250436293298,0.0006252555637659,0.0007244616957537,0.0006465136124206,0.0006948429941011,0.0006432623586653,0.0006516463208586,0.0020858031404103,0.0006850600803822,0.0007190986072173,0.0007070721864503,0.0006896519314682,0.0006259607171309
SRR9224484,0.0007244597670143,0.0007129990520308,0.0007155954151112,0.0007078207328041,0.0006851891196737,0.000677534694396,0.0007272536349309,0.0007429055790882,0.0007000904631519,0.0007146675645719,0.0007146295892873,0.0007120107173795,0.0007000659476747,0.0007177379032908,0.0007228977895996,0.0007251709894822,0.00072098744591,0.0007237665586725,0.0006841982417037,0.0007352958544132,0.0007275305090453,0.0007651669535725,0.0007415987113639,0.0007673414739236,0.0007122867926663,0.0007205284502011,0.0006872427220098,0.0006640541672235,0.0007481028551071,0.0007371207727423,0.000704025877428,0.0006835316556029,0.0006475345527319,0.0006634048052107,0.0006678243436639,0.0006814864328984,0.000678670033192,0.000680569294332,0.0006363304825548,0.0006657054551698,0.0006378983704665,0.0006409976564935,0.0007298194723819,0.0006611883705269,0.0007062385303218,0.0006558997039697,0.0006606186324701,0.0020828112384806,0.0006947225356308,0.0007286722637117,0.0007198778593693,0.000700578720839,0.000643029758352
SRR9224483,0.0006649222948472,0.0006543712973766,0.0006590805386129,0.0006465064115058,0.0006164018063846,0.0006218014172638,0.0006577032508993,0.0006846038054011,0.0006420987850206,0.0006535897665022,0.0006524218748735,0.0006509535497273,0.0006390068264939,0.0006553357903813,0.0006555189332795,0.0006718375850503,0.0006558477011168,0.0006699078891917,0.0006024165135786,0.0006832927356411,0.0006729430430122,0.0007159395535919,0.0006900037440433,0.0007168719315111,0.0006483158291889,0.0006620236461889,0.0006285377415591,0.0006094792794763,0.000693460050349,0.0006862400572316,0.0006515481262553,0.0006330991934395,0.0005945266255636,0.0006100339781828,0.0006155129684649,0.0006172512686604,0.0006129313173619,0.0006280810712991,0.0005853544675173,0.0006150022474017,0.0005860371240586,0.0005856622703687,0.0006790386266867,0.0006072866886773,0.0006476451488108,0.0006001352871666,0.0006093505636551,0.0019483391886269,0.0006363106147621,0.0006684129987462,0.0006634330206925,0.0006418924591301,0.0005925339561436
SRR9224489,0.0006983636664053,0.0006867914637065,0.0006904394211965,0.0006816367893041,0.000645646178722,0.0006620516752955,0.000688479928993,0.0007180788647045,0.0006799148383121,0.0006834316300965,0.0006842349368536,0.0006853640329677,0.0006721991861454,0.0006900789931062,0.0006849637619528,0.0007066537825422,0.0006837647684356,0.0006938240074315,0.0006577975785243,0.0006583501143104,0.0007052649738891,0.0007502399760055,0.0007243220827643,0.0007551802108722,0.0006835741389955,0.0006949396049064,0.0006611481815672,0.0006460421641498,0.0007353733262888,0.0007258350248016,0.0006879579194972,0.0006680077675927,0.0006273015041297,0.0006440711536666,0.0006486508960715,0.0006501776458104,0.0006391703901878,0.0006562792850896,0.0006206520370643,0.0006539758974368,0.0006233501393077,0.0006194532701048,0.0007231844537592,0.0006439744047651,0.0006764886761748,0.0006360094731276,0.0006436927637977,0.0018103570862485,0.0006619314107121,0.0006950660438304,0.0006920536356179,0.0006727037564709,0.000628023494938
