,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224174,SRR9224176,SRR9224183,SRR9224307,SRR9224308,SRR9224304,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416
SRR9224391,0.0058067758127359,0.0057917814880164,0.0057789155465211,0.0058141909216062,0.0054045769779965,0.0053693807432823,0.0053241946491226,0.0053465304985284,0.0054328611062025,0.005567578843192,0.004973728287644,0.0056935886586101,0.0053472617858152,0.005424416914334,0.0051729552948106,0.0050779179307931,0.0052842437021598,0.0050885235129497,0.0053172300271298,0.0052633828713423,0.0051583276281191,0.0050717026658545,0.005234208488782,0.0051919420183351,0.0055157712220831,0.005417061331658,0.0053747511588565,0.0057790838384295,0.0054057506869004,0.0054595573440703,0.0057395041018897,0.0057010981891088,0.0057309886814097,0.0057236333456274,0.0057485515037636,0.0057189672506828,0.0056542699447192,0.0055305112572985,0.0057773148376299
SRR9224482,0.0058271887034818,0.0058366949407896,0.0058226862473067,0.0058657626644297,0.0054418282510508,0.0054055383333353,0.0053888906540135,0.0053790753200714,0.0054474812500035,0.005609605641986,0.0056039097616919,0.0050456392060604,0.0053798534067553,0.0054628513260816,0.0052143386195146,0.0051177944165057,0.0053080261068553,0.0051152108591318,0.0053447001815555,0.005302977828438,0.0051918476825034,0.005123033077627,0.0052489446502261,0.0052370106423483,0.0055415918314994,0.0054430862320956,0.0053655595424027,0.0058284209387601,0.0054582012215277,0.005478850090547,0.0057604729124073,0.0057292267163932,0.0057325681573122,0.0057472435085039,0.0057637344974497,0.0057486965951162,0.0056770532623671,0.0055645852547806,0.0057879827162554
SRR9224481,0.0056554203388669,0.00568420970653,0.0056896350485911,0.005680867745726,0.0052435029126378,0.0052206841725363,0.0051809032042784,0.0051425003427039,0.0052264192891685,0.0054617000329372,0.005457200461214,0.005577204915174,0.0047009689078241,0.0052142072409369,0.0049672315000403,0.0048638661293713,0.0050775873546433,0.0048455049025809,0.0051415521434493,0.0050570054616087,0.0049386778374504,0.0048714483527271,0.0049675293456104,0.004922888830246,0.0053024602991007,0.005192772428144,0.005128207648413,0.0057323798694123,0.0051777975395456,0.0052468775359312,0.0056568700383252,0.0055891670454308,0.0056020091558206,0.005608385015743,0.0056679949194714,0.0055794628013707,0.0054926798453356,0.0053768000544625,0.0057025825686629
SRR9224480,0.0056318603946926,0.0055958794037371,0.0056518575395367,0.0056311518207244,0.0052011578555019,0.0051740169090484,0.0051219088009137,0.0050718072294748,0.0051435456698346,0.0054206979426387,0.0054137980805192,0.0055375577461049,0.0050986131651307,0.0045824982100084,0.0048919984596869,0.004792014697562,0.0050180880986475,0.0047561541522664,0.0050700244616565,0.0050139783061095,0.0048557980802048,0.0048197152194168,0.0048862288803539,0.0048426351013607,0.0051891732291255,0.0051154450882773,0.0050566329310727,0.0056793856325794,0.0051284792217376,0.0051635956878841,0.0056043672313444,0.0055440901591492,0.005557495317586,0.0055764743650712,0.0056466704887147,0.0055247215479245,0.0054443838698949,0.0053280571885264,0.0056683728897095
SRR9224479,0.005582362818429,0.0055643303207877,0.0056264584703297,0.0055865972248068,0.0051512620380441,0.0051208646155015,0.0050809231562132,0.0050055181322918,0.0050737662527446,0.0053871910021115,0.005369055447792,0.0054962371016399,0.0050524430341342,0.0050870380426869,0.004502220786459,0.0047342201366659,0.0049540333237352,0.0046978103523764,0.0050133804279933,0.0049365861751109,0.0047943006417708,0.0047475265612646,0.0048212074200998,0.0047595533365992,0.0051502219874359,0.005035081818951,0.0049994353472628,0.0056497134373745,0.0050580766201244,0.0051227237614409,0.0056123184037129,0.0055088117132332,0.0055294339413983,0.0055578620704462,0.005586491990916,0.005478638385198,0.0053960082725741,0.0052752195895998,0.0056538888908352
SRR9224486,0.0055296609252838,0.0055133481856889,0.0055763438213189,0.0055386971560489,0.0051014898914243,0.005074124704989,0.0050240206535093,0.0049539990448829,0.0050217335270232,0.005340754801091,0.0053241464232181,0.0054489383020054,0.004998700107324,0.0050353077824196,0.0047841285232555,0.0044069294952198,0.0049041960855271,0.0046509990299725,0.0049680995436126,0.0048839386839745,0.0047407526892481,0.004689823440949,0.0047561291625463,0.0047196229584821,0.0050831209090648,0.0049783071791738,0.0049344590896065,0.0056003145354248,0.0049935104178393,0.0050544144107386,0.0055389932607831,0.0054518715257064,0.0054686480120519,0.0054985650729014,0.0055407439625848,0.0054315846254744,0.0053548177117631,0.0052137402842668,0.0055736409058868
SRR9224485,0.0056247797048254,0.0056092179732379,0.0056601563300774,0.005635963899826,0.0051886446744901,0.0051605715444142,0.00512435870398,0.0050675779315088,0.0051458618068379,0.0054266120308304,0.0054137075915075,0.0055230806587534,0.0050975040609371,0.0051524831932113,0.0048893917166346,0.0047894660058045,0.004604548466237,0.004757841239924,0.0050736909679448,0.0050029084863537,0.0048599923212604,0.0048122167157528,0.0048939734248674,0.004846998942283,0.0052159905970304,0.0050988483830509,0.0050486534517941,0.0056585447695755,0.0051244788204807,0.0051695071054324,0.0055965930666749,0.0055406046079208,0.0055500081818815,0.0055946055681282,0.0056304013624999,0.0055364135683144,0.0054375090844479,0.0053113470974773,0.0056605423280119
SRR9224484,0.0054974602550876,0.0054991544904852,0.005564994234981,0.0055023040943118,0.0050747993647931,0.005040723641526,0.0050078535436365,0.0049044530150148,0.0049708327704351,0.0053377635176025,0.0053115429395071,0.0054215582321056,0.0049577114988445,0.0049758576889981,0.0047269331940885,0.0046303437065711,0.0048502892871379,0.0043066557117938,0.0049276450674649,0.004847253901973,0.0046787640903554,0.004653737104946,0.0046837740722499,0.0046399220637324,0.0050258138155099,0.0049049690313488,0.0048821106582372,0.0055797489928411,0.004954474121587,0.0050069778779006,0.0055269930179944,0.0054367418824521,0.0054405176304286,0.0054747772901505,0.0055129202792879,0.0054101536051307,0.0053253989689564,0.0051937672420529,0.00558703620522
SRR9224483,0.0056106261160836,0.0056140992396019,0.0056473309472336,0.0056538277283242,0.0052004904731024,0.0051740476786527,0.00512924906967,0.0050913993859163,0.0051940022846109,0.0054169674443022,0.0054172432246742,0.0055322419299517,0.0051325288755608,0.005177472317994,0.0049211415964,0.0048264624139507,0.0050456802534872,0.0048078144241612,0.0046365762910696,0.0050143366759401,0.0048974900139545,0.0048322325740972,0.0049473700228694,0.0049051088166945,0.0052591931217184,0.0051398473972102,0.0051011802860159,0.0056351303643155,0.005142970481892,0.0052065842035944,0.0056096895257175,0.0055370024753441,0.0055865015493417,0.0055890883457534,0.005601709280957,0.0055158112936562,0.005457460975713,0.0053157545236385,0.0056567682671567
SRR9224489,0.0055827909755558,0.005602123563338,0.0056268601284415,0.0056243459679204,0.0051626951967551,0.0051343496496141,0.0051006176086337,0.0050449311552965,0.0051348658881794,0.0053893175335596,0.0053908144782418,0.0055162252711388,0.0050747183610386,0.0051456031914048,0.0048712537835445,0.0047679990939315,0.0050016516412298,0.0047531287364072,0.0050410014175814,0.0045786943058272,0.0048406418682527,0.0047895762172649,0.0048809641014182,0.0048453574199667,0.0052075387295799,0.0050996501741066,0.0050335593018808,0.0056389521901777,0.0051141856281103,0.0051485730605176,0.0055928743428036,0.0055022840467372,0.0055202051392656,0.0055525737416689,0.0056075895466882,0.0055082282967643,0.0054276689614319,0.0052958201786567,0.0056337226227819
