,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224304,SRR9224301,SRR9224302,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
SRR9224482,0.0012454862534646,0.0011714144621186,0.0011244160498723,0.0011668228939425,0.0010897973869441,0.0010715974854208,0.0010258644968523,0.0010760595784309,0.0011565214331659,0.0010898453807646,0.0011192182803196,0.0010893685285688,0.0011080865131111,0.0011612396871092,0.0017270664185044,0.0014073038003263,0.0012014480865363,0.0014554102945823,0.0016017771641252,0.0012798530837777,0.0011020190846638,0.0011481784953282,0.0017011194471472,0.0015701607359271,0.0015349142885135,0.0015285458290876,0.0012541585934407,0.0015092907440542,0.0011829376748628,0.0010813889822956,0.0013710027953542,0.0018039050974753,0.0016971197568419,0.0010398950380663,0.0012886225986441,0.0011995274332482,0.001309739019789,0.0011567323943816,0.0020664313659172,0.0015357418998483,0.0019380367807903,0.0016634523969767,0.0015019817182917,0.00140664226266,0.0013100203647801,0.0014904283499431,0.0013021007900132,0.0013231942122432,0.001827266528629,0.0011870925537187,0.0013537444384623,0.0014535761408456,0.0016926294054327,0.0012388310610942
SRR9224481,0.0012457449512998,0.0011758205266019,0.0011255994035175,0.0011695328592068,0.0010928925074767,0.0010687003251804,0.0010265968811077,0.0010804962301364,0.0011620572035999,0.0010901913796467,0.0011243115026155,0.001109085714244,0.0010935183438327,0.0011615971623457,0.0017298706089989,0.0014102625165541,0.0012061246914166,0.0014542969897366,0.00159680552214,0.0012813859960554,0.0011032967674266,0.0011473475038019,0.0016984351867806,0.0015723169847322,0.0015329665688763,0.001528418204521,0.0012578124675339,0.0015076552986002,0.0011860201447421,0.0010824217031494,0.0013745502651899,0.0018028041656087,0.0017036845888166,0.0010389349157764,0.0012917854184387,0.001198798763493,0.0013118583149331,0.0011580231854683,0.0020717630484971,0.0015387485140756,0.0019372434599893,0.0016680755803038,0.0015033651521628,0.0014097149776667,0.0013076327951823,0.0014946139745893,0.0013015328429475,0.001325215155948,0.0018255281234652,0.001191249222113,0.0013555741076611,0.0014514505131954,0.0016932486764104,0.0012397710137237
SRR9224480,0.0012971610761827,0.0012232590472805,0.0011745469557542,0.0012188189079768,0.0011436720124354,0.0011191394150591,0.0010766567162781,0.0011287861899468,0.0012082639552747,0.0011403926542771,0.0011751773212911,0.0011628358260732,0.001162568093831,0.0011911753869547,0.0017791785314821,0.0014576379907999,0.0012574986860758,0.0015086385189875,0.0016508166778148,0.001327897591298,0.0011530515888115,0.0011924359844383,0.0017423951214349,0.0016122092434105,0.0015822765848056,0.0015765559414476,0.0013031982935684,0.0015544333346284,0.0012355676822393,0.0011362208721061,0.0014165300265143,0.0018520250205391,0.0017473422831698,0.0010869583999705,0.001336648665088,0.0012450348827267,0.0013564546112876,0.0012031938586233,0.0021152932757364,0.0015836549611865,0.0019823191662058,0.0017032152180629,0.0015489400564564,0.0014610782477258,0.0013577211577412,0.0015370946228664,0.0013469624667572,0.0013697549589755,0.0018654427831357,0.0012371678759473,0.001400099811127,0.0014963902843869,0.0017373387272489,0.0012868584236738
SRR9224479,0.0019199781662616,0.0017865830572358,0.0017493530864885,0.0018461900666388,0.00179849668591,0.0017019157898688,0.001723658375819,0.0017215256090835,0.0018140788525297,0.001808733908835,0.001796656612586,0.0017785396376218,0.0017800889052422,0.0018296469335073,0.0023404623404064,0.002042837312839,0.0019328970008061,0.0021975854393087,0.0022664523575512,0.0019614656429715,0.0018116847691723,0.0017243224935763,0.0022268948466084,0.0021151056748052,0.0021055745288546,0.0021113248415345,0.0018599499511851,0.0020789067081325,0.0018187161287514,0.0017490551015576,0.001945825647703,0.0023691136942951,0.0022529098567979,0.0016527828934859,0.0018574783149509,0.0018158885585325,0.0018941063909358,0.0017479546953818,0.0025762191388391,0.0020947265807822,0.0025061610521838,0.0022187249259741,0.0020495126564864,0.0019464645378613,0.0018727913999236,0.0020488132251912,0.0018811485429059,0.001901054904224,0.002340655433927,0.0017960827056245,0.0019633843123217,0.002014111232263,0.0022285869224686,0.0018293037879588
SRR9224486,0.001542358163498,0.0014560405370719,0.0014129350715021,0.0014690733357427,0.0013966888762021,0.0013580016519838,0.0013306160869265,0.0013682129682614,0.0014529680743214,0.0013953721484634,0.0014206196282747,0.0014092224436913,0.0014109604056014,0.0014574048033778,0.0019853470207502,0.001654148126086,0.0015049776197157,0.0017402259058505,0.0018740158358507,0.0015729316821692,0.0014037688656497,0.0014177660497048,0.00194257985265,0.0018236230222367,0.0017984877417566,0.0017941544461374,0.0015335103455577,0.001770083303019,0.0014758237302926,0.0013789482287559,0.0016476490369644,0.0020636358405853,0.0019557063171271,0.0013245398716171,0.0015667526742276,0.0014806239095312,0.0015768152318724,0.0014372270911998,0.0023023528329683,0.001796608004017,0.0021896200119794,0.0019220233122252,0.001755854934257,0.0016649248718137,0.0015838115891239,0.0017579169055418,0.0015773043237403,0.0015950840074741,0.002075448282867,0.0014678881959208,0.001627572041137,0.0017160116251842,0.0019485903364307,0.0015183258559078
SRR9224485,0.0013711349308165,0.0012663867697029,0.0012206045177626,0.0012848938615549,0.0012159878059615,0.0011651534037636,0.0011435808536336,0.0011758189264074,0.001267399612986,0.0012164571382064,0.0012413215324242,0.0012229822038188,0.0012267262321727,0.0012781635762824,0.001905173712605,0.0015299245950633,0.001333823565664,0.001619985337175,0.0017500569409296,0.001408424966331,0.0012245405206234,0.0012290726991361,0.0017818943421525,0.0016548141688757,0.0016304825956191,0.0016323698396806,0.0013542739833791,0.0016089885018008,0.0012902967137794,0.0011961478008568,0.0014537332811515,0.0018955369276961,0.0017997283967696,0.0011300360702853,0.0013742055562965,0.0012968217152875,0.0014000383932678,0.0012456515908645,0.0021707516495374,0.0016300135154521,0.0020673860974285,0.0017660557389446,0.001584823674573,0.0014814172205595,0.0013906863785352,0.0015791596157266,0.0013886280816282,0.0014120923889397,0.0019048863386145,0.0012874694902415,0.0014559641422853,0.0015362224461516,0.0017755841170475,0.0013300929742471
SRR9224484,0.0016389001897715,0.0015162637635998,0.0014745946772848,0.0015562163327628,0.001500069920232,0.0014240697368744,0.0014188294666236,0.0014358777874932,0.0015305875164733,0.0015047488732949,0.0015102655371374,0.001492575627357,0.0014905635555151,0.001545341555553,0.0021837381343814,0.0017832750138035,0.0016349276687856,0.0018944661056503,0.0020187747117472,0.0016818583447328,0.0015081851102726,0.0014732332563518,0.0020011360285908,0.0018841271739032,0.0018643760018927,0.0018684956897801,0.0016057441601295,0.0018410781801547,0.0015442051835114,0.0014622296286872,0.0016917774366061,0.002127154998027,0.0020281664355379,0.0013822830563136,0.0016161239085399,0.001552031903624,0.001642295978111,0.0014922770738624,0.0023803691255257,0.001858550346866,0.0023019984491017,0.001995554182325,0.0018135039659675,0.0017084366949678,0.0016251994586621,0.001814109580514,0.0016298882276171,0.0016526758501659,0.0021255928104817,0.0015351803097626,0.0017042791437154,0.0017696217785047,0.0020027645523392,0.001573223735148
SRR9224483,0.0017543352262603,0.0016441561189071,0.0016063964126808,0.0016794999561151,0.0016186918414429,0.001555157636734,0.0015494389729832,0.0015684963132618,0.0016572691170316,0.0016233822438325,0.001632497513743,0.0016225394366463,0.0016161492460106,0.0016692018471233,0.0022244997164335,0.0018957196168736,0.0017419546736503,0.0019918600491699,0.0020624812184785,0.0017911987181186,0.001631332115824,0.0016115947660931,0.002120065674431,0.0020023072634891,0.0019848352952175,0.0019855937285639,0.0017238115784264,0.0019579226089925,0.0016721468514919,0.0015855618491474,0.0018261907992849,0.0022493969081353,0.0021360810896083,0.0015165365530107,0.0017469196634677,0.0016746257355252,0.0017657006482869,0.0016225513204243,0.0024773373691737,0.0019762428145974,0.0023844481404148,0.0021030443112711,0.0019370112827215,0.0018457851130557,0.001760156385558,0.0019385334727497,0.0017591115987406,0.0017792948583498,0.0022445520046626,0.0016611542146956,0.0018194740931314,0.0018966963587678,0.0021175480533394,0.0017052183948142
SRR9224489,0.0014314198463064,0.0013389919085234,0.0012926775408143,0.0013473723406615,0.0012798899720712,0.0012375153355548,0.0012112740935709,0.0012469779978829,0.001333314028799,0.0012808299945899,0.0013046445770226,0.0012916697825374,0.0012922392459776,0.001338133033448,0.0019194016289499,0.0015854009495924,0.0013963438900062,0.0016532104679891,0.0017844182607345,0.0014453266362201,0.0012873369217975,0.0012985598637127,0.0018407017409241,0.0017162302649722,0.0016905983981888,0.0016911799675851,0.0014208521337831,0.001665717362603,0.0013590581455308,0.0012607195454361,0.0015247136955257,0.0019599599572884,0.0018537275402418,0.0012028906866799,0.0014453834622197,0.0013655478656347,0.0014697270254749,0.0013160171217362,0.0022184653055225,0.001686439159311,0.0021097235022327,0.0018216027806747,0.001650651324177,0.0015504918133355,0.0014583908566585,0.0016423029827939,0.0014564734466711,0.0014758633445855,0.0019646696572248,0.0013515607823308,0.0015190691307815,0.0016031067112422,0.0018390035527223,0.0013972931621505
SRR9224094,0.0012611895569048,0.0011690496438814,0.0011226655394425,0.0011747308194657,0.0011023005239748,0.0010647795205174,0.0010302554149892,0.0010764955721197,0.0011603975275718,0.0010985254182948,0.0011283309248173,0.0011165798952858,0.0011167426669322,0.0011663406744685,0.0017793146200783,0.001420425473478,0.0012189965385751,0.0014884200511788,0.0016318623419631,0.0012926520420959,0.0010960110025446,0.0011344970058046,0.0016888329928886,0.0015617749782758,0.0015362754428639,0.0015324429923025,0.0012559306861284,0.0015151305138055,0.0011876565690197,0.0010828417505968,0.001360262409104,0.0018077663923617,0.0017102060106049,0.0010323794278311,0.0012820890126862,0.0011988086073763,0.0013040640837746,0.0011503532768297,0.0020836109623886,0.0015375060319372,0.0019694778008354,0.0016713891178939,0.0014931604714381,0.001393675044117,0.0012987744498785,0.0014888081142426,0.0012965601946891,0.0013188350419511,0.0018143159670059,0.0011860120293599,0.0013574441950697,0.0014466571698939,0.0016926008327954,0.0012373029697957
SRR9224095,0.0011852855275689,0.0011555266305779,0.0011002915616298,0.0011159340228548,0.0010342615363936,0.0010474398291092,0.0009825733998065,0.0010510994787495,0.0011117618725981,0.0010373599172056,0.0010783526849543,0.0010678581575491,0.0010660623176923,0.0011068081856491,0.0015657061653923,0.0013156935414804,0.0011259734513725,0.001341637547151,0.001480968329652,0.0011969004504084,0.0010432763946495,0.0010303646840626,0.0016510144091223,0.0015407126476895,0.0014683315176177,0.0014518069522184,0.0012011000130958,0.0014411771037025,0.0011470994440579,0.0010381285742769,0.0013814788535696,0.0017675965287512,0.0016313073642671,0.0010430119530687,0.0012921932292504,0.0011549515142318,0.001278539647791,0.0011572889152264,0.001971329560825,0.0014942037361728,0.0018083771782247,0.0015953794598844,0.0014968106320462,0.0014198948892479,0.0013134324543371,0.0014827730260942,0.0012898909478138,0.001306839761739,0.0017820398769953,0.0011502869212143,0.0012974630411032,0.0014417287205262,0.0016819615814406,0.0012270484155415
SRR9224096,0.0017358882577399,0.0017068224699921,0.001658535009232,0.0016739879235643,0.0015887432306383,0.0016017564530072,0.0015372639522531,0.0016118326004416,0.0016671170413154,0.0015946839686958,0.0016339140610238,0.0016279382934978,0.0016238205153329,0.0016642516717785,0.0020784895188257,0.0018562629913371,0.0016782220107294,0.0018728951796905,0.0020055211757588,0.001745976760997,0.0015971592363938,0.0017049993933802,0.0020256522220983,0.0020653916873792,0.0019976097461379,0.0019849370738288,0.0017503016377023,0.0019718837099303,0.001701416545883,0.0015926933438595,0.0019244170124435,0.0023074824556469,0.0021569874975601,0.0015963073723317,0.0018326903420686,0.0017032581514799,0.0018198744542696,0.00171210648068,0.002474803207351,0.002015613738785,0.0023261271144202,0.0021249570247073,0.0020193232966876,0.0019520909039601,0.0018469513736172,0.0020231600203607,0.0018395612038598,0.0018516221685219,0.0023094903706819,0.0016927459133267,0.0018396282422641,0.0019764018977704,0.0021967347616219,0.0017675177730626
SRR9224089,0.0016092483250332,0.0015826125499793,0.0015306553471736,0.0015456362006467,0.0014623324541905,0.0014762220101082,0.0014124758431822,0.0014820369643564,0.0015399777921236,0.0014644164208437,0.001504689750257,0.0014970972571511,0.0014975371085551,0.0015339230964744,0.0019676175407727,0.0017360329369986,0.0015530019319602,0.0017574170760901,0.0018873276293619,0.0016219708724029,0.0014713298042909,0.0015835710606331,0.0020571502867063,0.0018153188653034,0.0018793205637256,0.0018704910311468,0.0016269516623358,0.0018483888167462,0.0015742372542251,0.0014667142061224,0.0017981269069054,0.0021830141959416,0.0020354861767861,0.0014743625239771,0.0017145182230776,0.0015820713384846,0.0017002276683753,0.0015932369714372,0.002358767854473,0.0019056944234826,0.002208688284519,0.0020035696987228,0.0019106800449484,0.0018373448658744,0.0017547319249839,0.0019047330011243,0.0017166059307995,0.0017289597524299,0.002195889814949,0.0015713721530506,0.0017145363040299,0.0018576708594115,0.0020795959002604,0.001652479222745
SRR9224090,0.0016154598184024,0.001562687215591,0.001516619281289,0.0015476018562859,0.0014683463918866,0.0014596944419305,0.0014114478154648,0.0014715972257107,0.0015397739978486,0.001467789515252,0.0015057412339511,0.0014972231648147,0.0014940672968869,0.0015405746527925,0.001999339944191,0.001752141642826,0.0015634809314755,0.0017760310466679,0.0019122062191939,0.0016340547510057,0.0014795242174572,0.0015446956059433,0.0020376919613463,0.0019241723591418,0.0017976226622928,0.0018691335901884,0.0016209018120311,0.0018448571522777,0.0015690570419361,0.0014655458565514,0.0017659001137955,0.0021748116329963,0.0020308336133879,0.0014435163225735,0.0016819818958527,0.0015696380991392,0.001679639622366,0.001551554957446,0.0023661006223961,0.0018910414264365,0.0022313108806615,0.0020003647327837,0.0018731570494994,0.0017886351142966,0.0016990340482618,0.0018679538910597,0.0016843421988934,0.0017011249634278,0.0021749724878835,0.0015616144783211,0.0017170855276265,0.00182575310136,0.0020454545854606,0.0016239031611259
SRR9224091,0.0016282106874279,0.0015676499474255,0.0015231276777085,0.0015592286183057,0.0014801506343153,0.0014646177518744,0.0014212668912421,0.0014740081357647,0.0015480891404468,0.0014831782945945,0.0015139960185231,0.0015062816336783,0.001504841094915,0.0015508952968793,0.0020233152972772,0.0017655307500087,0.0015810618365552,0.001796658845086,0.0019321447766124,0.0016511381686304,0.0014909973215322,0.0015429224961568,0.0020454790422419,0.0019351490653987,0.0018888348401872,0.0018170387154239,0.0016274111068663,0.0018646352924347,0.0015777228465764,0.0014741302157791,0.0017731089720166,0.0021750193965067,0.0020438468015854,0.0014418368980177,0.0016813952351402,0.0015808273845194,0.0016836420885965,0.0015542992252171,0.0023804020466062,0.0018959686188238,0.0022526461284622,0.0020094849432416,0.0018735506948757,0.0017890577596296,0.0016966259738357,0.0018708267868489,0.0016863221468281,0.0017101893317127,0.002181433981887,0.0015721494659658,0.0017221552202832,0.0018302090259592,0.002055123472592,0.0016290950729807
