,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224301,SRR9224302,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415
SRR9224391,0.0008175685326982,0.0008367803117332,0.000834994466961,0.0008251822694467,0.0007721129013313,0.0007861022333205,0.0007837923342621,0.0008769316142707,0.0007992377631175,0.000794196948386,0.0007410742665251,0.000802793414267,0.0007807306207966,0.0008098121406795,0.0007828581088161,0.000786794722891,0.0007889611509503,0.0007969930885405,0.0007705036560645,0.0007920892390887,0.0008148903660711,0.0008657556843004,0.0008499331044033,0.0009287819743104,0.0008238110385253,0.0008305387300377,0.0007461418366332,0.0007860522094517,0.0008373921191131,0.0008469215516101,0.0009796809834813,0.0008663903050989,0.0008586552066384,0.0009355529494969,0.0007889338394223,0.0008285615509815,0.0010360121514977,0.0009676645327948,0.0008845157620995,0.0008432292194369,0.000783793102864,0.0009172599209974,0.0008330426439087,0.0008014796382583,0.0007845527627057,0.0008787703697996,0.0007987616399,0.0007932156767856,0.0009245645836246,0.0010093992879395
SRR9224482,0.0008282789671064,0.0008483501184758,0.0008514528558352,0.0008379760708479,0.000782635492347,0.0007978454441709,0.0007930354130223,0.0008885647861404,0.0008112987518236,0.0008083084706104,0.0007949241943569,0.000763476298227,0.0007936996449501,0.0008205198404455,0.0007918940663997,0.0007970406744354,0.0007993814296318,0.0008098516177682,0.0007827596865843,0.0008009714362276,0.000826511179609,0.0008755529912981,0.0008670499860541,0.0009395099959357,0.0008417045315355,0.0008423612845299,0.0007589535862474,0.000799447866867,0.00085327944842,0.0008598019133302,0.0009971328256167,0.0008756591030189,0.0008710420155486,0.0009397315995198,0.0008025286573942,0.0008397559947299,0.0010413779087754,0.0009791491404057,0.0008967718644287,0.0008570684981054,0.0007944261357805,0.0009308209069523,0.0008433539270368,0.0008151058827385,0.0007977887220744,0.0008912739247857,0.0008135352550021,0.0008057815988198,0.0009378318905966,0.0010254967666594
SRR9224481,0.0008169684382557,0.000832929124369,0.0008343395621645,0.0008255014185823,0.0007682707113191,0.0007865003291146,0.0007821726544966,0.0008745711056788,0.0007980499340897,0.0007937583502795,0.0007796990352494,0.0008007629184353,0.0007377749385352,0.0008050984251722,0.0007794020586359,0.0007846446518557,0.0007867789372943,0.0007941919923715,0.000769573916301,0.0007897484504347,0.0008130937125348,0.0008656679535887,0.0008500128756973,0.0009235738288286,0.0008259139895118,0.0008287659963844,0.0007428685185444,0.000784458772662,0.0008361376820441,0.0008432621621665,0.0009814397375381,0.0008624424393505,0.0008544199822573,0.000932963153051,0.0007847855296423,0.0008228735268811,0.0010284879486135,0.0009664921082347,0.0008803970690946,0.0008379025765072,0.0007814910504305,0.0009200949688929,0.0008292924171622,0.00080025641272,0.0007822595011978,0.0008751783941835,0.0007974557785121,0.0007925174204994,0.0009252745899198,0.0010080345545943
SRR9224480,0.0008264109963928,0.0008438390315595,0.0008489332071862,0.0008403011409632,0.0007829020380935,0.0007990349910833,0.0007931854492525,0.0008921926623204,0.0008108601720129,0.0008047242093908,0.000794504756656,0.0008129225609684,0.0007908433925285,0.0007574546306411,0.0007881111628852,0.0007938504579782,0.0007971959006056,0.0008062413440021,0.0007828356300369,0.0008012927865106,0.0008228192450879,0.0008762354432984,0.0008685949881848,0.0009430274672273,0.0008415369040362,0.0008405245987957,0.00076250260661,0.0008029288137109,0.0008509160810273,0.0008560531845671,0.0009964372471267,0.0008750492224025,0.0008716497799923,0.0009501319926977,0.0008022382492731,0.0008387237484852,0.0010539396611065,0.0009797854566663,0.0008999919644818,0.0008576349567346,0.0007944406772104,0.0009408192378069,0.0008428775467639,0.0008097441759569,0.0007997549426841,0.000886566842727,0.0008134857679217,0.0008054809780668,0.0009448694862886,0.0010271521829859
SRR9224479,0.0008343902719178,0.0008517455231869,0.0008547874036595,0.0008424455184938,0.0007918452871296,0.000799926095214,0.0008048282795265,0.0008913243393859,0.0008172720258512,0.0008152148002305,0.0008019351399685,0.0008194279465005,0.0007993755309874,0.0008231328701651,0.0007807334029713,0.0008061282143341,0.000810586679584,0.0008181351865115,0.0007872121857056,0.0008050290081686,0.0008311799749925,0.0008768487374134,0.0008644425394232,0.0009371528836859,0.0008443888488533,0.0008454998046475,0.0007614198815072,0.0007997215594808,0.0008467325861679,0.0008529742834331,0.0009850343444171,0.0008752722150794,0.0008696798568608,0.0009401554460731,0.000803479298194,0.000842898597811,0.0010391370696499,0.0009711646305935,0.0008958252188082,0.0008528209395784,0.0007914164278487,0.0009226282525507,0.0008378386286223,0.0008115009883259,0.0007988805692199,0.0008842488826382,0.0008109049542692,0.0008096704185059,0.0009356254939404,0.0010214497058268
SRR9224486,0.0008222648206255,0.0008446029483593,0.0008457442897643,0.0008346665088403,0.0007803209805202,0.0007924362330959,0.0007949279620982,0.0008789625202062,0.0008062647645289,0.0008068176843791,0.000793518687892,0.0008121719293419,0.0007925763711544,0.0008161377982709,0.0007936496812098,0.0007559161594489,0.0007969198619865,0.0008028068207539,0.0007739101899968,0.0007875915888901,0.0008199995921999,0.0008589506908022,0.0008516915337218,0.0009256511773926,0.0008326196049181,0.0008364579827602,0.000745999950668,0.0007944029154819,0.0008442938256789,0.0008416199285967,0.0009797052626205,0.0008808570909939,0.000863624043942,0.00093548202061,0.0007987422597383,0.0008305245374609,0.0010460995716889,0.0009626857587478,0.000889181396974,0.0008528358461992,0.0007822459233166,0.0009157357927779,0.0008394408237021,0.0008105921057556,0.0007934799942524,0.000875852609836,0.000799555786978,0.000797456571588,0.0009306195827532,0.0010174842729645
SRR9224485,0.0008331500927258,0.0008491501027971,0.0008522400221924,0.000842134819972,0.0007885628350047,0.000800700014241,0.0008002675951292,0.0008911490801352,0.0008159790950135,0.0008152754263979,0.000800110434682,0.0008190772595469,0.0007990593480395,0.0008243885879428,0.0008023332403851,0.0008011240694327,0.0007749246522537,0.0008150585269124,0.0007826212626117,0.0007996805184243,0.0008301038294652,0.0008756317803057,0.0008613374602921,0.0009351432091074,0.0008429639814871,0.0008433427691449,0.000757223751983,0.0007994727496867,0.0008520678920236,0.0008540711759994,0.0009941988325725,0.0008830508155034,0.0008721209138542,0.0009453146860553,0.0008035666217496,0.0008442358704092,0.001056034595404,0.0009796192060528,0.0009024392220323,0.0008571963563135,0.0007919344827832,0.0009251183656808,0.0008432684412056,0.0008155737093817,0.0008017473771203,0.0008912972974873,0.000814618732174,0.0008063776477611,0.0009405908778657,0.0010273092345085
SRR9224484,0.0008390531118528,0.000857679646477,0.0008592468281391,0.0008480407828626,0.0007939053503809,0.0008049060508564,0.000804522838941,0.0008940250599641,0.0008207744365977,0.0008174747904771,0.0008040112604819,0.0008251017824335,0.0008025582013891,0.0008293969650563,0.0008055477829492,0.0008028839154908,0.0008107343070045,0.0007798313940461,0.0007859681067894,0.0008008605973412,0.0008331004731923,0.0008784593661207,0.0008670796819507,0.0009413027106634,0.0008468484309226,0.0008492381723432,0.0007597809130924,0.0008079407532703,0.0008580869970602,0.0008612410978742,0.0010010246742991,0.0008922978342115,0.0008827817891735,0.0009531717163304,0.0008121788727362,0.0008488618166674,0.0010615753811654,0.0009886664561126,0.0009075811513582,0.0008664984026467,0.0007950153269185,0.0009279615279465,0.0008525650778673,0.0008255543622877,0.0008051094633059,0.0008963998781217,0.0008198844609961,0.0008110590275141,0.0009423103211211,0.0010345092172346
SRR9224483,0.0008038416777071,0.0008262839014929,0.0008244138130461,0.0008144324659572,0.0007592154692082,0.0007701386812214,0.0007700687695022,0.0008549227135926,0.0007857649915769,0.0007819706040523,0.0007703478681046,0.0007903253819545,0.0007703632613014,0.0007975949468834,0.0007682023856783,0.0007673145869627,0.0007714752866279,0.0007788691902273,0.0007068337703985,0.0007606326733738,0.0007952534910345,0.0008351808894774,0.0008263329570862,0.0009050859679258,0.0008130354066172,0.0008118839758746,0.0007199038640928,0.0007716033727195,0.0008193459042371,0.000821080601071,0.0009652956522449,0.000870170705826,0.0008459820461518,0.0009164627829714,0.0007787317856117,0.0008154569950839,0.0010296454836975,0.0009417237211234,0.0008722368359139,0.0008334619991508,0.0007533568945152,0.0008816371631086,0.000824104465957,0.000793783627709,0.000778665804955,0.0008639626350363,0.0007842572984675,0.0007761987054412,0.0009141006650968,0.0009989817650161
SRR9224489,0.000814101173321,0.0008385369676846,0.0008396111775974,0.0008271596341474,0.0007720353974639,0.0007830876610142,0.0007844094760547,0.0008682560530558,0.0007997012211858,0.0007951502325034,0.0007865181189417,0.0008033310878256,0.0007851649078373,0.0008110744824609,0.0007803207058728,0.0007752608724268,0.0007827490070935,0.0007879925873583,0.0007552970034119,0.0007240067462799,0.0008071874935015,0.0008462190195446,0.0008376720988442,0.0009071092573618,0.0008280248049081,0.0008251830705723,0.0007307023932349,0.0007860661140557,0.0008313722238459,0.0008335022856575,0.0009785075658389,0.0008880346910317,0.0008662901281558,0.0009274808974031,0.0007918014404793,0.0008270935411966,0.0010451645724718,0.0009631711355946,0.0008877001970751,0.0008492107264217,0.0007673111413125,0.0008878313151788,0.0008339573144277,0.0008079774974232,0.0007914744490266,0.0008763384498653,0.0007961114775507,0.0007850338075246,0.0009241148811461,0.0010156816167351
