,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224296,SRR9224295,SRR9224300,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224168,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224471
SRR9224164,0.0005080812393169121,0.0005017763042102883,0.0005031291258436941,0.0004906799072374509,0.000504908049879712,0.0005596983098812762,0.000561442997765849,0.0005096018988916361,0.0005752848789943966,0.0005240041234823026,0.00046655583020704326,0.000533577687554016,0.0004969979211341488,0.0005142784325075318,0.0005740933680887227,0.0005149647338328633,0.0005541482465913079,0.0005611026037728906,0.0005868958615467325,0.0005188247111653054,0.000570914653215258,0.0005467073135540737,0.0005249184386003486,0.0005058139511859786,0.0005797741590022018,0.000533099456010687,0.0005212411203950471,0.0005600880169228706,0.0005443743028013206,0.0005261490966947598,0.000505850076226064,0.0005281425007226362,0.0005192422560559421,0.000546174093226996,0.0005749204751781127,0.0005797955855616841,0.000570357778888938
SRR9224165,0.0005043878284961353,0.0004991692697216026,0.0004975187841088676,0.0004939944676885543,0.0005053962446110283,0.0005642993731748163,0.000566067411626005,0.0005133727967427039,0.000564027876497437,0.0005217265625035994,0.0005305026294512729,0.00046915792624857827,0.0004964004686304152,0.0005163097743899951,0.0005692308311964784,0.0005153324815932465,0.0005497149281109543,0.0005751991580807191,0.0005831059384572326,0.0005205988366306882,0.0005645343284233857,0.0005384014294901293,0.0005256426552657226,0.0005051481893545775,0.0005789656693454348,0.0005351724860659007,0.0005188645518100675,0.0005591259539279591,0.0005429852445588089,0.000530325174586048,0.0005077845339671379,0.0005238883465746435,0.0005185888322069935,0.0005424440413295917,0.0005818099011035702,0.0005677585258182293,0.0005827685278816734
SRR9224166,0.0005134153033226665,0.0005032108691642238,0.0005064569105446671,0.0005027695068037845,0.0005083312448371198,0.0005604532862067635,0.0005616147943131204,0.0005073124524835091,0.000562455445363333,0.0005204269936232915,0.000528860857175783,0.0005306958050125903,0.0004859857790991701,0.0005150381188165782,0.0005732175617143901,0.0005168837614020882,0.0005506904838010927,0.0005641538918269207,0.0005832540112200592,0.0005232108679981806,0.0005585740904143346,0.0005414769427154296,0.0005388300434170497,0.0005087061959867389,0.000573254407089191,0.0005339628970140032,0.0005204570168033693,0.0005580249484000226,0.0005422501662045446,0.0005315967952570972,0.0005085171181402108,0.000522666154375124,0.0005244187422040066,0.0005405977587601862,0.0005754439476249899,0.0005709047438202739,0.0005740262192406913
SRR9224159,0.0004987449273494056,0.0004918575723746009,0.0004984768068358031,0.0004838432466333887,0.0005031870522340493,0.0005526128178636473,0.0005538570061879759,0.000503288646117969,0.0005579772358912966,0.0005113228060712867,0.000518572561680241,0.0005237173602545049,0.000487811065379853,0.00045815138149189543,0.00057523711686161,0.0005084577439471696,0.0005445326484527719,0.0005538162185108657,0.0005758790474441596,0.000512269694064935,0.0005506785271334959,0.0005348862606651845,0.0005192574583752763,0.0004996843173017003,0.0005729835713493687,0.0005285007193855418,0.0005100302889544964,0.0005481541487114666,0.0005347347607081368,0.0005239370944153916,0.0005050878051043861,0.0005127762184103461,0.0005144304897930687,0.0005393163083932842,0.0005634190621606182,0.0005630582064168695,0.0005697618216457897
SRR9224160,0.0005331514731499523,0.0005249836310782654,0.0005298269065400687,0.0005230848850512739,0.0005409949691934504,0.0006158041033206562,0.000603131759913969,0.0005442073916354991,0.000603282028457228,0.000550524780458919,0.0005575010014156007,0.0005560456529190542,0.0005256919029624001,0.0005545449136393783,0.0004943440681075378,0.0005432767570785163,0.0005916037149136994,0.0005821450514578822,0.0006120404018581877,0.0005460352953275688,0.0006062488559384705,0.0005760105693768719,0.0005496422437220923,0.0005370388152522244,0.0006239734988584182,0.0005586867742494475,0.0005499184177285728,0.0006047362890286616,0.0005733578733875353,0.0005559503992738238,0.0005432087701688461,0.0005543645361057289,0.0005442388328323919,0.0005875452203550543,0.0006147946133780698,0.000609121420545635,0.000601225393973863
SRR9224161,0.0005025411605826404,0.0004933414442493632,0.0004996494816513037,0.0004866924507168511,0.0004993538628867038,0.0005539102192101601,0.0005490824208965018,0.0005002291801389359,0.0005595923402626758,0.0005174333784972889,0.0005211387521999784,0.0005244419564844738,0.000490941854635063,0.000509939850669411,0.0005653054636482549,0.0004626920658675627,0.0005484991732944653,0.0005503603023575626,0.0005773665232306295,0.0005142695499418976,0.0005534769522971378,0.0005336591927230814,0.0005237138786497643,0.0005033280206461337,0.0005728341235564563,0.0005343668696635853,0.0005158627869490289,0.0005450222196772413,0.0005425433127677128,0.0005261548733449028,0.0005043019817715352,0.0005196988507688523,0.0005155518438150582,0.0005358468731895747,0.0005624729436470981,0.0005695235045398322,0.0005641755106899004
SRR9224168,0.0005230031169620122,0.0005168317846516913,0.000519985278882004,0.0005021757869386365,0.0005238356920454,0.000591978483851878,0.0005955843593652195,0.0005282577701507074,0.0005988732729132769,0.0005406918273123813,0.0005441955247548028,0.0005433192150817495,0.0005087582737608942,0.0005302839218904637,0.0005976605669738266,0.0005325342454240208,0.0004937168420939852,0.0005821132959075668,0.0006083823940145397,0.0005332057161855806,0.0005871673379445741,0.000556913923304538,0.0005369159308865221,0.0005230402546718961,0.0005863928459832307,0.000555016105453924,0.0005389021145252643,0.000589083032064889,0.0005621252515194375,0.0005468296977772501,0.0005252430469311219,0.0005379211195123839,0.0005339728716080578,0.0005566997637833908,0.0006104277762762148,0.0005850199298538739,0.0005895966262525596
SRR9224114,0.0005319842722267613,0.0005195959872981603,0.0005274398782256394,0.000518701960302194,0.0005318492702448181,0.0005844281572987351,0.0005975812883436022,0.0005343622284083052,0.0005941783819772355,0.0005427319083071812,0.000548460223783118,0.0005657367353189022,0.0005195148767613497,0.0005367640590433685,0.0005859103756898385,0.0005317391939103225,0.0005790007828300835,0.0004971529994685107,0.000613566574981645,0.0005397644954346095,0.000581601237436432,0.0005619142787614651,0.0005452281069800491,0.0005308790905008268,0.0006092828362010726,0.0005589242980658971,0.0005458008630592517,0.0005925351456643369,0.0005710728983207402,0.0005600343828083178,0.0005332701163958252,0.0005490267876786582,0.0005366938772061732,0.0005766423776519238,0.0005992726041126496,0.000603517907386129,0.0006025635088884156
SRR9224487,0.0005432504473521477,0.0005479524243371431,0.0005477967297136579,0.000536481036712075,0.0005544615755712532,0.0006286143107751069,0.0006096553490712543,0.0005613591881347914,0.0006160408600666184,0.0005672349631045022,0.0005717607363834692,0.0005705014791464761,0.0005349360364432336,0.0005560597653042334,0.0006135053923276174,0.0005558807297017342,0.0006027673531193687,0.0006103986389577342,0.0005326514500651157,0.0005553031328771976,0.0006076717646636555,0.0005803158998125647,0.0005592098016706203,0.0005428710230207429,0.0006063809955180112,0.0005788248444262413,0.0005639882233678805,0.0006068214952962571,0.0005985115230952111,0.0005692827071975643,0.0005490298655029173,0.0005645369693709213,0.000557214365220075,0.0005954413402024023,0.0006368349588286805,0.0006267158274045017,0.0006223763088248798
SRR9224116,0.0005198014070081688,0.0005147148622702629,0.000520273713652993,0.0005080992046066554,0.0005176238705992265,0.0005754205755597893,0.0005655221676127843,0.0005204485725513729,0.0005822893725163205,0.0005349846737761387,0.0005402800807631568,0.0005452364480047566,0.0005115558709915077,0.0005292039288067484,0.0005846585576319465,0.0005297549553081515,0.0005655000425607973,0.0005745488382896232,0.000594210542867998,0.000500366505092553,0.0005709996672380075,0.0005501429589711356,0.0005438755594676178,0.0005189250834969135,0.0005948773570695146,0.0005489882443872998,0.0005317086071422716,0.0005732102308055062,0.0005540590572690533,0.00054327516313828,0.0005235829640426705,0.000537376947914527,0.0005358513390514694,0.0005546474077284939,0.0005911002388352802,0.0005885004548029549,0.0005909620654721081
