,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224072,SRR9224073,SRR9224074,SRR9224019c,SRR9224023,SRR9224403c,SRR9224401,SRR9224292,SRR9224298,SRR9224297,SRR9224300,SRR9224299,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224118,SRR9224119,SRR9224249,SRR9224256,SRR9224258,SRR9224257
SRR9224401,0.0031250515257118757,0.0029894515254186554,0.0031605413301549518,0.0034808405435962013,0.004926328477519067,0.003944951446507348,0.003820808160376139,0.004624561356837376,0.004282118587069815,0.003317799293868413,0.004167236122758605,0.004438496136805569,0.003364640173764766,0.003901759331767751,0.003910364039462553,0.0035028986921093602,0.0030848188812273186,0.004102313437078988,0.003808905586482564,0.003413531776116203,0.0037582358961185734,0.0038617538872814695,0.004923787550412714,0.003555977876316141,0.004510729426068898,0.003513857325341895,0.00332137835452047,0.003539561658277257,0.0035126249926483877,0.0035837804480982178,0.00635603254209069,0.003516608491714379,0.0034279514505583847,0.003886332328410994,0.0035302092680716923,0.003270750337635696,0.003972554582893166
SRR9224292,0.002741981750137846,0.0025757518949582857,0.0028121603275931516,0.0032377225250149228,0.0046330331153690675,0.003701587873893853,0.0034801968350283664,0.004497733602934819,0.004100887165035576,0.0029383839787856386,0.004121656267303999,0.00334275291953723,0.002983525136019449,0.0038482121245895545,0.0037341978411050336,0.0032169697617491525,0.0027171936766739262,0.003827296774365924,0.0034603041174981353,0.0030762189562089284,0.0034677427685226906,0.003638047127834438,0.00477191533764985,0.003155531981179768,0.0043390670519338525,0.0031970820580733282,0.0029140596490765582,0.003187692645057897,0.0031306432876484673,0.0032501872412149923,0.006112982605456531,0.0031622379339802196,0.0030804074105159345,0.0036491737425980134,0.0031382133057467508,0.0028896251979322993,0.0038698421031662716
SRR9224298,0.001414128517878213,0.0012733687464008216,0.0014568679626616701,0.0018179878580386476,0.0036679679098068955,0.002436258579999974,0.002213092951646972,0.003162915966954517,0.002776610596763676,0.0016548938361804326,0.003172614110959152,0.0030286292637888017,0.001310479202846743,0.0023395576169186944,0.0022761233620120997,0.0018415226820696392,0.0013665872166623118,0.0024580718328157517,0.0021695962050277966,0.0018104477582645585,0.002131625492654341,0.0022821930646916445,0.0035248766688663956,0.001841812484956162,0.0031308783221367245,0.0018970002978489994,0.0016244184716001171,0.0018267279096443267,0.0017358030671677164,0.0018573670901935475,0.005343762780696309,0.001996778573000747,0.001801020681885395,0.002244676446521343,0.0018099091827591554,0.0016141537283264871,0.0024157198859484095
SRR9224297,0.002008248095809639,0.001886991985091385,0.0020730049724277206,0.002597829447090653,0.004190104124284386,0.00303911216466446,0.0028602285956370595,0.003954750521154467,0.003523488105831781,0.0022198210227144786,0.003623487569407203,0.0038340836008787906,0.002301581810205632,0.0020464065151470693,0.003097349963070357,0.002528944127842474,0.002030871901526213,0.0034062424869931184,0.0028321279633032616,0.0024061608099012555,0.0028357154275466295,0.0028937918276187766,0.004282106918525959,0.002484860696650573,0.003740315574516054,0.0025208203328273052,0.0022678476391172525,0.002596710724663019,0.0024625546782039926,0.0026481513347688243,0.0058637774459198815,0.002539925988514218,0.0024531509252124837,0.003157063713089883,0.00254739998100101,0.0023276281080463544,0.0034635262051264525
SRR9224300,0.001974843909421469,0.0018612864911907371,0.0020250859448894807,0.0024640940255916156,0.0040978410567861605,0.0030432800435557603,0.0027562533531924433,0.003926549314340855,0.003537807326680788,0.002164128732402877,0.0036558484089601636,0.0037554517600444865,0.0022646804814300935,0.003134910426942063,0.0019073100505493713,0.0025134075599771337,0.001982960733145833,0.0032438586502313662,0.002787780078812852,0.0023895868112300007,0.0027287850331052968,0.0028980622138560144,0.004168194659729581,0.0023996195078195524,0.0037135992312071434,0.002497858060237718,0.002223271618020965,0.0025826926762473556,0.002369498940839333,0.002546659527393532,0.005859644249423794,0.0025149674564135245,0.002438337574943423,0.003088557915816634,0.002474859049489351,0.0023519829413453045,0.0033759450136968193
SRR9224299,0.0015924019898427009,0.0014832631684021402,0.0016351114190427023,0.0020068717584064578,0.003789653747675972,0.002629936922051621,0.0024090938407337857,0.003320671258006991,0.002910972399244364,0.0018137637322136922,0.0032833193529378016,0.0032469825220444878,0.0018356320475958264,0.002564027506278971,0.0025187343846419332,0.001573353542028048,0.0016219320147494135,0.002731766988332709,0.0023569474959500105,0.0020268807005421065,0.0023750552270869287,0.0024472772972136555,0.0037046510263135622,0.0020763858077964595,0.0032773948758515244,0.002107613256350894,0.0018814757545105624,0.002152133683331272,0.0019839796980201233,0.0021208397674251592,0.005569056652978836,0.0021533323337691837,0.0020603268211579,0.002515775808631219,0.0020767376360769645,0.0018832713707859993,0.0027569564187771884
SRR9224165,0.001272848688884694,0.001140523229892319,0.0013048152346013735,0.0016379688848007178,0.003562084748784105,0.002253215153714945,0.0020598231021180906,0.0030206363978928443,0.0026361723524627686,0.0015308360603367274,0.003039276292405389,0.0028758174007895054,0.0014218237087912683,0.002140666661995449,0.002068199919504121,0.0016913015226767115,0.001143113661410762,0.0023366113305210287,0.0020138608391500556,0.0016537167352296187,0.001960353919182311,0.0020701921290258397,0.0033383754651037842,0.0017033852130354302,0.0029293400748194973,0.0017104601685114687,0.0014820176158303786,0.0016341717712778565,0.0016168905581825494,0.0017089555074273237,0.005272873697100422,0.0018584430363716988,0.0016444318909553007,0.0020873230275352673,0.0016750081215230696,0.0014631832577468998,0.0021802587102678593
SRR9224166,0.002234617700829517,0.0021559954176828505,0.0022639193013220685,0.002700049944949867,0.004163033092059828,0.003360867033168521,0.002939007335220616,0.0042439619962325375,0.0037053635225164174,0.002290663791510716,0.003866537092723756,0.00387623720986859,0.0024721313614207044,0.0034883487766061766,0.0032830431036860908,0.0027539850843778108,0.0022674977912178445,0.0019878654741419073,0.0028739843529961276,0.00269547061219417,0.0028946064037824798,0.0032806794547826355,0.004446698925836898,0.0024716330146200513,0.003967009041094996,0.002755373760758297,0.0024150982674855733,0.0028581292021817944,0.002434211269077389,0.0025707126402377154,0.005773055839126426,0.002729155078862773,0.0027116900302312243,0.003272037555476922,0.0025868416966830596,0.002747717114669569,0.0035917558073810573
SRR9224159,0.0019097251227390706,0.001791053556222947,0.001947459464354299,0.0023321884285219807,0.004008356824768604,0.00298596266720141,0.0026752538482561813,0.0036519066163709676,0.0032062983661140013,0.002085621487463836,0.003578817665919096,0.0035067808017528305,0.0021707208460061533,0.0028888546206625636,0.0028148714794247825,0.0023683238166884576,0.0019339621945891183,0.0028752661147734325,0.0020702331312048763,0.0023425771455526873,0.0025989477785414313,0.002836665802478233,0.00398925914225594,0.0022602137941038513,0.0035947164588657145,0.0024083416057190804,0.0021363738163889755,0.0024006015200944697,0.0022219865550253573,0.0023156943925297306,0.005596807643176493,0.00244459963026607,0.0023638298086889912,0.002765841083136578,0.0023223947281114043,0.002247146521421265,0.0030509819741692573
SRR9224160,0.0017284380678627696,0.0015850372671722286,0.0017739663667127319,0.002098230630328373,0.003958793731041016,0.0026778036562145626,0.0025246704775020085,0.003362135186472818,0.003031052098291556,0.0019719314726442208,0.003409206567884887,0.003295428214058615,0.0019072989480109187,0.0025654483155504856,0.0025227221652308323,0.002141570122862269,0.001671826951519299,0.0028120590325349418,0.0024697070935783146,0.001974754138573785,0.0023974644791556654,0.0024698341410426296,0.0037238251950020783,0.0021844644509117334,0.0032969951937532878,0.0021491028063188025,0.001944908107187898,0.002131620103932691,0.0021272469464092333,0.0022119097402357323,0.0056101260698320984,0.0022833486353202115,0.0021086390918973984,0.002612073511649832,0.0021826151372730043,0.001937765279160164,0.002689526709354229
