,SRR9224065,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224021,SRR9224024,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224291,SRR9224298,SRR9224297,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224470
SRR9224159,0.0005811558846200349,0.0005929847177652753,0.0005908898062645618,0.0005967834320624716,0.0005573769729249701,0.0005245033055564014,0.0006423207289532817,0.0007630038371649255,0.0006644005204538162,0.0006433839580011947,0.0007194184454616871,0.000642760298100692,0.0007286375423973564,0.0006224585654905032,0.0006617887692818658,0.0007741596325553653,0.0006529854875477019,0.0005362723140324895,0.0005525967239077244,0.0005277511991118406,0.0006063942749610877,0.0007575530176430021,0.000589515855957971,0.0007218708871079909,0.0005526122156241482,0.0005037256429109702,0.0005482578915019719,0.0005702139956195136,0.0007049470745157029,0.0007699081856536616,0.000556934914839756,0.0005824599119947613,0.0005901603170624356,0.0005750268679975612,0.0006482084525544278,0.000560413559592415,0.0005558778876727116,0.0005673017506644863,0.0005542378960659013,0.0007352683172784432,0.0005820568847005974,0.0005200200721845816,0.0006479504872677552,0.0006487897197575812,0.0006195787736200198,0.0008816054066091015,0.0005880858871063864,0.0005827032931119691,0.0007245133237630001,0.0005965941701763156,0.0005447304668274392,0.0006870710333158842,0.0006129884367278912,0.0006783132018307284,0.0006172884160574783,0.0005992534076347423,0.0006441858211002956,0.0006053738495466493,0.0005610663553253006,0.0013956741012264133,0.0007090660716785669,0.0007875544498753492,0.0008017887607997125
SRR9224160,0.0005698239833426469,0.0005771353874167147,0.0005698908396348313,0.0005755529162544243,0.0005460925386072921,0.0005037611980624951,0.0006450662987348228,0.0007616942128359725,0.0006624581544066743,0.0006416947528632567,0.0007205299000152351,0.0006197053981715662,0.0007134449627590623,0.0006272739275232354,0.0006579430016997235,0.0007693097918310443,0.0006559202036088454,0.0005215790077020122,0.0005429730448947344,0.000514236257986462,0.0005920117079427154,0.0007567230089723513,0.000586442353632967,0.0007273069084324541,0.0005367045705442606,0.0004896971708500713,0.000529354083963425,0.0005599137023563778,0.0007060084745022633,0.0007655668198164426,0.0005469150900915125,0.0005726231041755833,0.0005769671034709888,0.0005595913691867466,0.0006328548143535137,0.0005499951228534824,0.0005554011687208132,0.0005176795195839076,0.0005405809735654219,0.0007312059872436577,0.0005733215189869387,0.000501375076518668,0.0006473182236456371,0.0006423728801357045,0.0006046295227308891,0.0008636440656323405,0.0005813034955721538,0.0005783093387203094,0.0007399619284373629,0.0005817915567213493,0.0005205614155349202,0.0006704128665082808,0.0005980649689635192,0.0006773353222268238,0.0006240053521560728,0.0005919073032119213,0.0006374222607184093,0.0006074688121007685,0.0005485584070887063,0.0014181388157020493,0.0007051951395162621,0.0007766852852174715,0.000811913958711456
SRR9224161,0.0005445108455546928,0.0005413724363366419,0.0005386530373494884,0.0005507479878274122,0.0005215845568180688,0.00047958125637174206,0.0006024960537599983,0.0007386136063994398,0.0006383310921922397,0.0006132253838523144,0.0006882169849153853,0.0006022797003548988,0.0006930495618769489,0.0005884332738678899,0.0006433480996547606,0.0007500366615888844,0.0006184876582202818,0.000501388055682757,0.0005022831365914539,0.0004902801403880738,0.0005710737153871296,0.0007326287387271506,0.0005523089673390284,0.0006897020472790905,0.0005150470895873247,0.0004668358555045432,0.0005064002015504369,0.0005399599850919023,0.0006801835218432904,0.0007528832254180736,0.0005281935774725618,0.0005436543695378491,0.0005539350937917094,0.0005442038786317841,0.0006128754643661022,0.0005112611715926275,0.0005313629549562885,0.0005298374910514921,0.0004757487500541133,0.0007083941242677678,0.0005491074334630635,0.0004740537545489472,0.0006229352594565394,0.0006212780194010863,0.0005802397917338585,0.000846491608362908,0.0005472595589949856,0.000545558364575844,0.0007018867010560201,0.0005576488166871654,0.0004896185143499763,0.000645733840335626,0.0005643329335897257,0.0006482551201382332,0.0005842428679749708,0.0005546937608950067,0.0006107788947344506,0.0005752051299914765,0.0005204817457003113,0.0013777173715014248,0.0006812672384495042,0.0007686980814227098,0.0007725428292500233
SRR9224162,0.0007247578039050394,0.0007186840686787198,0.000729935262907156,0.0007353709637681527,0.0007060494600221614,0.0006495002908845808,0.000772439564538358,0.0008882880566836235,0.000824656060622406,0.0007801073551030425,0.0008701516430835563,0.0007530176496799594,0.0008588133536604505,0.0007703866461302538,0.0008054006980783121,0.0009045047087493221,0.0007677693023913467,0.0006589362873597634,0.0006956896959229266,0.0006572193485373303,0.0007365787234213167,0.0009080262521341264,0.0007377778728176304,0.0008732180791636547,0.0006888158233232823,0.0006320431428455988,0.0006746335108311967,0.0007075208220918917,0.0008760485501446166,0.0009265672683665601,0.0006926912552558981,0.0007249670714379854,0.0007216962768312055,0.0007099365820621098,0.000780207096969518,0.0006975397194644322,0.0007081280297067656,0.0007186912070348926,0.0007105810120144883,0.0007443103701336936,0.0006996237455098186,0.0006609347785946887,0.0007823313845845872,0.0007958755460103497,0.0007691544533330177,0.0010386117958393886,0.0007373630641527673,0.0007314910232729158,0.0008843159298754582,0.0007384121446855888,0.0006807329802759899,0.0008388614285479551,0.0007614950770646861,0.000825348834494543,0.0007698360106750798,0.0007488225853837927,0.000788444137135375,0.0007482575275706929,0.0007020993189496961,0.00153818139245927,0.0008607453666873745,0.0009368166846859603,0.0009391628989573066
SRR9224168,0.0005827724764907196,0.0005751526263979158,0.0005830334307721009,0.0005914996772600187,0.0005632370487389307,0.0005129088195177059,0.000616853738876221,0.0007510338941491267,0.000668970967799286,0.0006406406393824502,0.000705391140756076,0.0006344914158688716,0.0007134329363783211,0.0006069754768939221,0.0006705709024408745,0.000752227965236726,0.0006292130831650416,0.0005346592628217254,0.0005390984339483378,0.0005243528849418333,0.0006027428441708808,0.0007619791816483821,0.000579346148362096,0.000724928852439365,0.0005475173270144891,0.0004984001696791562,0.0005451906609375447,0.000571106979322829,0.0007155834505762288,0.0007701462017839446,0.0005614484649289084,0.000579330533602687,0.0005812522968331999,0.0005771641227156135,0.0006414887900807343,0.0005496313122116792,0.0005726812263183929,0.0005757624989848302,0.0005632014767612657,0.0007155846601330796,0.0005428814599993675,0.0005181985019105834,0.0006388324919264443,0.0006486403193147559,0.0006185416224491172,0.0008794724995122723,0.000582765944854136,0.000578863807549307,0.0007261934620844231,0.0005991583849081083,0.0005329840164559551,0.000683073853496895,0.0006158655467101039,0.0006866631958880086,0.0006158405787420047,0.0005895220470074568,0.0006464691054463136,0.0006008174483821862,0.0005562437624675572,0.0013799416540252241,0.0007091016216307432,0.0007869367738667633,0.0008003755044569902
SRR9224169,0.0005299638035240884,0.0005614842276053652,0.0005623299288240259,0.0005510108571354312,0.0005202589640367135,0.0004891283153888808,0.0006255788647550643,0.0007192752733305819,0.0006324884822173193,0.000606669803265187,0.0006860730191211578,0.000593957326141627,0.0006764672973107167,0.00059756531526801,0.0006290806551651188,0.0007361980184983806,0.0006168709075917117,0.00048559009236812204,0.0005313430471291248,0.000483177903430422,0.0005569513395736146,0.0007182566191532329,0.0005600322059308053,0.0006971033149621213,0.0005050419070194179,0.0004659317365471564,0.0005060668621096328,0.0005371543566290126,0.0006692640373818243,0.0007224326141663875,0.0005085593301808052,0.000539404898851396,0.0005427101026680081,0.0005337063276524818,0.0005961985176598991,0.0005303604051933107,0.0005302237578383924,0.0005222471264320083,0.0005033198155204785,0.0006984636723306292,0.0005366335186499254,0.00048614335094488385,0.0006106990765682699,0.0006023734094467355,0.000571939705179033,0.0008398079872821337,0.0005606688867367361,0.0005571348050142774,0.0007062580992286689,0.000551043040656914,0.0005120249803670118,0.000638894129368313,0.0005573587406359454,0.000639557320073273,0.0005889772125446302,0.0005661441029706272,0.0006062694304876636,0.0005766843243008994,0.0005249471075965467,0.0014028602783708343,0.000671046461216077,0.000736189476290796,0.0007608991410683537
SRR9224113,0.0006511722437526486,0.0006395475394431799,0.0006461300474173528,0.0006572680297931179,0.0006262249725071874,0.0005745637043089402,0.0006914117710831094,0.0008171973865941629,0.0007363228242383131,0.0007064344416417443,0.0007855358161084994,0.0006806444793267072,0.0007856829116351807,0.0006855318857450671,0.0007303920438060486,0.0008298016579324681,0.0006935620585057267,0.0005993597819280435,0.0006099447106391818,0.0005872986719912466,0.0006665508749581817,0.0008301012089933325,0.0006526534912081225,0.0007933076577744471,0.0006138062478730808,0.0005567810062480976,0.0006025896418747035,0.0006346052733341018,0.0007855338676630645,0.0008435385312723829,0.0006235450276307812,0.0006425535692586903,0.0006464602153071359,0.0006337249242470487,0.0007038297788507931,0.0006227430591186937,0.000630374471594139,0.0006418108042916835,0.0006313599110315372,0.000791201644400748,0.0006314317471066862,0.0005835161960504136,0.0006526241796484072,0.0007153714163600535,0.0006940775214406718,0.0009636609598333517,0.0006499459900109807,0.0006502869768537002,0.0008018215312045948,0.0006563162774545732,0.0005997415131695235,0.0007566815204542987,0.0006811344801022396,0.0007520479770912774,0.0006830948002506616,0.000665455753996892,0.0007160405308040816,0.0006714418356031244,0.0006192837648702764,0.0014569450178038785,0.0007744727873792822,0.0008589166238480206,0.0008628759991522401
SRR9224114,0.0006421317712792158,0.0006428146232128265,0.0006437959952623192,0.0006542243220983589,0.000624860094596887,0.0005753929811248661,0.0007038523853315182,0.0008257376758169655,0.000734035032849804,0.0007026224635109371,0.0007830841000916947,0.0006902107281500684,0.0007801055063750708,0.0006889342050639941,0.0007215630628535318,0.0008441637739485623,0.0007142772036653193,0.0005914840154835592,0.0006119583384945414,0.0005810374524953415,0.0006681603379974602,0.0008302513396239685,0.0006531348703134969,0.0007931137823790674,0.0006092257281867709,0.0005572989529001818,0.0005996845991950557,0.0006341712847981995,0.0007821802943564932,0.0008379767460003472,0.0006150940462022099,0.0006398476270280868,0.0006507141031767086,0.000629678942249725,0.0007055989793021105,0.0006217375723906362,0.000626750992294885,0.0006330613538867255,0.0006257469119246498,0.0007994325958197337,0.0006368137419164507,0.0005711099661592019,0.0007109542427536039,0.0006562015333319586,0.0006817753571473923,0.0009479943329894673,0.0006518987720343875,0.0006504893635562129,0.0008108028424566629,0.0006492009313612011,0.0005942991971706194,0.0007480324124444969,0.0006743403937570627,0.0007462967662580523,0.0006830835678614149,0.0006619983242679976,0.0007094669405990645,0.000667440893074555,0.0006211876489755397,0.001456106096007165,0.0007781347401579753,0.0008597273957831541,0.0008732840003243144
SRR9224487,0.000632346742402855,0.0006205504857279494,0.000624452424036791,0.0006361027281970342,0.0006090933978374572,0.0005574158718861233,0.0006862827463957748,0.0008158461864868139,0.0007101081505941609,0.0006951866281074754,0.000772306292378817,0.0006831343805768267,0.0007742591159334561,0.0006696923020685189,0.0007146958890242952,0.0008290407185822306,0.0006992726286446448,0.0005742163187171347,0.000590363794835595,0.0005722929426269597,0.0006523200848968272,0.0008133896601559953,0.0006326717253728617,0.0007774739253974945,0.0005963687525816472,0.0005430403581882981,0.0005850662037490442,0.0006124918489240947,0.0007565174232850734,0.0008246479168590769,0.0006017227852031242,0.0006179671072983576,0.0006270071152255902,0.0006202485137361923,0.0006852819265808095,0.0005999014087238875,0.000607225315937413,0.000606182605629473,0.0005930932100927578,0.0007838925299822105,0.0006157836944018153,0.0005501005498746858,0.0006999398096583032,0.0006929404607744589,0.0006211717974063091,0.0009381580785035896,0.0006298446473057758,0.0006308317801418446,0.0007847412034200335,0.0006336040868888299,0.0005763518465469658,0.0007325619496558295,0.0006562453894856072,0.0007289097332575828,0.0006658263705435838,0.0006416856063361135,0.0006941680696852378,0.0006598571490234242,0.0006003283277861362,0.0014723000507448536,0.0007527198231435566,0.0008452174389095106,0.0008577949311225372
SRR9224116,0.0008324401152807312,0.000857640480997657,0.0008539998306149911,0.0008597429782114962,0.0008236961854928178,0.0007727585624298396,0.0009123224409023179,0.0010480051671053028,0.000934727809823599,0.0009072363972940672,0.00098943283319338,0.0008845245551488626,0.0010094602656364699,0.0009020615893515786,0.0009319381020033375,0.0010610058464659876,0.000926885762912463,0.0007807295312734015,0.0008117273300801348,0.0007750129092043915,0.0008663719585689297,0.0010657597171073313,0.0008520600200391303,0.0009864157384923261,0.0008074013485075309,0.0007467439384859918,0.0007823243047913153,0.0008176978852200263,0.0009850360747675764,0.0010797263670811197,0.0008197982403385624,0.0008474593128547207,0.0008453904844401045,0.0008196590560447749,0.0009161805478896336,0.0008274824139935892,0.0008260188601173561,0.0008249466255846116,0.0008252267362894761,0.0010101576023348545,0.0008367767929308546,0.0007741022812102053,0.0009268486179239478,0.0009172589066908,0.000895398615656089,0.0009318043093389004,0.0008599690246118559,0.0008422885761161938,0.001008203597213082,0.0008459581058145737,0.0007982948023844607,0.0009752855592351007,0.0008903118014815461,0.0009558242092182373,0.0008966049858890649,0.000871442163970445,0.0009089454010808555,0.0008755610169496121,0.0008208509311277314,0.001676891077237363,0.0009791105634424934,0.00111183205711864,0.0010961315911305765
