,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224249,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224470,SRR9224471
SRR9224297,0.014862235528648052,0.014853989958401629,0.013408883275437725,0.012024373463324542,0.010889560196434039,0.010023480299328464,0.010431940868155996,0.009427880626729055,0.010078674818124196,0.01004539499022406,0.008396987103682498,0.00865025766096291,0.00769052597480514,0.00972405380478356,0.010257924167157388,0.009656219768656013,0.009789216159958878,0.008206302516057968,0.005782162715390929,0.006362973445482842,0.005993644481613694,0.007313512493837279,0.00307463007415342,0.0015479725708773151,0.001762693514102727,0.001532324602341835,0.0012760056269674434,0.0015738815362108458,0.0017885242337731552,0.001755648644228108,0.001357901214742373,0.001921972451702637,0.0022690148263160713,0.001895675552313866,0.0017476584273839568,0.0013411494822950893,0.0016041128497293364,0.0018258919884305666,0.0013324586389555611,0.0013816467202613786,0.002253150405336946,0.0018341220334663656,0.0028056519862409194,0.0028676094305557192,0.0022998094429447047,0.0025780065732211354,0.003395572194771495,0.004268301469220938,0.004545639924231118,0.00592081829484947,0.005221933001341625,0.0070691717952314215,0.0047887459904646,0.002081507974663204,0.003218360932544402,0.00281929922808165,0.0025641042037377907,0.0019531847386850825
SRR9224296,0.014521380117794358,0.014527395487715172,0.012905934183865781,0.011644342905502163,0.010495840102305858,0.009571428381675995,0.010231286493479683,0.009088890511732933,0.009650868356449125,0.009719277294374287,0.008151126812374777,0.008395660924658434,0.007555145520484848,0.009642940510889882,0.009883055615406663,0.009280019158430786,0.009397583631321236,0.008096767985806167,0.005652725000667729,0.006129524098873468,0.005838801363595946,0.006990468578444176,0.0030787247736751254,0.001557705657236121,0.001743665985506821,0.0015571046974709236,0.0015450665054628995,0.0011779246659332544,0.0018298408088288649,0.001840433095463477,0.0013867826964008396,0.001937220395667952,0.002237380375594112,0.001856132771321127,0.001736893431370511,0.00136614733308124,0.0016473946157732477,0.0019407700403634095,0.001321602956269698,0.0014151021717250297,0.0022570233753610143,0.0017910228641249601,0.0027324856733963697,0.0027879102731250506,0.0022347038323469698,0.002491871379455653,0.003312218033477154,0.004109214098605379,0.004346196989530045,0.0057287195257102255,0.005036582264877194,0.0068974150920453415,0.00463668148360606,0.0020378609653222226,0.0031439244924558627,0.0028629181999494887,0.0025603630205620967,0.0019154891627307484
SRR9224295,0.014583973313822765,0.014598270834621932,0.012989521460059127,0.011806250672143135,0.01069795317865965,0.009784687010386633,0.010420086952264148,0.009294016118412756,0.009782042108762976,0.009911118762133362,0.008391310099198808,0.008584643058339716,0.007789451699489276,0.009693877120913014,0.010054431778282805,0.009456020372901115,0.009536503970164851,0.008208559276271864,0.005748805890788715,0.006311234120270774,0.006053585604326423,0.007219080767827418,0.003115881415437259,0.001794788758098179,0.001982164075647881,0.0018057917020023674,0.0017799802886866287,0.0018574648350625988,0.0017246083457243494,0.0020203695542996363,0.0016504065955454872,0.0022191118056513032,0.002460343015174051,0.0021085130718396833,0.0019995696306050023,0.0016302764348790745,0.0018867408341865701,0.0021230801177454803,0.0015867870152788018,0.0016758088935618879,0.002496481976773614,0.0020521216368987664,0.0029794550253679376,0.0030481125503157083,0.002496153878137501,0.002737978541507761,0.003601431763930391,0.004406279829273069,0.004590506723291241,0.005898001287605427,0.005229652243810527,0.007064040201339963,0.004813923739791448,0.0023172582764723225,0.00337321860045181,0.002979825414422955,0.0027607678833311447,0.0022196099771702514
SRR9224300,0.014379695162331266,0.014430519834784302,0.012691051185948198,0.011282593007626155,0.010406874405773625,0.009530407246148394,0.010255000734699586,0.009022007665846344,0.00959629455666419,0.009681446720964675,0.008263834591317458,0.008322998979955882,0.0076344013379939036,0.009545306876386704,0.009773942437569606,0.00923087325937765,0.009340057594943756,0.00802575221653956,0.005549608510926669,0.006171269230703945,0.005946671910059789,0.006989991866429553,0.0031755231026062295,0.0017368827845635616,0.0019348912998341046,0.0017461559010690055,0.0017387757295958478,0.0018582312399577589,0.0020086769950562037,0.0014854729674279516,0.0016065079261597425,0.002155299340354686,0.0024097545803725543,0.0020871187606863193,0.0019257002498953004,0.0015745400789452981,0.0018500022274642897,0.0021588664534160865,0.0015496384884338393,0.0016216529046227403,0.0024206410651823303,0.0020187399023658503,0.0028784651256889863,0.0029567065432362103,0.0024321524345346027,0.0026649993029106028,0.003491776581385753,0.004309122545615437,0.0045081920046694274,0.005746876527204639,0.005120091229562972,0.006903760800267737,0.00465653080971515,0.002248198027840038,0.0033080991509374,0.0030086803256735954,0.002713661857608415,0.0021585151917747404
SRR9224299,0.01564675660867387,0.01565726883613094,0.014345535180907703,0.012992712488924895,0.011699235889742272,0.010796577548596125,0.01100689240808816,0.010131061978739815,0.010811789638445937,0.010697047800170126,0.008822649515540243,0.009179408387928141,0.00815288779690025,0.010204869261854299,0.010974733181222341,0.010392995680617778,0.010529720593669913,0.008837392637297981,0.00615029066020307,0.006830585543890315,0.006357959297427251,0.007856557220324566,0.0032107211952912998,0.001499371272610657,0.0017353127226080324,0.0014782431143177317,0.001422831338688664,0.0014722029718312218,0.0017382149284969853,0.0016912902836460927,0.0012193317622528619,0.0018653255396968173,0.002279668748880126,0.0019265322486085857,0.0017308625400132684,0.0012611639205039763,0.0015609846151012643,0.0017110556242873264,0.001291861360720986,0.001283681687678368,0.002197948485054053,0.0018594733348714296,0.0029378966737589537,0.0030518005276368994,0.0023695753952248815,0.002708673570126941,0.003516128721323819,0.0045757732383677465,0.004885726648988095,0.006323952813754602,0.0056570333177591815,0.007508122435337385,0.005076919415198965,0.0021623078022034556,0.0033718593483340778,0.002858428759759495,0.0025908878623967986,0.0019454102373179694
SRR9224164,0.014830468815373601,0.014833697527159458,0.013632525578792628,0.01243909123882167,0.011259009950992004,0.010396993853784415,0.010642722655657907,0.00986310503130267,0.010489310728979523,0.0102832419340108,0.008659351573994955,0.008936770197320037,0.00798925296872944,0.009928889814628193,0.010532871170710223,0.009973027017085048,0.010142242145613512,0.008731267731384124,0.006230762291017333,0.006813032691652812,0.006301292345345983,0.00771558019589444,0.003648120987646562,0.002056197544629017,0.0022498259928091183,0.0020227991695103286,0.001965706112682881,0.0020130519327776707,0.0022824313270740104,0.0022238376558759436,0.0018098075320191987,0.0021723718476384323,0.0027404348602141854,0.0023409507342694964,0.0022084173667716147,0.001810661768317184,0.0020765948922221466,0.002249551478588274,0.0017782133158408253,0.0018316047872593362,0.0026822523628015423,0.0022867673088726023,0.0032937196441857855,0.0033478201287176915,0.002789888820804338,0.003046212328303046,0.0038549872109717503,0.004702835821590422,0.005030920300141522,0.0064106386816647895,0.00568866047041995,0.007522599262475721,0.005270112677833437,0.002562870430981437,0.0037019042846556617,0.0032750842125337265,0.003036643338274498,0.002439896683587018
SRR9224165,0.014082828795638744,0.014083772157297432,0.012624784487295251,0.011458306512880214,0.010478331907843976,0.009697838503327423,0.010242525646241106,0.009208440170363307,0.009658445056759193,0.009804824763038686,0.00841615476231929,0.008608913030384684,0.00779138842495129,0.009585324288592966,0.00987302908587704,0.009350942423191755,0.009464545795658192,0.00817899200851777,0.0059664818708124985,0.006467560459785317,0.006199528178035027,0.007321963808758656,0.0035040832706742207,0.0022891810818890996,0.0024670924473504893,0.002292003292304329,0.0022697973126537974,0.002278609916911851,0.0024723653316583365,0.002442276891596565,0.002163599287501842,0.0026735417092845514,0.0026086885893194136,0.002547137798986735,0.0024585257812526212,0.0021540040843939993,0.002317542244188436,0.0025567262376656836,0.002057145811539527,0.002174996436868274,0.0029437977154173145,0.002492534015444778,0.003371865139062947,0.003411838591050312,0.0029359613660160074,0.003129731915793343,0.003934524685164896,0.004705325002587951,0.0049096188845715325,0.006082786457490264,0.005493667605476776,0.007102346480186259,0.005106841333416163,0.0027607345147462833,0.0037512140490068347,0.003399435627686675,0.0031505940940364263,0.0026503790049085423
SRR9224166,0.01536967613984925,0.015380363013900214,0.014008181977375052,0.012512116434224431,0.011480511459167186,0.010794483062217232,0.011011559222791057,0.010060794704260785,0.010400535359946048,0.010795248327976698,0.00902162371329716,0.009163136262783367,0.008406553798472442,0.010285976699074634,0.010780267151451518,0.010435137991014056,0.010512455787131714,0.008757151755270663,0.006342555975048777,0.0070978929541162215,0.006857930988835262,0.00808685231944856,0.0034795907258579756,0.002106885396606249,0.0023252974185544967,0.002092547437830181,0.0020590513349534874,0.0020420021061319845,0.002302394841833548,0.0022797848838186155,0.0019954656047421904,0.0024983021600032125,0.0027796743050186165,0.0026077169962778943,0.0023750695346595346,0.001931550698890626,0.002107050799104006,0.002319886965056493,0.0020100341976460124,0.0019353964623928614,0.00276161973094228,0.002602494334996122,0.0034639322319017086,0.0036954068559950154,0.002959682830591186,0.003394967167443208,0.004037096380256212,0.005178930034751782,0.005363031537952922,0.006514592187549149,0.006042045418376852,0.007545423715529732,0.005417703826239821,0.0029222455801584256,0.0038619510817118285,0.0032726025074951578,0.0030409409068207827,0.0025442260401335954
SRR9224159,0.015201184348991521,0.015215152595210274,0.01377859979886661,0.012395700089043655,0.01130492564325843,0.010506475422975139,0.010856882400163203,0.009860710288807336,0.010328342200274579,0.010505182492095276,0.00882222815219256,0.009019846877622332,0.008174977314528297,0.01012275449892043,0.01062274595697086,0.010116997313559745,0.01025670882758509,0.008635155347013092,0.006166698590987934,0.006822837167753762,0.006460803120937596,0.007791240102014075,0.003316291730839715,0.0019169756835978912,0.0021096877463022408,0.0018859453760430365,0.0018405048922138741,0.0018573150101252802,0.0021170589408491254,0.0020442042195816966,0.0017345139896358765,0.0022808300371980126,0.002598948306008028,0.002294114398508303,0.002042444812229778,0.0016920517434100533,0.0019129172886043196,0.0021236503019087197,0.0017112253074668322,0.0017219604185143673,0.002577986564150086,0.0022392247102432476,0.0032264927399685488,0.003321616329312453,0.002701996465537793,0.0030083368592427094,0.0038063075273901455,0.004778957496961534,0.005037113447657849,0.006334139363295926,0.005722245067769983,0.007418952985850478,0.005205150567543031,0.0025252861024146435,0.003631524247917407,0.0030944373083627106,0.002857380365403207,0.002322547009733715
SRR9224160,0.015263306670447434,0.015247987703296044,0.01383542663302251,0.012493651623667917,0.011235349359155015,0.010397166003650036,0.010689687647452708,0.009750380710798805,0.010399465746816855,0.01034256551899096,0.008603770199894572,0.008850814647166635,0.007873023583601337,0.009967087384080343,0.010539573035036028,0.009978238691289353,0.010111917018254174,0.008512369076415498,0.005922413532471567,0.006536003965424419,0.0061190953254940126,0.007528672623087562,0.0030813304421530995,0.001453527837089015,0.001670188546979069,0.0014133003264291911,0.001373364065211998,0.0014206207219406557,0.0016789478704316246,0.0016250312471897024,0.0012312782572527503,0.001818483932877038,0.0022125818233146755,0.00181901581503736,0.00164645286126307,0.001146086244702312,0.001485006178899387,0.0016934687525659916,0.0012117909922487622,0.0012405112486039425,0.0021473294950623938,0.0017545453154040134,0.0027948778555595935,0.002882984603689277,0.002245640575745207,0.00256165171416804,0.0033812153905150456,0.004361800105543151,0.004646855244888151,0.006077838100359436,0.005359513507312463,0.007263130327875091,0.00488643495158061,0.0020570697661051575,0.0032202593219821073,0.0027498705880454493,0.002474770055515202,0.0018614951811251976
SRR9224161,0.014652828370153857,0.014648956528506863,0.013029824755936092,0.011736739534132401,0.010671137359472508,0.009794316297717246,0.010403691107067766,0.009171449978719104,0.009792841995021126,0.009902300533592147,0.008397424538182208,0.008490498674701885,0.007649354745882032,0.009713349402513775,0.0099528778582015,0.009434201866316341,0.009583888800642806,0.008095074273720504,0.00568547753535571,0.006244099176682092,0.005957181335967464,0.007151708235624429,0.0030907147312758763,0.0016447106398275286,0.0018053599702656518,0.001612175219696212,0.001591291933191334,0.001663117385652781,0.0018795243168736213,0.0018524351146384027,0.001476736137209527,0.002012723794849922,0.0022955017862720415,0.0019228648718551886,0.0018004388135985077,0.0014372060968990985,0.0013976735892939404,0.0019402759051742773,0.0013609933074930334,0.0014811537549977724,0.0023221560582562433,0.0018563569218566617,0.0028197562112299906,0.0028698114989923374,0.0023314938702547316,0.0025723593462517146,0.00341650687415462,0.00427606160023088,0.004501525231172944,0.005838492112276219,0.005108602575855756,0.007055143162223648,0.004717704040102542,0.0021488227588823483,0.003245903827487779,0.002837991436863266,0.00258174666462786,0.0020132981189884495
SRR9224168,0.014210928241697028,0.014188674160665313,0.0128463434720012,0.011784724519958897,0.010593731970294257,0.009647941857616284,0.01012115543337912,0.00920163893210197,0.009768510585977302,0.009628311149656012,0.008210158386855654,0.008454771614452634,0.007483013503439741,0.009457903182707374,0.009924269584752498,0.009309250414482356,0.00944966262415608,0.008194190961058034,0.0057100333616318605,0.006294976808618674,0.005887810336105471,0.0071238408586022945,0.0034730476875497016,0.0017999798936798453,0.0019996577758336067,0.0018020776067313863,0.0017840829511989768,0.0019286926439290965,0.002085067727908913,0.002128920413106479,0.0016000432744139692,0.0021552062453792957,0.0025001227793853176,0.002100641427438545,0.001977466057084075,0.0016179005973280653,0.0019116189105182829,0.0016823009440878843,0.0015523800429825868,0.0016514434756895204,0.0024521146158687757,0.002019461670276863,0.002962382834088993,0.0030170464547685373,0.0024906333974017516,0.0027512302891243992,0.003488539077100247,0.004292554423091121,0.004582322651790907,0.00593735870218131,0.005219356124964861,0.007016406211881927,0.004842113277115912,0.0023253844358080496,0.0033513037048952137,0.003026778136709448,0.0027728754170936315,0.002175488526915819
SRR9224169,0.01592830272914068,0.015932697810656423,0.01440781701822745,0.012826969860119395,0.011676383321911255,0.010909242747373678,0.011170836658092664,0.010111055536962305,0.010501521650297581,0.010894595021114721,0.009012365602132751,0.00914812104513776,0.008304693593128624,0.010368101458154944,0.010916743237296031,0.01052054875633522,0.010615595790320995,0.008710543180322612,0.006073489880647569,0.006864622822171845,0.006615523007059789,0.007950607527564348,0.0029863686174421817,0.0014997272504885507,0.0017167640889136013,0.001463359146629283,0.0014349100117760664,0.0014398668032997958,0.0017185164256798531,0.0016741456277933138,0.0013301407938971508,0.0018880943976887958,0.002232062279197563,0.00199997429428961,0.001761671715340032,0.0012786046737277268,0.0014802836799992856,0.0017042336709165299,0.0013378605468880734,0.0012967302928622699,0.0022083033606776353,0.0019480445858454962,0.0029443548092800607,0.003156447580765622,0.0023862519933273004,0.0028139398080185745,0.0035783372037978853,0.004771129946832475,0.004981153654881317,0.006269250601154018,0.0057153090893808395,0.007414644881739401,0.005069442228380072,0.0022972462050053918,0.0033890839871770083,0.0027773106406134805,0.002511583500649446,0.0019490965291300356
SRR9224113,0.015141983241491122,0.015139612768514879,0.013810104092082129,0.012554398757835062,0.011253361053830813,0.010352227639513135,0.010651219663075534,0.009755190462296448,0.01042893327646524,0.010264712498141825,0.008542081642471182,0.008834536258776126,0.007793249847665776,0.009878293443197479,0.010523018660144096,0.009934876168345,0.010082020331106006,0.00853171851065302,0.00591992522732606,0.006533913664318434,0.006063721185531575,0.007501267168737633,0.0031540538496816024,0.0014633045325102155,0.0016879153047834805,0.001443705294867686,0.0014025668265653687,0.001458219128428742,0.001711837533479455,0.0016600202079903698,0.001242327844545499,0.0018239659579497023,0.0022156497675543153,0.0018085039051162252,0.0016612265625629151,0.0012294541742992712,0.001516504911244016,0.0017146698360940046,0.0012181467158322988,0.0011623083686038752,0.0021612527495878113,0.0017530481085072237,0.002791817178394032,0.002872243573411396,0.0022682403858941473,0.002550693792303818,0.00339237840457821,0.004325535116188367,0.004643359860507279,0.006099090113038995,0.005361369021433602,0.007267398488825715,0.004877501927080122,0.002053881442543765,0.003229865759734481,0.0027750301313974007,0.002533675409228928,0.001879940019260441
